Electorate Candidate Votes Recorded at Each Voting Place
"Te Tai Tokerau 69","Candidate Vote Details"
,,"DAVIS, Kelvin Glen","DEARLOVE, Clinton","HARAWIRA, Hone Pani Tamati Waka Nene","PAENGA, Te Hira Keretene Te Whakaiti","Total Valid Candidate Votes","Informal Candidate Votes"
"Westgate","Massey Presbyterian Church, 510 Don Buck Road",28,0,16,16,60,1
"Whenuapai","Whenuapai School, 14 Airport Road",10,0,0,4,14,0
,"Whenuapai Village Hall, 41 Waimarie Road",4,2,2,4,12,0
,Kelston
"Glen Eden","Te Kura Kaupapa Māori o Hoani Waititi Marae, 441 West Coast Road",26,0,20,18,64,0
"Glendene","Glendene School, 60 Barrys Road",39,2,29,18,88,0
"Henderson","Bruce McLaren Intermediate School, 61-69 Bruce McLaren Road",43,0,33,23,99,1
"Sunnyvale","Kelston Community Centre, 126 Awaroa Road ",36,3,25,12,76,0
,"Sunnyvale Primary School, 34 Ribblesdale Road",38,1,17,10,66,2
,North Shore
"Bayswater","Bayswater School, 181 Bayswater Avenue",25,1,16,17,59,1
"Belmont","Belmont Primary School, 3A Harrison Avenue",7,0,3,6,16,0
"Campbells Bay","Campbells Bay School Hall, 77 Aberdeen Road",11,4,1,4,20,0
"Castor Bay","Wat Phra Dhammakaya Hall, corner Seaview Road & Katui Street",5,0,0,2,7,0
"Devonport","Devonport Community House, 32 Clarence Street",8,0,8,4,20,0
,"Devonport Holy Trinity Parish Hall, 20 Church Street",10,0,2,2,14,0
,"Devonport St Paul's Ltd, corner Victoria & Albert Streets",10,0,0,1,11,0
"Forrest Hill","Forrest Hill Presbyterian Church Hall, 151 Forrest Hill Road",9,1,0,6,16,0
,"Westlake Boys High School, 30 Forrest Hill Road",1,0,3,2,6,0
"Hauraki","Hauraki School, 82 Jutland Road",3,1,6,5,15,0
,"Takapuna Bible Chapel Hall, 13 Jutland Road",14,0,3,5,22,0
"Mairangi Bay","Mairangi Bay Community Church Hall, 49 Maxwelton Drive",6,1,1,2,10,1
,"Mairangi Bay Presbyterian Church Hall, 11 Hastings Road",8,0,1,1,10,0
"Milford","Milford Baptist Church Hall, 3 Dodson Avenue",3,1,3,1,8,1
,"Milford School, 34 Shakespeare Road",15,0,7,3,25,0
