Electorate Candidate Votes Recorded at Each Voting Place
"Dunedin South 9","Candidate Vote Details"
,,"CRAWFORD, Julian Lloyd","CURRAN, Clare Elizabeth","GALLAGHER, Shane Anthony","KERR, Cynthia Eileen","LEPINE, Andrew Charles Edwin","NICHOLLS, Colin William","VOIGHT, Warren Raymond","WALKER, Hamish","Total Valid Candidate Votes","Informal Candidate Votes"
"Abbotsford","Community Hall, 72 North Taieri Road",3,109,10,4,1,0,2,116,245,1
,"Scout Hall, corner Abbotsford Road & Unsworth Street",13,397,50,18,3,2,3,283,769,4
"Allanton","Allanton Community Centre, 11 Grey Street",6,76,9,6,2,2,3,96,200,2
"Brighton","Big Rock School, 2 Bath Street",10,202,24,11,1,0,3,134,385,7
"Broad Bay","Broad Bay School, 4 Roebuck Rise",3,148,58,1,2,0,1,48,261,5
"Calton Hill","Carisbrook Heights (previously known as Calton Hill Community Hall), 38 Riselaw Road",10,294,38,14,1,1,2,55,415,4
"Caversham","Carisbrook Main School (previously known as Caversham School), 217 South Road",12,523,70,11,7,4,9,181,817,5
"Concord","Concord Kindergarten, 93 Mulford Street",5,134,13,5,0,0,1,59,217,1
,"Concord School, 5 Thoreau Street",6,159,21,12,0,3,0,96,297,2
"Corstorphine","Corstorphine Community Hall, 235 Middleton Road",12,492,58,13,3,0,8,198,784,11
"Dunedin City","Age Concern Otago, Lower Octagon (beside Moran Building)",2,61,11,0,0,0,1,19,94,1
,"Dunedin Hospital, 1st Floor Foyer to Lecture Halls, 201 Great King Street",1,63,20,1,0,0,2,50,137,1
,"Salvation Army McMillan Lounge, 575 Princes Street",2,56,11,1,0,0,2,37,109,0
"Dunedin North","George Street Normal School, 989 George Street",2,12,9,3,0,0,1,15,42,2
,"Knox Church Hall, 453 George Street ",1,31,10,1,0,0,0,27,70,0
,"University of Otago, ISB Link East, 630 Cumberland Street",0,19,13,2,0,0,0,19,53,1
,"University of Otago, ISB Link West, 630 Cumberland Street",0,13,4,1,0,0,0,14,32,1
"East Taieri","East Taieri School, 11 Cemetery Road",2,151,25,8,1,1,0,317,505,4
"Fairfield","Fairfield Community Hall, corner Main Road & Fairplay Street",11,457,61,23,4,7,9,636,1208,10
"Forbury Corner","St Bernadette's School Hall, 16 Forbury Road",4,186,33,14,3,2,1,163,406,0
"Green Island","Otago School of Piping and Drumming, 186 Main South Road",14,525,74,4,5,1,11,373,1007,13
,"The Landmark Baptist Lighthouse, 222 Main South Road",14,346,46,12,4,2,2,217,643,9
"Henley","Henley Community Centre, 1216 Centre Road",2,29,7,3,0,0,0,78,119,0
"Kaikorai","Kaikorai Presbyterian Church Hall, 127 Taieri Road ",5,28,4,2,1,0,1,25,66,1
"Lee Stream","Lee Stream School, 2522 Clarks Junction-Lee Stream Road (State Highway 87)",0,8,3,0,0,1,0,51,63,0
"Macandrew Bay","Macandrew Bay School, 488 Portobello Road",7,367,97,13,3,2,6,213,708,1
"Middlemarch","Strath Taieri School, 33 Swansea Street",1,48,7,6,0,0,3,142,207,3
"Mornington","Mornington School, 34 Elgin Road",1,43,11,1,0,0,0,27,83,0
"Mosgiel","A&P Showgrounds, 320 Gordon Road",0,74,15,7,1,4,1,226,328,1
,"Chatsford, 77 Doon Street",2,140,16,6,1,1,3,167,336,5
,"Elmgrove School, 74 Argyle Street",4,354,54,14,1,4,6,318,755,4
,"Mosgiel Abilities Resource Centre, 16 Green Street",3,132,11,2,1,0,4,130,283,4
,"Mosgiel Coronation Hall, 97 Gordon Rd",5,300,36,20,1,4,5,417,788,3
,"Reid Park Kindergarten, 63 Murray Street",4,173,21,5,0,1,0,169,373,0
,"Salvation Army Hall, 4 Lanark Street",5,107,7,6,0,0,0,69,194,3
,"Senior Citizen's Hall, 5a Hartstonge Avenue (next to Mosgiel Library)",16,505,75,17,1,4,8,520,1146,16
,"Silverstream (South) Primary School, 52 Green Street",1,97,20,7,0,3,0,92,220,1
"Musselburgh","Musselburgh Baptist Church, 131 Musselburgh Rise",21,737,110,27,8,6,9,507,1425,11
,"Musselburgh School Library, 34 Marlow Street",3,256,26,3,3,2,1,113,407,6
,"Presbyterian Sunday School Hall, 26 Queens Drive",7,216,26,7,1,1,1,111,370,3
"Ocean View","Ocean View Public Hall, 812 Brighton Road",8,182,32,9,2,2,3,122,360,6
"Otakou","Te Rununga Otakou, Otakou Marae, 45 Tamatea Road",1,39,8,1,0,0,0,21,70,1
"Outram","Outram School, 1 Beaumaris Street",3,157,20,11,2,3,1,424,621,4
"Portobello","Portobello School, 30 Harrington Point Road",7,184,59,8,2,1,0,100,361,4
"South Dunedin","Bathgate Park School, 213 Macandrew Road",6,318,48,7,0,5,5,139,528,6
,"Dunedin South Presbyterian Hall, 393 King Edward Street",4,294,34,11,1,2,2,122,470,2
,"Edgar Sports Centre, corner Portsmouth Drive & Teviot Street",7,191,48,7,4,4,1,189,451,2
,"Methodist Church Hall, 11 Wesley Street",2,204,22,5,2,0,2,65,302,6
,"Nations Christian Church, 334 King Edward Street ",14,315,40,11,4,2,7,94,487,4
,"St Patrick's Community Centre, 42 Macandrew Road",3,185,21,2,0,2,2,88,303,3
"St Clair","St Clair School Hall, 87 Albert Street",13,400,61,11,3,1,4,319,812,4
,"Vintage Car Club, 125 Forbury Road",3,169,30,14,0,1,2,204,423,8
"St Kilda","Dunedin Ice Stadium, 101 Victoria Road",8,156,19,9,2,0,0,95,289,2
,"Holy Cross Anglican Church,17 Ajax Street",1,179,17,2,0,2,5,52,258,3
"Tainui","Tainui School Hall, 41 Tahuna Road",3,394,82,11,5,2,12,205,714,3
"Waverley","Grants Braes School, 137 Belford Street",9,498,79,20,1,8,4,607,1226,15
"Wingatui","Wingatui Hall, 270 Gladstone Road North",0,64,15,4,0,1,0,123,207,2
,"Voting places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day",70,4944,635,211,58,41,61,3751,9771,139
,"Special Votes BEFORE polling day",19,289,58,23,6,2,5,213,615,8
,"Special Votes On polling day",50,763,196,31,19,5,7,708,1779,18
,"Overseas Special Votes including Defence Force",2,189,75,8,7,1,2,155,439,3
,"Dunedin South Total",453,18182,2813,727,177,143,234,14324,37053,389
,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",37442
"Electorate Candidate Valid Votes","Party",,"CURRAN, Clare Elizabeth - majority 3858"
"CRAWFORD, Julian Lloyd",Aotearoa Legalise Cannabis Party,453,.0122257307
"CURRAN, Clare Elizabeth",Labour Party,18182,.4907025072
"GALLAGHER, Shane Anthony",Green Party,2813,.0759182792
"KERR, Cynthia Eileen",Conservative,727,.0196205435
"LEPINE, Andrew Charles Edwin",Internet Party,177,.0047769411
"NICHOLLS, Colin William",ACT New Zealand,143,.0038593366
"VOIGHT, Warren Raymond",Democrats for Social Credit,234,.0063152781
"WALKER, Hamish",National Party,14324,.3865813834
