Electorate Candidate and Party Votes Recorded at Each Polling Place
"Ikaroa-Rawhiti 63","Candidate Vote Details"
,,"HOROMIA, Parekura Tureia","POANANGA, Atareta Nicole","TE KANI, Tauha ","Total Valid Candidate Votes","Informal Candidate Votes"
"Te Awanga","Te Awanga Community Centre, Wellwood Terrace",6,11,1,18,0
"Te Pohue","Te Pohue School, Richmond Road",4,6,0,10,1
"Tutira","Tutira School, Matahorua Road",5,6,1,12,0
"Westshore","Westshore School, Ferguson Avenue",17,10,1,28,4
,Rimutaka
"Brown Owl","St Peter Chanel Catholic Centre, cnr Bernadette Street & Fergusson Drive",25,21,1,47,0
"Heretaunga","Shazam's After School Care Hall, 386 - 388 Fergusson Drive",2,4,0,6,0
,"St Brendan's School, 56 Palmer Crescent",12,17,2,31,2
,"Suzanne Aubert Centre, 3 Perry Street ",5,3,1,9,0
"Mangaroa","Mangaroa School, Flux Road",5,6,0,11,0
"Maoribank","Maoribank School, Hillside Drive",37,36,0,73,1
"Parkdale","Birchville School, Gemstone Drive",14,11,0,25,1
"Pinehaven","Pinehaven School, Forest Road",5,1,0,6,1
"Silverstream","Silverstream School, Whitemans Road",13,6,3,22,0
,"St Margaret's Church Hall, Dunns Road",4,0,3,7,0
"Stokes Valley","Jeanette Mullins School of Dancing, Library Building, Scott Court",97,82,8,187,4
,"Tawhai School, Glen Road",10,11,1,22,3
,"Tui Glen School, Stokes Valley Road",21,27,1,49,2
,"Uniting Presbyterian Methodist Church Hall, 346 Stokes Valley Road",21,18,1,40,1
"Te Marua","Plateau School, Malloys Road",12,10,0,22,2
"Totara Park","Totara Park School, California Drive",45,30,5,80,2
"Trentham","Brentwood School Hall, Brentwood Street",23,11,2,36,3
,"Masonic Centre, Islington Street",13,13,1,27,2
,"Trentham School, Moonshine Road",43,30,2,75,0
"Upper Hutt","Evans Building, Logan Street",34,13,1,48,2
,"Fraser Crescent School, Redwood Street",36,13,0,49,3
,"Oxford Crescent School, Oxford Crescent",14,15,1,30,3
,"St Hilda's Church Hall, 35 Cruickshank Road",9,9,1,19,0
,"St Joseph's Scout Hall, Royal Street",14,9,3,26,0
,"Wesley Centre (St David's Hall), 1 Benzie Avenue",22,18,0,40,1
"Wallaceville","Baptist Church Hall, Milton Street",8,13,2,23,0
,"Heretaunga College, Ward Street",40,25,3,68,0
,Tukituki
"Akina","Hastings Central School, 400 Karamu Road South",64,56,3,123,4
,"Hastings Intermediate School, Hastings Street South",14,16,0,30,0
"Bridge Pa","Bridge Pa School, Maraekakaho Road",31,57,1,89,3
"Camberley","Camberley School, Kiwi Street",95,75,5,175,4
,"Main Entrance, Hawkes Bay Regional Hospital, Omahu Road",34,20,2,56,1
"Flaxmere","Ellen Stevenson Kindergarten, 90 Chatham Road",75,102,13,190,7
,"Flaxmere Primary School, 20 Henderson Road",87,115,18,220,3
,"Irongate School, Walton Way",81,76,13,170,0
,"Kimi Ora Community School, 1 Boston Crescent",73,75,4,152,6
,"Peterhead School, 10 Peterhead Avenue",166,132,4,302,9
"Frimley","Frimley School, Frimley Road",58,45,3,106,6
"Hastings Central","District Courthouse, 102 Eastbourne Street West",63,50,3,116,0
,"St John Ambulance Hall, 107 Southland Road",38,31,3,72,6
,"Wesley Hall, Hastings Street South",22,22,1,45,1
"Havelock North","Arataki Holiday Park, Arataki Road",2,6,0,8,0
,"Havelock North High School, 177 Te Mata Road",5,1,0,6,0
,"Havelock North Primary School, Campbell Street",14,6,1,21,0
,"Lucknow School, 42 Elliott Crescent",30,39,1,70,3
,"Our Lady of Lourdes Parish Hall, St Hill Lane",2,4,0,6,1
,"St Columbas Hall, Te Mata Road",13,9,1,23,0
,"St John Ambulance Hall, 22 Napier Road",7,2,0,9,1
"Mahora","Aubyn Theatre, St Aubyn Street West",37,26,4,67,5
,"Mahora School, 710 Frederick Street",88,76,2,166,2
"Maraekakaho","Maraekakaho School, 68 Kereru Road",5,1,0,6,2
"Mayfair","Karamu High School, Windsor Avenue",47,31,5,83,1
,"Mayfair School, Willowpark Road North",91,95,4,190,7
"Omahu","Omahu School, Taihape Road",46,50,0,96,1
"Otane","Otane School, Higginson Street",19,26,1,46,1
"Pakipaki","Pakipaki School, Pakipaki Road",30,36,0,66,1
"Parkvale","Gordon Black Hall, 912 Queen Street East",9,5,1,15,0
,"Parkvale Kindergarten, 108 Park Road South",12,12,0,24,1
,"Parkvale School Hall, Howard Street",17,9,3,29,2
,"Takitimu Performing Arts School, 706 Albert Street",25,27,0,52,0
"Pukehou","Pukehou School, SH2",24,14,0,38,0
"Raureka","Ebbett Park School, 600 Oliphant Road",53,49,1,103,2
,"Raureka School Hall, 916 Gordon Road",59,49,3,111,2
"Takapau","Takapau School, Charles Street",15,22,0,37,2
"Te Hauke","Te Hauke School, Burma Road",25,20,0,45,0
"Twyford","Twyford School, Thompson Road",3,3,1,7,0
"Waimarama","Waimarama Memorial Hall, Waimarama Road",9,12,0,21,1
"Waipawa","CHB District Council Chambers, Ruataniwha Street",13,18,1,32,1
,"Waipawa School, Harker Street",31,26,0,57,0
"Waipukurau","CHB College Library, Tavistock Road",28,31,1,60,1
,"Terrace School, 164 Porangahau Road",25,16,0,41,2
,"Waipukurau School, St Marys Road",26,28,1,55,2
,Wairarapa
"Carterton","Carterton Kindergarten, 3 Victoria Street",15,10,1,26,2
,"Carterton School, Holloway Street",20,18,1,39,2
