Electorate Candidate and Party Votes Recorded at Each Polling Place
"Hauraki-Waikato 64","Candidate Vote Details"
,,"GREENSILL, Angeline Elizabeth Ngahina","MAHUTA, Nanaia Cybele","Total Valid Candidate Votes","Informal Candidate Votes"
,Auckland Central
"Waiheke Island","Matiatia Oneroa Ratepayers - Morra Hall, 115 Ocean View Road",13,15,28,0
,"Old Blackpool School Hall, Nikau Road",14,6,20,1
,"Onetangi Residents Assn. Hall, corner Waiheke Road & Third Avenue",10,8,18,3
,"Ostend War Memorial Hall, corner Belgium Street & Ostend Road",31,19,50,0
,"Palm Beach Hall, 64 Palm Road",7,6,13,0
,"Rocky Bay, Omiha Memorial Hall, 2 Glenbrooke Road",2,6,8,1
,"Te Huruhi School, 7 Donald Bruce Road, Surfdale",8,10,18,0
,Coromandel
"Cooks Beach","Cooks Beach Community Centre, corner Purangi Road & Rees Avenue",4,1,5,1
"Coroglen","Coroglen School, 10 Rangihau Road",2,4,6,0
"Coromandel","Coromandel Area School, 120 Woollams Avenue",49,24,73,2
"Hikutaia","Hikutaia Public Hall, Paeroa Kopu Road (State Highway 26)",7,6,13,2
"Kennedy Bay","Te Kura Kaupapa Maori O Harataunga School, 1416 Kennedy Bay Road",14,8,22,0
"Kerepehi","Kerepehi School, McGowan Avenue",23,20,43,1
"Manaia","Manaia School,  22 Goldfields Road",35,16,51,7
"Manawaru","Manawaru School, 442 Manawaru Road",6,0,6,0
"Ngatea","Ngatea School, 52 Orchard West Road",12,18,30,3
"Opoutere","Opoutere School, State Highway 25",7,15,22,1
"Paeroa","Miller Avenue School, 30 Miller Avenue",24,35,59,2
,"Paeroa Memorial Hall, 144 Normanby Road (State Highway 2)",92,106,198,9
"Tahuna","Tahuna School, 43 Tahuna-Ohinewai Road",2,8,10,1
"Tairua","Tairua School, 110 Main Road",14,9,23,1
"Tapu","Tapu Primary School, 719 Thames Coast Road",10,16,26,1
"Tararu","Tararu Cultural Centre, State Highway 25",5,6,11,0
"Te Aroha","Contract Bridge Rooms, 105 Whitaker Street",2,19,21,3
,"Stanley Avenue School, 59-63 Stanley Avenue",9,11,20,1
,"Te Aroha Primary School, corner Whitaker Street & Jubilee Avenue",18,38,56,3
"Te Puru","Te Puru Community Centre, West Crescent",12,20,32,1
"Te Rerenga","Te Rerenga School, 1227 State Highway 25",1,5,6,1
"Thames","Moanataiari School, 101 Kuranui Street",12,14,26,1
,"Parawai School, 106 Lowe Avenue",8,27,35,5
,"Thames Civic Centre, 200 Mary Street",16,47,63,3
,"Thames High School, 300 Sealey Street",25,17,42,3
,"Thames South School, corner Grey & Rolleston Streets",36,41,77,9
"Turua","Turua School, Hauraki Road",10,7,17,8
"Waihi","Waihi Central School, Moresby Avenue",17,32,49,3
,"Waihi East School, 6-8 Donnelly Street",17,18,35,4
,"Waihi Memorial Hall, 41 Seddon Street",41,37,78,1
"Waihi Beach","Waihi Beach School, Hillview Road",11,16,27,2
"Waikino","Victoria Hall, Main Road (State Highway 2)",5,6,11,0
"Waitakaruru","Waitakaruru School, Canal West Road (State Highway 25)",7,6,13,0
"Waitoa","Waitoa School, Main Road (State Highway 26)",9,11,20,0
"Whangamata ","Whangamata Baptist Church, 301 Port Road",30,24,54,1
"Whenuakite","Whenuakite School, 1055 State Highway 25",2,4,6,0
"Whitianga","Mercury Bay Area School, 20 South Highway",12,13,25,1
,"Mercury Bay Bowling Club, 92 Cook Drive",14,7,21,4
,"St Andrews Community Church, corner Albert & Owen Streets",8,20,28,1
,Hamilton East
"Chartwell","Hukanui School, corner Hukanui Road & Pickering Crescent",20,37,57,5
,"St Albans Church Hall, corner Comries Road & Belmont Avenue",55,74,129,2
"Claudelands","Peachgrove Intermediate School, Peachgrove Road",30,34,64,3
,"Southwell School, 200 Peachgrove Road",29,18,47,2
,"St Aidans Parish Hall, 24 Thames Street",52,52,104,4
"Enderley","Te Kura Kaupapa Maori O Te Ara Rima School, Fifth Avenue",162,106,268,3
"Fairfield","Fairfield Baptist Church, 1101 Heaphy Terrace",51,53,104,4
,"Fairfield College, Bankwood Road",32,39,71,1
,"Fairfield Intermediate School, 261 Clarkin Road",48,47,95,6
,"Insoll Avenue School, 95 Insoll Avenue",94,128,222,6
,"Wesley Methodist Hall, 955 Heaphy Terrace",47,71,118,5
,"Woodstock Primary School, Fairfield Road",34,30,64,0
"Flagstaff","Alandale Retirement Village, 1199 River Road North",21,13,34,3
"Hamilton East","Air Training Corps Hall, corner Naylor & Dey Streets",28,10,38,1
,"Graceways Church, 69 Grey Street",16,16,32,2
,"Hamilton East Primary School, Dawson Street",31,22,53,1
,"Knox Presbyterian Hall, 50 Albert Street",36,33,69,6
,"Marian Catholic School, corner Firth & Clyde Streets",35,36,71,3
"Hillcrest","Hillcrest Normal School, 218 Cambridge Road",29,13,42,2
,"Knighton Normal School, Knighton Road",110,69,179,4
"Rototuna","Chapel Hill Community Church, 2 Cate Road",29,17,46,2
,"Rototuna Primary School, 23 Strathmore Drive",43,37,80,3
,"Te Totara Primary School, off Borman Road extension",9,4,13,3
"Silverdale","Hillcrest High School, Masters Avenue",47,41,88,2
,Hamilton West
"Deanwell","Deanwell School, Deanwell Avenue",50,79,129,5
"Dinsdale","Aberdeen School, Aberdeen Drive",66,47,113,4
,"St Clare's Co-operating Parish Hall, 97 Tuhikaramea Road",41,28,69,5
"Forest Lake","Forest Lake School, Storey Avenue",56,60,116,2
"Frankton","Frankton School Hall, Massey Street",130,116,246,5
,"Rhode Street School, 7 Rhode Street",90,82,172,7
,"St Columba Parish Hall, Rifle Range Road",35,46,81,2
,"Westside Presbyterian Church Hall, 11 King Street",21,26,47,2
"Glenview","Glenview Primary School, Bruce Avenue",51,41,92,0
"Hamilton West","Hamilton West School, 36 Hammond Street",20,15,35,2
,"Waikato Hospital, Pembroke Street, Level B5, main entrance foyer",14,18,32,0
"Maeroa","Maeroa Intermediate School, 57 Churchill Avenue",38,46,84,1
"Melville","Melville Intermediate, 29 Mountview Road",31,23,54,0
,"Melville Methodist Church Hall, corner Bader Street & Normandy Avenue",94,86,180,3
,"Melville Primary School, 101 Ohaupo Road",49,45,94,6
"Nawton","Crawshaw School, Crawshaw Drive",69,81,150,5
,"Hamilton's Fraser High School, 72 Ellicott Road",19,36,55,1
,"Nawton School, 58 Livingstone Avenue",86,97,183,7
,"St Marks Hall, corner Dominion Road & Breckons Avenue",103,94,197,6
"Pukete","Pukete School, 100 Pukete Road",30,44,74,5
,"Te Rapa Primary School, 61 Ashurst Avenue",13,20,33,1
"Rotokauri","Rotokauri School, 462 Rotokauri Road",5,7,12,1
"St Andrews","All Saints Hall, corner Cecil Street & Sandwich Road",24,40,64,0
,"St Andrews Middle School, 90 Heath Street",48,54,102,2
