Electorate Candidate and Party Votes Recorded at Each Polling Place
"Hauraki-Waikato 64","Candidate Vote Details"
,,"GREENSILL, Angeline Elizabeth Ngahina","MAHUTA, Nanaia Cybele","Total Valid Candidate Votes","Informal Candidate Votes"
,"Vardon School, 36 Cunningham Road",30,21,51,1
"Te Kowhai","Te Kowhai School, 605 Horotiu Road",22,12,34,0
"Templeview","Church College of New Zealand (reception foyer), 435 Tuhikaramea Road",117,62,179,7
"Whatawhata","Whatawhata School, 9 Kura Street ",37,40,77,2
"Whitiora","Whitiora School, 38 Willoughby Street",53,62,115,2
,Hunua
"Awhitu","Awhitu District School, corner Matakawa & Awhitu Roads",9,4,13,0
"Beachlands","Beachlands School, 18 Bell Road (disabled access from Wakelin Road)",18,17,35,1
"Bombay","Bombay School, 35 Paparata Road",13,9,22,1
"Brookby","Brookby School, corner Brookby & West Roads",4,1,5,1
"Buckland","Buckland School,  72 George Crescent",3,8,11,0
"Clevedon","Clevedon School, 13-17 North Road",10,11,21,1
"Flat Bush","Old Flat Bush School Hall, corner Murphy's & Flat Bush School Roads",5,2,7,0
"Glenbrook","Glenbrook Primary School, 459 Glenbrook Road",14,14,28,4
"Harrisville","Harrisville School, 202 Harrisville Road",11,14,25,6
"Hunua","Hunua School, 39 Lockwood Road",7,4,11,2
"Kawakawa Bay","Kawakawa Bay Public Hall, 9 Kawakawa Orere Road",6,6,12,2
"Maraetai","Maraetai Beach School, 154 Maraetai Drive",15,6,21,1
"Mission Heights","Packspur Drive Polling Place, corner Packspur & Edbrooke Drives",7,0,7,0
"Orere","Orere School, Orere Point Road",5,8,13,1
"Otaua","Otaua School, 53 Maioro Road",5,4,9,2
"Paerata","Paerata School, 35 Tuhimata Road",11,16,27,3
"Patumahoe","Patumahoe School, 38 Patumahoe Road",14,6,20,3
"Pukekohe","Pukekohe East School, 137 Runciman Road",5,3,8,0
,"Pukekohe Hill School, corner Ward Street & Green Lane",16,24,40,1
,"Pukekohe Intermediate School, Queen Street",35,55,90,5
,"Pukekohe North School, corner Princes Street & Beatty Road",109,187,296,23
,"Pukekohe Valley School, East Street",19,25,44,4
,"St Patrick's Church Hall, 133 Seddon Street",19,21,40,7
"Puni","Puni School, 357 Waiuku Road",7,5,12,1
"Ramarama","Ramarama School, 126 Ararimu Road",12,5,17,0
"Tuakau","Tuakau Primary School, 6 School Road",33,93,126,6
,"Union Parish Hall, St Stephen's Avenue",38,75,113,2
"Waipipi","Waipipi School, 100 Creamery Road",3,4,7,0
"Waiuku","Sandspit School, 60 Sandspit Road",58,49,107,8
,"Waiuku College, 43 Constable Road",30,20,50,1
,"Waiuku Primary School, corner George & France Streets",43,31,74,7
"Whitford","Whitford Hall, 1 Whitford-Maraetai Road",11,2,13,2
,Manurewa
"Manurewa","Greenmeadows Intermediate, Ferguson Road entrance",4,4,8,0
,"Manurewa Central School, corner Great South & Hill Roads",3,7,10,0
,"Manurewa East School, Scotts Road",17,20,37,2
,"Manurewa Library, 7 Hill Road",8,10,18,1
,Papakura
"Alfriston","Alfriston School, corner Mill & Alfriston Roads",20,14,34,2
"Ardmore","Ardmore School, 559 Papakura Clevedon Road",7,4,11,2
"Clarks Beach","Church By The Seashore, 14-16 Torkar Road",10,6,16,0
"Drury","Drury School, 23-25 Youngs Crescent",33,35,68,7
"Karaka","Karaka School, corner Blackbridge Road & State Highway 22",5,7,12,1
,"Te Hihi School, corner Linwood & Batty Roads",14,10,24,0
"Manurewa","Alfriston College, 550 Porchester Road",95,76,171,1
,"Elmwood Village, 131 Hill Road",5,4,9,0
,"The Gardens School, 101 Charles Prevost Drive",28,10,38,3
"Papakura","Cosgrove School, 10 Cosgrave Road",83,105,188,6
,"Kelvin Road School, 74-76 Kelvin Road",113,149,262,4
,"Nga Puawai o Wikitoria Te Kohanga Reo, 32 Old Wairoa Road",41,30,71,6
,"Opaheke School, 12a Tasman Drive",33,38,71,8
,"Papakura Anglican Church, 40 Coles Crescent",26,28,54,4
,"Papakura Central School, 23 Ray Small Drive",27,34,61,1
,"Papakura District Court, corner Great South Road & Wood Street",27,48,75,3
,"Papakura High School, 11 Willis Road",88,81,169,2
,"Papakura Normal Primary School, corner Walters & Porchester Roads",64,80,144,3
,"Papakura South School, 58 Beach Road",28,23,51,1
,"Redhill School, School Hall, 54 Redcrest Avenue (Mack Place entrance)",51,58,109,4
,"Rosehill Intermediate, 5 Jupiter Street",46,75,121,14
"Takanini","Conifer Grove School, School Hall, 70 Walter Strevens Drive entrance",33,26,59,1
,"Takanini Church of Christ Hall, 160 Great South Road",42,41,83,8
,"Takanini School, School Hall, 39 Takanini School Road (Old Park Place entrance)",65,74,139,8
"Waiau Pa","Waiau Pa School, Events Centre, 571 Waiau Pa Road",14,3,17,1
,Rangitikei
"Ratana","Te Kura O Ratana/Ratana School, Kiatere Street",5,3,8,1
,Taranaki-King Country
"Kawhia","Kawhia Community Hall, 141 Jervois Street",40,46,86,5
"Kihikihi","Kihikihi Town Hall, Lyon Street",71,72,143,14
"Koromatua","Koromatua School, 355 Koromatua Road",7,6,13,0
"Ngahinapouri","Ngahinapouri School, 1185 Kakaramea Road",2,4,6,0
"Ohaupo","Ohaupo Memorial Hall, 98 Great South Road",13,10,23,1
"Parawera","Parawera School, 18 Mellsop Road",7,6,13,0
"Paterangi","Paterangi School, 1326 Paterangi Road",7,1,8,0
"Pirongia","Pirongia School, 100 Beechey Street",14,5,19,1
"Raglan","Raglan Town Hall, 41 Bow Street",153,57,210,0
"Rukuhia","Rukuhia School Hall, Rukuhia Road",3,7,10,2
"Te Awamutu","Pekerau School, 742 Te Rahu Road",24,39,63,1
,"Te Awamutu College (Hall), 938 Alexandra Street",20,24,44,1
,"Te Awamutu Courthouse, 53 Roche Street",20,24,44,1
,"Te Awamutu Intermediate School, 646 Hazelmere Crescent",32,31,63,4
,"Te Awamutu Primary School, 401 Teasdale Street",24,20,44,4
,"Te Wananga O Aotearoa, Gallery, 320 Factory Road",27,14,41,2
"Te Mata","Te Mata School Hall, 775 Te Mata Road",4,9,13,0
"Te Pahu","Te Pahu School, 671 Te Pahu Road",8,5,13,0
,Taupo
"Cambridge","Cambridge East School, corner Bowen & Williams Streets",16,30,46,3
,"Cambridge Middle School, corner Clare & Grey Streets",12,12,24,1
,"Cambridge Primary School, Wilson Street",15,18,33,3
,"Leamington School, corner Lamb & Scott Streets, Leamington",25,37,62,4
,"Raleigh Street Christian Centre, 24 Raleigh Street, Leamington",20,33,53,1
"Lichfield","Ngatira Marae, 965 Ngatira Road ",29,43,72,1
,Waikato
"Fencourt","Goodwood School, 517 Fencourt Road",3,5,8,0
"Glen Massey","Glen Massey School, 897 Waingaro Road",4,8,12,0
"Gordonton","Gordonton School, 50 Woodlands Road",23,13,36,5
"Hinuera","Hinuera School, corner Highway 29 & Hinuera Road",5,4,9,0
"Horotiu","Horotiu School, Horotiu Bridge Road",24,29,53,1
"Huntly","Civic Centre (Riverside Room), 148 Main Street",19,45,64,2
,"Kimihia School, Tamihana Avenue",11,25,36,0
,"Red Cross Hall, Hakanoa Street",19,71,90,5
,"St Anthonys Catholic School, 102 Bailey Street",10,39,49,1
,"West Kindergarten, 26 Smith Avenue",28,88,116,3
,"West Primary School, Paki Street",81,267,348,6
"Kaiaua","Kaiaua School, 1061 East Coast Road",12,21,33,2
"Mangatangi","Mangatangi School, 2047 Mangatangi Road",4,8,12,0
"Maramarua","Maramarua School, 2200 State Highway 2",6,12,18,2
"Matamata","Matamata College, 121 Firth Street",12,21,33,2
,"Matamata Primary School, 115a  Broadway",24,26,50,1
,"Memorial Centre, Tainui Street",25,26,51,2
"Matangi","Matangi School, 599 Matangi Road",21,29,50,2
"Mercer","Mercer School, 15 Glass Road",3,11,14,0
"Meremere","Meremere School, Meremere Lane",14,23,37,2
"Morrinsville","David Street School, 45 David Street",16,28,44,0
,"Kai-a-te-mata Marae, Kereone Road",22,53,75,0
,"Methodist Church Hall, 318 Thames Street",18,31,49,2
,"Morrinsville College, Alexandra Avenue",19,10,29,0
"Newstead","Newstead School, 429 Morrinsville Road",4,9,13,0
"Ngaruawahia","Ngaruawahia Primary School, Galileo Street",90,160,250,7
,"Turangawaewae Marae, River Road",84,223,307,3
,"Waipa School, Kia Toa Road",53,137,190,3
"Okauia","Okauia Hall, Okauia Springs Road",13,9,22,0
"Onewhero","Onewhero Area School, Hall Road",8,7,15,0
"Pokeno","Pokeno School, 54 Pokeno Road",18,25,43,2
"Port Waikato","Port Waikato Community Hall, Sunset Beach Car Park",15,23,38,2
"Pukekawa","Pukekawa School, 803 Highway 22",10,13,23,0
"Pukemiro","Pukemiro School, 4 John Avenue",6,11,17,0
"Puketaha","Puketaha School, 395 Puketaha Road",0,6,6,0
"Rangiriri","Rangiriri School, 39 Rangiriri Road",11,14,25,0
"Ruawaro","Central Districts' Memorial Hall, corner Hetherington & Waikokawa Roads",5,2,7,0
"Tamahere","Tamahere School, 37 Devine Road",11,9,20,1
"Taupiri","Taupiri School, Green Lane Road",21,41,62,0
"Tauwhare","Tauwhare School, 20 Scotmans Valley Road ",13,23,36,0
"Te Akau","Te Akau School, 953 Te Akau Road",11,1,12,0
"Te Kauwhata","Te Kauwhata College, Waerenga Road",35,28,63,0
"Te Kohanga","Te Kohanga School, 976 Tuakau-Port Waikato Main Road",20,25,45,2
"Te Poi","Te Poi School, 3 Stopford Road",11,16,27,1
"Te Uku","Te Uku School, 3436 State Highway 23",18,4,22,1
"Waharoa","Raungaiti Marae, State Highway 27",31,15,46,1
,"Waharoa School, 32 Ward Street",38,46,84,1
"Waikaretu","Waikaretu School, 1448 Waikaretu Valley Road",8,1,9,0
"Waingaro","Waingaro School, 5844 Waingaro Road",4,8,12,0
"Waiterimu","Waiterimu School, 166 Waiu Road",4,5,9,0
"Walton","Walton School, Main Road",7,1,8,0
"Whitehall","Whitehall School, 12 Brunskill Road",3,2,5,1
"Whitikahu","Whitikahu School, 763 Whitikahu Road",4,10,14,0
,"Polling places where less than 6 votes were taken",74,72,146,11
,"Hospital Votes",28,53,81,3
,"Ordinary Votes BEFORE polling day",740,826,1566,64
,"Special Votes BEFORE polling day",210,206,416,13
,"Special Votes On polling day",913,779,1692,57
,"Overseas Special Votes including defence force",51,31,82,0
,"Hauraki-Waikato Total",8461,9349,17810,697
,,,"Valid Candidate Votes plus Informal Candidate Votes",18507
"Electorate Candidate Valid Votes","Party",,"MAHUTA, Nanaia Cybele - majority 888"
"GREENSILL, Angeline Elizabeth Ngahina",Maori Party,8461,.4750701853
"MAHUTA, Nanaia Cybele",Labour Party,9349,.5249298147
