Electorate Candidate Votes Recorded at Each Voting Place
"Waitaki 59","Candidate Vote Details"
,,"ALEXANDER, Glenda Adele","AUBREY, Donald Andrew","COUTTS, Susan Jane","DEAN, Jacqueline Isobel","VAN WIEREN, Hessel Christiaan","Total Valid Candidate Votes","Informal Candidate Votes"
,"Ordinary Votes BEFORE polling day",1914,363,1362,6291,54,9984,161
,"Special Votes BEFORE polling day",167,37,157,506,6,873,15
,"Special Votes On polling day",414,55,378,1370,13,2230,25
,"Overseas Special Votes including Defence Force",61,9,86,241,1,398,0
,"Waitaki Total",7879,1417,4878,24547,253,38974,471
,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",39445
"Electorate Candidate Valid Votes","Party",,"DEAN, Jacqueline Isobel - majority 16668"
"ALEXANDER, Glenda Adele",Labour Party,7879,.2021604146
"AUBREY, Donald Andrew",Conservative,1417,.0363575717
"COUTTS, Susan Jane",Green Party,4878,.1251603633
"DEAN, Jacqueline Isobel",National Party,24547,.6298301432
"VAN WIEREN, Hessel Christiaan",Democrats for Social Credit,253,.0064915072
