Electorate Candidate Votes Recorded at Each Voting Place
"Kaikōura 20","Candidate Vote Details"
,,"BROWNING, Steffan John","CAMPBELL, Steven Robert","EVANS, Richard Warwick","HOWARD, Thomas Edward","HUDSON, Howard Mathew","McCASKEY, John Stuart James","SMITH, Stuart Tayler","TOMLINSOM, Glen James","WALKER, Janette Florence","Total Valid Candidate Votes","Informal Candidate Votes"
,,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",36474
"Electorate Candidate Valid Votes","Party",,"SMITH, Stuart Tayler - majority 12570"
"BROWNING, Steffan John",Green Party,3028,.0838293513
"CAMPBELL, Steven Robert",New Zealand First Party,1896,.0524902411
"EVANS, Richard Warwick",ACT New Zealand,132,.0036543839
"HOWARD, Thomas Edward",Money Free Party,72,.0019933003
"HUDSON, Howard Mathew",Conservative,1089,.030148667
"McCASKEY, John Stuart James",Democrats for Social Credit,194,.0053708369
"SMITH, Stuart Tayler",National Party,20857,.5774203372
"TOMLINSOM, Glen James",Ban1080,566,.0156695551
"WALKER, Janette Florence",Labour Party,8287,.2294233272
