Electorate Candidate and Party Votes Recorded at Each Polling Place
"Waimakariri 55","Candidate Vote Details"
,,"BAKER, Leighton James","COSGROVE, Clayton James","KEOWN, Aaron Vernon Lee","LIEFTING, Alan","MARK-SHADBOLT, Melanie Jane","SHEFFIELD-CRANSTOUN, Kelleigh Teresa","WILKINSON, Catherine Joan","Total Valid Candidate Votes","Informal Candidate Votes"
"Belfast","Belfast Community Hall, 807 Main North Road",3,367,38,17,20,0,207,652,0
,"Belfast School, 700 Main North Road",5,667,97,34,29,2,447,1281,4
,"Papanui ACC Office, Northwood Supa Centre, 1 Radcliffe Road",5,596,109,38,25,5,827,1605,9
"Bishopdale","Bishopdale School Hall, 465 Greers Road",1,53,5,3,2,0,35,99,0
,"Cotswold School, 44 Cotswold Avenue",3,132,28,8,4,4,257,436,3
,"Reformed Church of Bishopdale, Church Hall, 90 Highsted Road",1,229,16,13,13,1,303,576,3
"Christchurch City","ANZ Building, ground floor, 9 Cathedral Square",0,12,3,3,2,0,11,31,1
,"Christchurch Art Gallery, corner Worcester Boulevard & Montreal Streets",1,13,1,1,0,0,14,30,0
,"Christchurch Public Hospital, Great Escape Cafe, Riccarton Avenue",0,22,0,1,0,0,11,34,0
"Clarkville","Clarkville School, 10 Heywards Road",6,172,19,12,11,2,358,580,1
"Cust","Cust School, 473 Earlys Road",4,161,21,15,20,3,341,565,3
"Fernside","Fernside School, O'Roarkes Road",6,160,32,16,21,1,425,661,4
"Kaiapoi","Kaiapoi Co-operating Parish, Wesley Centre, 53 Fuller Street",14,839,58,32,63,7,459,1472,11
,"Kaiapoi Community Centre Hall, 24 Sewell Street",27,697,54,45,54,1,406,1284,6
,"Kaiapoi High School Auditorium, Ohoka Road",13,835,64,42,40,4,506,1504,4
,"Kaiapoi North School, 278 Williams Street",13,610,58,30,36,2,352,1101,2
"Mandeville","Eyreton Mandeville Hall, corner Mandeville & South Eyre Roads",3,74,22,10,4,0,208,321,1
"Marshland","Marshland School, 329 Prestons Road",3,111,26,12,7,0,191,350,1
"Ohoka","Ohoka School, Jacksons Road",13,204,32,43,9,0,552,853,0
"Oxford","Jaycee's Room, Main Street",17,586,28,80,64,3,657,1435,13
"Papanui","Casebrook Intermediate, 90 Veitches Road",9,530,64,47,19,6,402,1077,3
,"Papanui Baptist Church, 144 Sawyers Arms Road",4,47,3,6,1,0,34,95,1
,"Papanui Methodist Church Hall, 68 Harewood Road (corner Chapel Street)",1,39,7,4,0,1,27,79,0
,"Papanui Primary School, 40 Winters Road",1,42,8,5,3,0,25,84,0
,"St Joseph's Church School, 4 Vagues Road",1,85,18,3,5,1,74,187,0
"Pines Beach","Public Hall, 7 Dunns Avenue",4,202,7,14,23,1,77,328,3
"Rangiora","Ashgrove School, 48 Seddon Street",31,609,31,32,71,1,827,1602,4
,"McAlpine Band Room, 8a Good Street",34,440,36,49,42,3,432,1036,1
,"Rangiora Borough School, King Street",52,1032,77,60,98,8,933,2260,13
,"Rangiora High School, East Belt",38,248,23,18,25,1,254,607,5
,"Southbrook School, 26 Marshall Street",38,485,30,31,40,2,502,1128,5
"Redwood","Early Childhood Centre, 339 Main North Road",4,240,36,8,13,3,186,490,4
,"Northcote School, 26 Tuckers Road",11,467,30,24,21,4,225,782,17
,"Redwood Play Centre, 40 Dunedin Street",9,430,56,17,17,1,199,729,7
,"Redwood School, 51 Prestons Road",9,894,148,65,30,8,647,1801,9
,"Scout Hall, 20 Sturrocks Road",1,230,25,14,9,1,150,430,2
"Swannanoa","Swannanoa School, Tram Road",10,162,24,15,9,0,371,591,1
"Tuahiwi","Tuahiwi School, 206 Tuahiwi Road",2,113,7,13,16,0,79,230,1
"View Hill","View Hill School, Island Road",1,27,0,3,3,3,83,120,0
"Waikuku","Waikuku School, Main North Road, State Highway 1",4,76,5,8,10,0,83,186,2
"Waikuku Beach","Waikuku Beach Hall, Park Terrace",13,184,16,33,12,1,113,372,3
"West Eyreton","West Eyreton School, 1650 North Eyre Road",4,128,21,19,13,2,284,471,2
"Woodend","Woodend School, Main North Road",35,661,49,44,53,6,573,1421,6
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0
,"Hospital Votes",1,134,3,3,26,2,120,289,16
,"Ordinary Votes BEFORE polling day",38,1319,118,77,114,13,1548,3227,13
,"Special Votes BEFORE polling day",5,131,11,10,5,1,127,290,2
,"Special Votes On polling day",33,777,145,152,50,8,885,2050,16
,"Overseas Special Votes including defence force",5,88,8,24,5,2,143,275,0
,"Waimakariri Total",536,16360,1717,1253,1157,114,15970,37107,202
,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",37309
"Electorate Candidate Valid Votes","Party",,"COSGROVE, Clayton James - majority 390"
"BAKER, Leighton James",Kiwi Party,536,.0144447139
"COSGROVE, Clayton James",Labour Party,16360,.4408871641
"KEOWN, Aaron Vernon Lee",ACT New Zealand,1717,.046271593
"LIEFTING, Alan",Green Party,1253,.0337672137
"MARK-SHADBOLT, Melanie Jane",New Zealand First Party,1157,.0311801008
"SHEFFIELD-CRANSTOUN, Kelleigh Teresa",United Future,114,.0030721966
"WILKINSON, Catherine Joan",National Party,15970,.4303770178
