Electorate Candidate Votes Recorded at Each Voting Place
"Rimutaka 44","Candidate Vote Details"
,,"HIPKINS, Christopher John","HOLDEN, Lewis","HUNT, Aaron Ronald","LYNCH, Philip Michael","RUTHVEN, Susanne Marie","Total Valid Candidate Votes","Informal Candidate Votes"
"Avalon","Avalon School, 10 Gordon Street",413,356,35,21,28,853,23
,"Dyer Street School, 59 Dyer Street",118,114,9,6,15,262,2
"Belmont","Belmont Hall, 711 Western Hutt Road",61,81,6,5,14,167,1
"Blue Mountains","Blue Mountains Progressive Association, 4 Avian Crescent",74,118,18,5,17,232,0
"Brown Owl","St Peter Chanel Catholic Centre, 1285 Fergusson Drive",347,305,41,17,32,742,3
"Ebdentown","Oxford Crescent School, 5 Oxford Crescent",199,130,21,11,8,369,2
"Epuni","Congregational Christian Church Hall of Samoa, 37 Mitchell Street",13,6,2,0,2,23,0
,"Epuni School Hall, 313 Waiwhetu Road",53,51,6,4,11,125,1
"Heretaunga","Pettit Centre, corner Fergusson Drive & Palmer Crescent",78,87,5,10,5,185,0
,"St Brendan's School, 56 Palmer Crescent",176,128,14,11,9,338,5
"Hutt Central","Eastern Hutt School, 83 Kings Crescent",19,22,0,5,5,51,0
,"Hutt Hospital, 640 High Street",66,23,6,1,7,103,2
"Mangaroa","Mangaroa School Hall, 93 Flux Road",100,172,13,9,15,309,1
"Manor Park","48 Mary Huse Grove",52,48,6,5,8,119,1
"Maoribank","Maoribank School Hall, 32 Hillside Drive",147,99,21,5,19,291,0
"Naenae","Naenae Community Hall, corner Treadwell & Everest Streets",274,58,31,12,24,399,3
,"Naenae Kindergarten, 19 Seddon Street",303,108,22,12,40,485,3
,"Naenae Primary School, 18 Wheatley Street ",250,105,33,12,19,419,4
,"Rata Street School, 73 Rata Street",418,115,35,19,42,629,7
"Parkdale","Birchville School, 16 Gemstone Drive",252,161,33,10,23,479,2
"Petone","Petone Central School, 16 Britannia Street",30,10,0,1,4,45,0
"Pinehaven","Pinehaven Community Hall, 7a Forest Road",248,171,17,20,32,488,3
"Pomare","Pomare School, 4 Partridge Street",243,31,14,12,15,315,9
"Riverstone Terraces","Trevean Garage, 2 Garrett Place ",88,228,9,13,14,352,11
"Silverstream","Old BP Silverstream, 262 Fergusson Drive",302,362,26,15,27,732,7
,"Silverstream School Hall, 27 Whitemans Road",450,639,37,25,67,1218,3
"Stokes Valley","Freemasons Lodge, 162 Stokes Valley Road",633,322,59,30,65,1109,12
,"Tui Glen School, 126 Stokes Valley Road",466,268,42,34,46,856,11
,"Uniting Parish Church, 346 Stokes Valley Road",436,271,43,12,38,800,2
"Taita","Avalon Intermediate School, 1041 High Street",412,257,31,22,37,759,14
,"Taita Central School, 33a Churton Crescent",301,67,34,3,28,433,4
"Te Marua","Plateau School, 12a Molloys Road",204,152,27,8,22,413,1
"Timberlea","Timberlea Community Centre, 72 Norana Road",69,33,6,4,1,113,0
"Totara Park","Totara Park School, 16 California Drive",483,297,38,16,27,861,12
"Trentham","Masonic Centre, 27-29 Islington Street",318,167,23,10,22,540,3
,"Trentham School, 2 Moonshine Road",399,279,25,20,24,747,1
"Upper Hutt","Fraser Crescent School, 16 Redwood Street",258,167,23,19,10,477,2
,"St Hilda's Church Hall, 35 Cruickshank Road",181,115,10,7,11,324,0
,"St Joseph's School Hall, 24 Royal Street",223,113,27,7,16,386,5
,"The Mall, Ground Floor, next to Farmers",691,519,70,40,67,1387,14
,"Wesley Centre (St David's Hall), 1 Benzie Avenue",322,227,37,10,16,612,1
"Wallaceville","Baptist Church Hall, 1 Milton Street",300,188,23,10,16,537,6
,"Heretaunga College, 10-38 Ward Street",304,157,33,12,18,524,5
"Wellington City","Michael Fowler Centre, Renouf Foyer, 111 Wakefield Street",18,9,0,3,2,32,0
,"Wellington Central Library Meeting Room, Mezzanine Floor, 65 Victoria Street",12,3,1,0,2,18,0
,"Voting places where less than 6 votes were taken",0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day",6523,4177,582,349,467,12098,111
,"Special Votes BEFORE polling day",741,322,71,21,96,1251,17
,"Special Votes On polling day",1045,612,115,53,144,1969,17
,"Overseas Special Votes including Defence Force",173,172,5,17,50,417,1
,"Rimutaka Total",19286,12622,1785,973,1727,36393,332
,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",36725
"Electorate Candidate Valid Votes","Party",,"HIPKINS, Christopher John - majority 6664"
"HIPKINS, Christopher John",Labour Party,19286,.5299370758
"HOLDEN, Lewis",National Party,12622,.3468249389
"HUNT, Aaron Ronald",New Zealand First Party,1785,.0490478938
"LYNCH, Philip Michael",Conservative,973,.0267359108
"RUTHVEN, Susanne Marie",Green Party,1727,.0474541807
