Electorate Candidate and Party Votes Recorded at Each Polling Place
"Taranaki-King Country 50","Candidate Vote Details"
,,"ARDERN, Philip Shane","COPELAND, Anne Louise","HARRISON, Tony","JONES, Mark Anthony","SMITH, Horace William","STEELE, Richard","STREET, Maryan","Total Valid Candidate Votes","Informal Candidate Votes"
"Aria","Aria School, Barclay Rd, Aria",110,2,1,0,0,5,14,132,1
"Arohena","Arohena School, 40 Pukewhau Rd",88,0,0,0,1,0,14,103,2
"Auroa","Auroa Primary School, 734 Auroa Rd, RD 28",175,4,1,1,2,4,15,202,0
"Benneydale","Benneydale Community Hall, Maniaiti Street ",59,2,1,0,1,5,26,94,4
"Cardiff","Cardiff Hall, Cardiff Rd",98,3,1,0,1,4,11,118,0
"Douglas","Douglas School, SH 43",91,4,0,0,1,5,8,109,2
"Egmont Village","School (hall), 1052 Junction Rd",262,9,5,4,4,4,97,385,5
"Eltham","Eltham Primary School, 69 Conway Rd",16,0,0,0,0,1,8,25,0
,"St Mark's Church Hall, North High St",12,0,0,1,0,2,4,19,0
"Hamilton","Waikato Hospital, Pembroke St",26,0,1,0,0,0,12,39,0
"Hangatiki","School (library), 591 Hangatiki East Rd",80,0,0,0,2,2,18,102,0
"Hauturu","Memorial Hall, cnr Harbour Rd & Hauturu Rd",29,0,1,0,0,0,2,32,0
"Hillsborough","Public Hall, Egmont Rd",113,3,2,0,0,5,21,144,1
"Honikiwi","Memorial Hall, cnr Honikiwi Rd & Turoto Rd",51,0,0,0,1,0,12,64,0
"Huiakama","Huiakama School, 3095 Ohura Rd",46,2,1,0,0,2,14,65,2
"Inglewood","Inglewood Town Hall, Cutfield St",905,25,16,34,21,25,454,1480,20
,"Primary School (library), 33 Kelly St",266,7,7,13,6,5,143,447,4
"Kaimata","Kaimata School, 715 Tarata Rd",167,3,0,0,0,8,21,199,3
"Kaponga","Kaponga Primary School, 30 Egmont St",55,0,1,0,1,3,13,73,0
"Kawhia","Kawhia Community Hall, 141 Jervois St",122,2,3,0,2,4,87,220,8
"Kihikihi","Town Hall",554,28,26,6,33,24,325,996,30
"Kinohaku","Kinohaku School (library), Harbour Rd",45,2,1,0,0,1,1,50,10
"Kiokio","Kiokio School, 1701 Otorohanga Rd",174,0,3,0,1,3,21,202,2
"Kopaki","Kopaki Community Centre, Kopaki Rd",53,0,0,0,0,0,2,55,0
"Korakonui","School, 734 Wharepuhunga Rd",175,6,5,2,1,1,16,206,2
"Lepperton","Lepperton School, Richmond Rd",124,2,1,0,2,2,18,149,1
"Mahoe","Mahoe School Hall, Opunake Rd",77,3,2,0,0,2,5,89,2
"Mahoenui","Mahoenui Memorial Hall, SH3",49,0,0,0,0,6,9,64,0
"Maihiihi","Maihiihi School, 775 Maihiihi Rd",143,1,2,0,0,1,11,158,0
"Mairoa","Mairoa Hall, Mairoa Rd",55,0,0,0,0,1,4,60,0
"Manaia","Manaia Primary School, Karaka St",12,0,1,0,0,1,6,20,0
"Mangorei","Mangorei School Hall, Mangorei Rd",93,1,4,5,1,1,32,137,1
,"Memorial Hall, 732 Junction Road, SH3",103,3,1,1,2,4,33,147,5
"Mapiu","Mapui School, SH43",64,2,0,0,2,6,5,79,3
"Marokopa","Marokopa Community Hall, The Esplanade",51,0,0,2,2,0,4,59,2
"Matiere","Matiere School, Main Rd",55,2,0,0,0,3,16,76,1
"Midhirst","Midhirst Primary School, 8 Erin St",247,4,8,3,6,5,48,321,1
"Mimi","Mimi School, Pukearuke Rd",70,8,3,0,2,4,23,110,2
"Mokau","Mokau Primary School, Rangi St",135,2,0,0,1,2,44,184,2
"Mokauiti","Mokauiti Hall, Mokauiti Rd",30,0,0,0,0,2,7,39,0
"Motunui","Motunui School, Main Rd, SH 3",95,3,3,0,0,4,44,149,4
"New Plymouth","Welbourn School Hall, Coronation Avenue",30,0,1,3,0,1,14,49,2
"Ngaere","Ngaere School, 4355 Mountain Rd, SH3",130,1,3,0,2,1,13,150,2
"Ngahinapouri","Ngahinapouri School, 1185 Karamea Rd",154,1,0,0,0,5,22,182,2
"Ngutunui","Ngutunui School, Ngutunui Rd",79,2,4,0,2,0,13,100,1
"Norfolk","Norfolk School, Norfolk Rd",209,2,2,7,3,6,32,261,1
"Oaonui","Oaonui Hall, SH45",115,0,1,0,0,2,12,130,0
"Ohaupo","Memorial Hall, Great South Rd",123,8,4,0,2,5,35,177,1
"Ohura","Ohura Valley School, Ngarimu St",52,0,3,0,6,2,38,101,2
"Okahukura","Education Institute, Okahukura Back Rd",21,1,0,0,1,2,8,33,0
"Okato","Coastal Taranaki School, Old South Rd SH45",79,0,0,0,0,0,24,103,3
"Ongarue","Ongarue School, Village Rd",57,0,0,1,2,2,10,72,0
"Oparau","Oparau Hall, 33 Rotoiti Rd",44,1,0,0,1,1,11,58,1
"Oparure","Oparure School, Oparure Rd",51,0,0,0,0,0,8,59,0
"Opunake","Opunake Primary School, Longfellow Rd",454,5,9,9,12,7,243,739,27
"Otakeho","Otakeho Hall, Auroa Road, SH45",47,2,1,0,1,8,6,65,1
"Otewa","Otewa School, Otewa Rd",97,0,1,0,1,2,8,109,3
"Otorohanga","District Library Meeting Room Maniapoto St",744,10,9,1,14,13,258,1049,11
,"Otorohanga College (Hall), Bledisloe Avenue",272,8,4,0,4,2,90,380,1
"Parawera","Parawera School, 18 Mellsop Rd",104,2,2,0,0,2,21,131,0
"Paterangi","Paterangi School, 1326 Paterangi Rd",189,1,1,2,4,2,29,228,2
"Pihama","Pihama Hall, Main South Road, SH45",97,2,0,0,0,2,14,115,0
"Piopio","Piopio School, 14 Aria Rd",325,3,4,2,3,8,68,413,7
"Pirongia","Pirongia School, 100 Beechey St",620,14,6,4,18,12,174,848,13
"Pokuru","Pokuru School, Pokuru Rd",179,4,1,0,1,0,22,207,3
"Puahue","Puahue School, 573 Puahue Rd",136,0,0,1,3,5,20,165,2
"Pukeatua","Pukeatua School, 2110 Arapuni Rd",130,6,1,1,0,2,30,170,1
"Pukengahu","Hall, cnr Waihapa & Wingrove Rd",62,0,0,0,0,2,9,73,0
"Pungarehu","Pungarehu Hall, SH45",96,3,0,2,4,4,39,148,2
"Raglan","Town Hall, 41 Bow St",37,4,0,0,2,1,29,73,2
"Rahotu","Rahotu School, SH45",164,6,0,1,3,1,45,220,0
"Rangitoto","Rangitoto School, Rangitoto Rd",63,0,0,0,0,1,9,73,1
"Ratapiko","Ratapiko School, 4 Ratapiko Rd",86,4,1,2,0,2,17,112,0
"Stratford","Avon School, Hamlet St",238,7,5,2,15,3,185,455,10
,"Methodist Church Hall, Regan St",604,13,11,9,18,18,350,1023,17
,"Stratford High School, Swansea Rd",224,12,4,0,8,6,139,393,7
,"Stratford Primary School, Regan St",520,13,8,3,13,11,284,852,17
"Tahora","Tahora School, 31 Tahora Rd",42,0,0,0,0,0,9,51,2
"Taumarunui","WINZ Main Office, cnr Miriama & Marae Sts",62,1,1,1,0,9,16,90,3
"Te Anga","Te Anga Hall, Te Anga Rd",25,0,0,0,0,0,1,26,0
"Te Awamutu","Courthouse, Walton St",485,24,20,4,19,15,264,831,18
,"Intermediate School, Hazelmere Cres",282,11,16,3,13,9,172,506,4
,"Pekerau School, 742 Te Rahu Rd",481,17,20,7,27,14,278,844,10
,"Primary School, 401 Teasdale St",721,32,19,6,32,15,350,1175,28
,"Te Awamutu College (hall), Alexandra St",883,42,49,8,48,31,457,1518,37
"Te Kawa","Cross Roads Hall cnr SH3 & Te Kawa Rd",228,3,6,1,1,4,40,283,0
"Te Kiri","Te Kiri Hall, Eltham Rd",110,1,1,0,0,1,8,121,1
"Te Kuiti","Centennial Park School, Te Kuiti Rd",94,6,4,1,4,2,63,174,2
,"Te Kuiti Courthouse, Queen St",372,16,6,2,11,9,181,597,10
,"Te Kuiti High School, Hospital Rd",184,7,3,3,6,3,92,298,6
,"Te Kuiti Primary School, Rora St",343,15,2,1,12,14,132,519,12
"Te Mata","Te Mata School, 778 Te Mata Rd",136,1,0,0,3,2,30,172,1
"Te Pahu","Te Pahu School, 671 Te Pahu Rd",309,10,7,2,7,13,124,472,9
"Te Rahu","Public Hall, cnr SH3 & Te Rahu Rd",198,4,4,0,2,5,41,254,4
"Te Uku","Te Uku School, 3436 SH 23",40,0,1,1,2,1,19,64,1
"Tihiroa","Hall, cnr Kawhia Rd & Te Kawa Rd SH31",78,2,1,0,4,2,12,99,0
"Tikorangi","Tikorangi School, Ngatimaru Rd",185,3,2,0,2,2,33,227,3
"Tokirima","Tokirima School, Tokirima Rd",39,1,0,0,0,1,8,49,1
"Toko","Toko School, SH43",163,2,1,2,0,3,22,193,2
"Tongaporutu","Tongaporutu Hall, Tongaporutu Rd",42,0,3,0,0,3,21,69,4
"Urenui","Urenui School (library), Takiroa St",297,10,4,0,2,16,101,430,10
"Uruti","Uruti School, Uruti Rd",55,0,0,1,0,2,15,73,3
