Electorate Candidate Votes Recorded at Each Voting Place
"Northcote 34","Candidate Vote Details"
,,"COLEMAN, Jonathan David","HILLS, Richard Brian","HO, Gil","KRONFELD, Timothy Paul","LIGHT, Damian Francis","SMITHSON, Anne-Elise","WEBSTER, Matthew James ","Total Valid Candidate Votes","Informal Candidate Votes"
"Beach Haven","Maria Assumpta Parish Hall, 198 Beach Haven Road",338,353,4,4,3,75,27,804,2
,"The Beach Haven Hall, 336 Rangatira Road",862,698,26,9,12,213,37,1857,11
"Birkdale","Birkdale Intermediate School, 200 Birkdale Road",720,515,9,17,9,136,39,1445,12
,"Birkdale North School, 213 Birkdale Road",277,198,6,5,2,58,14,560,7
,"Birkenhead Baptist Church Hall, 25 Birkdale Road",584,335,9,7,11,100,40,1086,7
"Birkenhead","All Saints Hall, 187 Hinemoa Street",764,321,6,7,3,147,20,1268,6
,"Chelsea Primary School, 2 Onetaunga Road",985,301,9,16,5,99,28,1443,4
,"North Shore Church of Christ, 3 Willow Avenue",327,145,6,5,3,42,15,543,4
,"Zion Hill Methodist Church Hall, corner Onewa Road & Birkenhead Avenue",909,416,9,12,10,125,47,1528,12
"Glenfield","Glenfield College, 52-60 Kaipatiki Road",221,167,5,9,5,18,15,440,3
,"Glenfield Community Centre, corner Glenfield Road & Bentley Avenue",465,322,8,24,4,85,36,944,11
,"Glenfield Primary School, 101 Chivalry Road",371,205,7,15,3,42,22,665,7
,"Manuka Primary School, 34 Manuka Road",30,28,0,0,1,10,3,72,1
,"Marlborough Primary School, 4 Wykeham Place",455,296,11,5,2,38,42,849,10
,"Target Road Primary School, 80 Target Road",17,10,0,0,0,5,6,38,3
,"Windy Ridge School, 50 Seaview Road",575,263,7,11,10,64,37,967,4
"Little Shoal Bay","Northcote Bowling Club, 9 Council Terrace",349,83,1,1,0,47,4,485,3
"Milford","North Shore Hospital, Shakespeare Road",20,19,0,1,0,3,1,44,0
"Northcote","Northbridge Retirement Village Hall, 45 Akoranga Drive",301,130,6,3,4,55,16,515,3
,"Northcote Intermediate, 145 Lake Road",856,533,11,44,1,141,37,1623,18
,"Northcote Primary School, corner Lake & Onewa Roads",672,222,7,7,2,93,26,1029,3
,"Sunnybrae Normal School, 36 Sunnybrae Road",852,303,8,24,9,102,34,1332,12
,"Tongan Methodist Church Hall, corner Queen Street & Stafford Road",509,121,0,5,1,44,9,689,1
,"Willow Park School, 13 Compton Street",1261,500,5,21,5,137,71,2000,12
"Sunnynook","Wairau Intermediate School, 113 Becroft Drive",19,7,0,0,0,1,2,29,1
"Takapuna","Takapuna Normal Intermediate School, 54b Taharoto Road",23,9,0,0,0,8,4,44,2
,"Takapuna School, 23 Auburn Street (or Anzac Street entrance)",54,15,0,2,1,11,0,83,0
,"Voting places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day",4743,2329,53,80,31,586,228,8050,92
,"Special Votes BEFORE polling day",510,326,14,9,3,105,32,999,12
,"Special Votes On polling day",1236,704,37,36,18,347,69,2447,36
,"Overseas Special Votes including Defence Force",391,158,6,4,1,93,13,666,7
,"Northcote Total",19696,10032,270,383,159,3030,974,34544,306
,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",34850
"Electorate Candidate Valid Votes","Party",,"COLEMAN, Jonathan David - majority 9664"
"COLEMAN, Jonathan David",National Party,19696,.5701713756
"HILLS, Richard Brian",Labour Party,10032,.2904122279
"HO, Gil",Internet Party,270,.0078161186
"KRONFELD, Timothy Paul",ACT New Zealand,383,.0110873089
"LIGHT, Damian Francis",United Future,159,.0046028254
"SMITHSON, Anne-Elise",Green Party,3030,.0877142195
"WEBSTER, Matthew James ",Conservative,974,.028195924
