Electorate Candidate and Party Votes Recorded at Each Polling Place
"Hamilton East 13","Candidate Vote Details"
,,"BENNETT, David ","GIELEN, Jack","JACKSON, Robyn Louise","MALLETT, Garry Bruce","McKENZIE, Carolyn Lee","MORONEY, Suzanne Mary","PERSSON, Linda","WHITE, Rochelle Karen","WOOLERTON, Robert Douglas","Total Valid Candidate Votes","Informal Candidate Votes"
"Cambridge","Cambridge Middle School, corner Clare & Grey Streets",1,0,0,0,0,4,0,0,1,6,0
,"Cambridge Primary School, Wilson Street",21,0,0,0,0,4,2,0,2,29,0
"Chartwell","Hukanui School, corner Hukanui Road & Pickering Crescent",1507,2,6,33,3,500,58,15,43,2167,16
,"St Albans Church Hall, corner Comries Road & Belmont Avenue",992,2,9,24,2,518,52,8,56,1663,10
"Claudelands","Peachgrove Intermediate School, Peachgrove Road",305,2,6,4,4,227,37,5,18,608,9
,"Southwell School, 200 Peachgrove Road",588,1,6,15,1,286,39,8,21,965,4
,"St Aidans Parish Hall, 24 Thames Street",427,3,6,8,2,360,42,3,24,875,5
"Enderley","Te Kura Kaupapa Maori O Te Ara Rima School, Fifth Avenue",207,2,8,9,1,263,31,9,21,551,9
"Fairfield","Fairfield Baptist Church, 1101 Heaphy Terrace",186,1,6,11,0,201,11,2,20,438,3
,"Fairfield College, Bankwood Road",246,0,1,9,0,204,22,2,10,494,1
,"Fairfield Intermediate School, 261 Clarkin Road",256,1,2,2,2,233,16,2,26,540,5
,"Insoll Avenue School, 95 Insoll Avenue",416,0,4,28,1,439,48,9,46,991,8
,"Wesley Methodist Hall, 955 Heaphy Terrace",216,0,2,9,3,274,41,3,21,569,3
,"Woodstock Primary School, Fairfield Road",487,0,4,15,1,254,22,1,15,799,5
"Flagstaff","Alandale Retirement Village, 1199 River Road North",1281,1,6,26,1,390,32,3,24,1764,13
"Frankton","Frankton School Hall, Massey Street",9,0,1,0,0,12,8,0,1,31,0
"Hamilton East","Air Training Corps Hall, corner Naylor & Dey Streets",402,1,2,10,2,276,41,5,23,762,4
,"Graceways Church, 69 Grey Street",245,0,3,10,0,187,37,1,9,492,2
,"Hamilton East Primary School, Dawson Street",341,0,1,11,1,298,61,5,23,741,10
,"Knox Presbyterian Hall, 50 Albert Street",461,2,4,14,2,430,60,4,26,1003,11
,"Marian Catholic School, corner Firth & Clyde Streets",501,4,5,6,0,351,44,5,23,939,6
"Hamilton West","Hamilton West School, 36 Hammond Street",12,0,0,1,0,15,2,0,0,30,0
,"Waikato Hospital, Pembroke Street, Level B5, main entrance foyer",36,1,1,1,0,24,2,1,1,67,0
"Hillcrest","Hillcrest Normal School, 218 Cambridge Road",833,1,4,10,3,453,85,12,30,1431,11
,"Knighton Normal School, Knighton Road",804,1,5,9,4,570,90,10,24,1517,8
"Horotiu","Horotiu School, Horotiu Bridge Road",16,0,0,0,0,6,0,0,0,22,0
"Maeroa","Maeroa Intermediate School, 57 Churchill Avenue",6,0,0,0,0,3,0,1,0,10,0
"Melville","Melville Methodist Church Hall, corner Bader Street & Normandy Avenue",3,0,0,1,0,8,1,0,0,13,0
,"Melville Primary School, 101 Ohaupo Road",7,0,1,0,0,5,2,0,0,15,0
"Nawton","Nawton School, 58 Livingstone Avenue",2,0,1,0,0,9,1,0,0,13,0
"Pukete","Pukete School, 100 Pukete Road",48,0,0,1,0,16,4,3,0,72,0
"Rototuna","Chapel Hill Community Church, 2 Cate Road",1154,3,13,19,3,307,25,4,25,1553,13
,"Rototuna Primary School, 23 Strathmore Drive",1676,1,6,21,0,449,49,5,39,2246,9
,"Te Totara Primary School, off Borman Road extension",545,0,2,5,0,158,16,2,6,734,1
"Silverdale","Hillcrest High School, Masters Avenue",554,2,7,6,4,430,83,2,40,1128,5
"St Andrews","Vardon School, 36 Cunningham Road",19,0,1,0,0,2,2,1,0,25,0
"Whangamata ","Whangamata Baptist Church, 301 Port Road",32,0,0,0,0,13,0,0,0,45,0
"Whitiora","Whitiora School, 38 Willoughby Street",32,0,0,0,0,19,7,0,0,58,0
,"Polling places where less than 6 votes were taken",6,0,0,0,0,1,0,0,0,7,0
,"Hospital Votes",426,0,3,7,3,232,24,3,43,741,11
,"Ordinary Votes BEFORE polling day",2346,8,34,43,7,1145,110,13,88,3794,23
,"Special Votes BEFORE polling day",247,0,0,7,0,161,24,2,20,461,5
,"Special Votes On polling day",1275,2,18,39,3,723,175,16,54,2305,24
,"Overseas Special Votes including defence force",267,0,2,6,1,161,27,3,7,474,2
,"Hamilton East Total",19441,41,180,420,54,10621,1433,168,830,33188,236
,,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",33424
"Electorate Candidate Valid Votes","Party",,"BENNETT, David  - majority 8820"
"BENNETT, David ",National Party,19441,.5857840183
"GIELEN, Jack",The Republic of New Zealand Party,41,.0012353863
"JACKSON, Robyn Louise",Kiwi Party,180,.0054236471
"MALLETT, Garry Bruce",ACT New Zealand,420,.0126551766
"McKENZIE, Carolyn Lee",Democrats for Social Credit,54,.0016270941
"MORONEY, Suzanne Mary",Labour Party,10621,.3200253104
"PERSSON, Linda",Green Party,1433,.0431782572
"WHITE, Rochelle Karen",United Future,168,.0050620706
"WOOLERTON, Robert Douglas",New Zealand First Party,830,.0250090394
