Electorate Candidate and Party Votes Recorded at Each Polling Place
"Bay of Plenty 4","Candidate Vote Details"
,,"BROWN, Peter Alfred","FRANCIS-ROBERSON, Michael","LEIGH, Jeffrey Allan","MAXWELL, Roberta Ann","PAUL, Te Orohi Teeni","RYALL, Anthony Boyd Williams","SCOTT, Pauline Anne","STEPHENS, Ian Douglas","STEWART-WARD, Veronique","Total Valid Candidate Votes","Informal Candidate Votes"
"Otakiri","Otakiri School, Staff Room, 571 Otakiri Road",26,0,6,0,1,201,74,9,1,318,2
"Otamarakau","Otamarakau School, Room 2, 2216 Old Coach Road",6,0,2,0,1,115,9,2,0,135,0
"Paengaroa","Paengaroa School, Multi Purpose Room, Old Coach Road",65,0,14,4,3,478,101,16,5,686,5
"Papamoa","Papamoa Primary School Hall, 312 Dickson Road",243,3,36,16,13,1149,487,89,17,2053,12
,"Papamoa Sports & Recreation Centre, Board Room, Gordon Spratt Reserve, 127 Parton Rd",56,0,6,2,1,288,96,15,4,468,1
,"Tahatai Coast School Hall, 45 Evans Road",399,0,37,17,13,1923,632,76,19,3116,20
,"Te Akau Ki Papamoa School, 29 Doncaster Drive",187,2,21,6,15,767,364,49,16,1427,13
"Pongakawa","Pongakawa School Library, 956 Old Coach Road",37,0,5,5,3,287,52,7,1,397,0
"Pukehina","Pukehina School Staff Room, 1758 Old Coach Road",10,0,0,0,0,58,15,2,0,85,1
"Pukehina Beach","Pukehina Community Hall, 14 Pukehina Parade",50,0,5,0,8,141,72,23,3,302,6
"Pyes Pa","Aquinas College, 183 Pyes Pa Road",35,0,8,3,0,196,46,6,2,296,0
,"Pyes Pa School Hall, 968 Pyes Pa Road",71,0,14,4,1,306,71,23,5,495,3
"Tauranga","Boys' College, Drama Room, Devonport Road",36,0,6,4,0,90,29,9,0,174,1
,"Greenpark School, 13 Lumsden Street",41,0,10,5,3,189,58,13,2,321,3
,"Tauriko School, SH 29",93,2,14,1,1,417,96,32,3,659,1
"Te Puke","Fairhaven School Hall, 120 Boucher Avenue",173,0,27,20,5,1042,295,34,13,1609,7
,"Te Puke Settlers Hall, 130 Jellicoe St",331,1,37,36,17,1348,452,68,14,2304,27
