Electorate Candidate and Party Votes Recorded at Each Polling Place
"Clutha-Southland 6","Candidate Vote Details"
,,"CALVERLEY, William Ross","CORBETT, Anthony James","ENGLISH, Simon William","GOLDSMITH, Rachael Louise","LOO, Tat Ang","MILLS, Robert Alexander","NICOLSON, Donald Owen","Total Valid Candidate Votes","Informal Candidate Votes"
"Arrowtown","Arrowtown Primary School, 9 Chalmers Place",19,5,853,189,147,2,9,1224,15
"Balclutha","Balclutha Information Centre, 4 Clyde Street",17,2,485,43,221,6,16,790,22
,"Balclutha Primary School Hall, 21 Lanark Street",11,0,196,20,80,3,3,313,6
,"Rosebank School Hall, 21 Frances Street",12,4,415,37,149,2,4,623,15
,"St Andrew's Church Hall, corner Clyde & George Streets",15,1,306,37,164,1,4,528,21
"Balfour","Balfour School, 131 Queen Street",5,0,204,3,9,0,15,236,4
"Blackmount","Blackmount School, 4288 Blackmount-Redcliff Road",1,0,61,3,5,0,3,73,6
"Browns","Hillside School, 24 McCaughan Street",2,0,106,5,8,1,12,134,2
"Clifden","Hauroko Valley School, 956 Clifden Highway",0,0,70,2,4,1,3,80,7
"Clinton","Clinton School, 34 Halsey Street",10,1,204,18,51,1,10,295,9
"Crookston","Crookston Public Hall, 1252 Tapanui-Raes Junction Highway ",2,0,59,2,3,0,4,70,2
"Dipton","Dipton School, 1935 James Street",3,0,163,12,10,0,0,188,4
"Drummond","Drummond Primary School, corner Boundary & Domain Roads",8,1,168,5,12,2,8,204,4
"Dunrobin","Dunrobin Memorial Hall, corner Moa Flat, Triangle & Dunrobin Roads",0,0,81,2,1,0,0,84,2
"Edendale","Edendale School, 24 Salford Street",2,0,5,3,4,0,0,14,1
"Fairfax","Fairfax Public Hall, 1493 Riverton-Otautau Road",2,1,68,1,3,0,10,85,1
"Five Rivers","Five Rivers Hall, 1898 Five Rivers-Mossburn Road",1,0,64,0,1,0,3,69,1
"Frankton","Queenstown Events Centre, 35 Joe O'Connell Drive",5,4,402,55,56,1,5,528,5
,"St Margaret's Church, corner Kawarau Road & Ross Street",20,11,1028,205,177,3,6,1450,30
"Garston","Garston School, 1705 State Highway 6",2,1,76,8,9,1,5,102,3
"Glenorchy","Glenorchy Primary School, corner Cantire & Oban Streets",3,0,87,26,17,0,0,133,2
"Gore","Calvin Presbyterian Church Centre, 25 Robertson Street",41,7,735,43,191,2,22,1041,33
,"East Gore School Hall, 3 Wentworth Street",29,1,339,48,142,5,19,583,18
,"Gore District Court, 6 Hokonui Drive",34,2,446,50,176,3,28,739,27
,"Gore Main School, School Hall, 39 Ardwick Street",32,3,568,62,160,1,19,845,29
,"Rachel's Studio of Dance (formerly Pipe Band Hall), 27 Hyde Street",22,0,234,15,105,5,14,395,19
"Greenfield","Clutha Valley School, 2155 Clutha Valley Road",10,1,205,5,5,0,17,243,7
"Heddon Bush","Heddon Bush School, 233 Hall Road",1,0,88,7,4,0,13,113,2
"Heriot","Heriot School, 181 Roxburgh Street",6,0,97,3,9,0,1,116,3
"Hillend","Hillend Hall, 1036 Hillend Road",3,0,62,2,1,0,4,72,0
"Hokonui","Hokonui Centennial Hall, 190 Hokonui School Road",0,0,41,1,5,0,6,53,2
"Kaitangata","Kaitangata School, Salcombe Street",10,2,116,36,152,2,13,331,19
"Kaiwera","Kaiwera Hall, 883 Kaiwera-Pukerau Road",1,1,83,2,1,2,1,91,1
"Kaka Point","Kaka Point Community Centre, Moana Street",5,1,105,14,31,0,6,162,8
"Kelvin Heights","Lakeland Park Christian Camp, 496 Peninsular Road",8,6,139,18,20,0,5,196,5
