Electorate Candidate Votes Recorded at Each Voting Place
"Manurewa 25","Candidate Vote Details"
,,"BHANA, Raewyn Teresa","BROWN, Simeon Peter","DAINTY, Yvonne","HALL, John Harold","IKILEI, Elliot Ewen Pasione","TUPOU, Patricia Margaret","WALL, Louisa Hareruia","Total Valid Candidate Votes","Informal Candidate Votes"
"Alfriston","Alfriston School, Performing Arts Centre, corner Mill & Alfriston Roads",0,17,1,4,1,0,5,28,1
"Botany South","Sancta Maria College, 319 Te Irirangi Drive",1,91,0,9,2,8,30,141,0
"Chapel Downs","Chapel Downs Primary School, 170 Dawson Road",3,159,5,25,17,20,247,476,14
"Flat Bush","Dawson Road Primary School, 15 Haumia Way",1,11,2,6,3,6,73,102,3
,"Kia Aroha College, 51 Othello Drive",2,19,0,16,3,11,83,134,2
"Manukau","Everglade Primary School Hall, 64 Everglade Drive Manukau",6,1092,9,122,44,85,776,2134,29
,"Redoubt North Wesleyan Church, 51 Diorella Drive ",9,281,11,59,26,41,362,789,18
,"Wiri Community Hall, 11 Inverell Avenue",6,31,4,31,10,22,387,491,11
"Manurewa","Alfriston College, KT1 Foyer, Alfriston Road entrance",3,39,0,3,1,6,36,88,0
,"Clendon Park School Hall, 145 Rowandale Avenue ",7,101,13,35,10,13,391,570,11
,"Elmwood Village Community Centre, 131 Hill Road",1,20,1,6,1,2,8,39,0
,"Finlayson Park School Hall, 87 John Walker Drive",8,146,10,54,12,32,674,936,14
,"Greenmeadows Intermediate, Ferguson Road entrance",3,45,1,22,4,8,131,214,6
,"Hillpark School Hall, 57 Grande Vue Road",11,698,3,93,40,66,459,1370,8
,"Homai Primary School Hall, 89 Browns Road",3,104,4,32,15,16,277,451,8
,"James Cook High School Hall, 12 Dr Pickering Avenue",5,97,5,52,11,15,284,469,10
,"Manurewa Central School, corner Great South & Hill Roads",4,171,3,27,12,16,182,415,9
,"Manurewa East School Hall, 10 Scotts Road",1,52,1,19,8,10,117,208,2
,"Manurewa Library, 7 Hill Road",7,359,6,52,26,33,520,1003,23
,"Manurewa South Primary School Hall, 39 Tawa Crescent ",2,89,1,24,4,6,147,273,4
,"Manurewa West Primary School Hall, 31 McKean Avenue",3,131,1,32,8,10,261,446,6
,"Roscommon School Hall, 23 Burundi Avenue",7,122,13,65,12,52,577,848,14
,"Rowandale School Hall, 73 Rowandale Avenue",3,116,5,68,11,31,476,710,12
,"St Elizabeth's Anglican Church Hall, 182 Finlayson Avenue",5,52,1,22,5,15,157,257,2
,"St Luke's Anglican Church Hall, 3 Russell Road ",9,172,6,57,8,29,350,631,24
,"Table Tennis Club Hall, corner Browns & McVilly Roads",7,91,3,48,7,29,262,447,11
,"Te Matauranga School Hall, 206 Finlayson Avenue",7,104,4,35,8,24,343,525,8
,"The Gardens School Hall, 101 Charles Prevost Drive",0,26,0,0,0,0,12,38,0
"Otahuhu","Middlemore Hospital, Hospital Road",1,11,0,4,2,7,22,47,1
"Otara","Otara Leisure Centre, Seminar Room, 115 Bairds Road ",2,1,0,1,0,2,22,28,0
"Papatoetoe","Papatoetoe South School, 60 Milan Road (Kenderdine Road entrance)",0,9,0,3,0,1,19,32,0
,"Puhinui Primary School Hall, 116 Puhinui Road",3,122,6,43,11,16,264,465,7
,"Puhinui Scout Hall, York Road",0,3,0,4,0,1,5,13,1
"Takanini","Takanini School Hall, 39 Takanini School Road ",0,9,0,1,1,0,18,29,0
"Wattle Downs","Clayton Park School Hall, 187 Coxhead Road (Wattle Farm Road entrance)",0,27,0,4,2,4,34,71,2
"Weymouth","Weymouth Primary School Hall, 23 Evans Road",13,367,15,101,17,42,396,951,25
,"Voting places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day",55,1792,76,605,153,247,3560,6488,125
,"Special Votes BEFORE polling day",12,244,21,71,16,49,649,1062,21
,"Special Votes On polling day",28,558,35,151,47,140,1340,2299,49
,"Overseas Special Votes including Defence Force",0,57,2,9,4,12,82,166,0
,"Manurewa Total",238,7636,268,2015,562,1127,14038,25884,481
,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",26365
"Electorate Candidate Valid Votes","Party",,"WALL, Louisa Hareruia - majority 6402"
"BHANA, Raewyn Teresa",Māori Party,238,.0091948694
"BROWN, Simeon Peter",National Party,7636,.2950084995
"DAINTY, Yvonne",MANA Movement,268,.0103538866
"HALL, John Harold",New Zealand First Party,2015,.0778473188
"IKILEI, Elliot Ewen Pasione",Conservative,562,.0217122547
"TUPOU, Patricia Margaret",Green Party,1127,.0435404111
"WALL, Louisa Hareruia",Labour Party,14038,.54234276
