Electorate Candidate and Party Votes Recorded at Each Polling Place
"Tukituki 54","Candidate Vote Details"
,,"BARKER, Richard John","BURCH, Scott Frank","EARTH, Ruth Elizabeth","FOSS, Craig Raymond Robert","ORMOND, John Davies","SMITH, Jocelyn Penelope","TOMOANA, Ngahiwi ","Total Valid Candidate Votes","Informal Candidate Votes"
"Akina","Hastings Central School, 400 Karamu Road South",533,2,48,310,9,24,16,942,13
,"Hastings Intermediate School, Hastings Street South",245,0,24,206,5,13,5,498,3
"Argyll East","Argyll School, Argyll East Road",11,0,3,59,2,0,0,75,1
"Ashley Clinton","Sherwood School, Makaretu Road",32,1,6,92,1,2,1,135,0
"Bridge Pa","Bridge Pa School, Maraekakaho Road",67,0,15,188,5,4,11,290,0
"Camberley","Camberley School, Kiwi Street",199,1,9,25,3,4,11,252,9
,"Main Entrance, Hawkes Bay Regional Hospital, Omahu Road",107,1,10,83,5,8,5,219,1
"Clive","Clive Community Hall, Main Road",34,0,9,54,2,2,3,104,0
"Crownthorpe","Crownthorpe School, 104 Crownthorpe Road",21,0,2,64,3,1,0,91,0
"Flaxmere","Ellen Stevenson Kindergarten, 90 Chatham Road",382,2,11,112,3,10,26,546,19
,"Flaxmere Primary School, 20 Henderson Road",226,0,12,132,4,11,17,402,2
,"Irongate School, Walton Way",203,0,10,88,2,11,10,324,5
,"Kimi Ora Community School, 1 Boston Crescent",88,0,8,10,0,1,11,118,4
,"Peterhead School, 10 Peterhead Avenue",402,0,11,139,4,21,29,606,6
"Flemington","Flemington School, Rotohiwi Road",14,0,0,51,3,1,0,69,0
"Frimley","Frimley School, Frimley Road",543,3,27,646,12,36,19,1286,10
"Hastings Central","District Courthouse, 102 Eastbourne Street West",301,0,25,197,5,11,13,552,3
,"St John Ambulance Hall, 107 Southland Road",442,2,28,358,5,8,6,849,12
,"Wesley Hall, Hastings Street South",325,0,16,167,3,14,9,534,14
"Havelock North","Arataki Holiday Park, Arataki Road",114,0,5,318,4,7,1,449,1
,"Havelock North High School, 177 Te Mata Road",260,0,27,654,5,9,2,957,3
,"Havelock North Primary School, Campbell Street",459,1,34,1142,12,17,13,1678,6
,"Lucknow School, 42 Elliott Crescent",422,1,36,465,19,21,13,977,7
,"Our Lady of Lourdes Parish Hall, St Hill Lane",277,2,23,510,7,16,4,839,3
