Electorate Candidate and Party Votes Recorded at Each Polling Place
"Waiariki 69","Candidate Vote Details"
,,"FLAVELL, Te Ururoa","RIRINUI, Michael Mita","VERCOE, Hawea Ralph Drummond","Total Valid Candidate Votes","Informal Candidate Votes"
,"Taupo Primary School Hall, Tamamutu Street",68,62,8,138,3
,"Unison Youth Arts Centre, Richmond Avenue",11,10,4,25,1
,"Waipahihi Primary School Library, 20 Parata Street",20,24,0,44,1
"Tokaanu","Tokaanu Lodge Motel, Units 6 and 7, cnr Mangaroa Street and SH 41",23,8,1,32,1
"Tokoroa","Kinleith Firestation, Main Entrance Road, Off Kinleith Road, Off SH 1",9,7,1,17,1
"Turangi","Te Kura O Hirangi, Staffroom, 25 Mawake Place",181,94,4,279,12
,"Tongariro Seniors' Hall, Town Centre",99,85,6,190,4
"Wairakei","Wairakei Resort, Heritage Room SH 1 Wairakei",8,3,0,11,0
"Wairakei Village","Wairakei School, Room 1, Kauri Drive",41,19,0,60,2
"Waitahanui","Te Kura o Waitahanui, State Highway 1",56,21,1,78,0
,Tauranga
"Bethlehem","Baptist Church Hall, Bethlehem Road",48,40,0,88,3
,"Institute of Education, Elder Lane",3,4,3,10,1
"Mt Maunganui","Harbourside Netball Pavilion, Maunganui Road",19,21,1,41,4
,"Intermediate School, 21 Links Avenue",21,47,2,70,4
,"Mt Maunganui College, Maunganui Road",46,39,6,91,2
,"Primary School, 13 Orkney Road",10,19,0,29,1
,"Senior Citizens' Hall, 345 Maunganui Road",6,22,1,29,3
,"St Peter's Church Hall, 11 Victoria Road",3,7,0,10,0
"Pyes Pa","Aquinas College, 183 Pyes Pa Road",7,8,3,18,1
"Tauranga","Boys' College, Drama Room, Devonport Road",12,38,7,57,4
,"Brookfield School, 20 Millers Road",91,93,8,192,10
,"Gate Pa School, 900 Cameron Road",44,65,8,117,5
,"Greenpark School, 13 Lumsden Street",11,21,6,38,3
,"Greerton Village School, Greerton Road",88,67,8,163,11
,"Matua Community Hall, Levers Road",15,19,2,36,2
,"Merivale School, 26 Kesteven Avenue",62,99,10,171,8
,"Otumoetai College, 105 Windsor Road",35,24,2,61,1
,"Otumoetai School, 236 Otumoetai Road",31,29,8,68,6
,"Pillans Point School, 101 Maxwells Road",10,17,2,29,2
,"Primary School Hall, Fifth Avenue",12,15,0,27,0
,"St Columba Church Hall, 502 Otumoetai Road",9,12,1,22,1
,"St George's Anglican Church Hall, 1 Church Street",14,22,5,41,5
,"St Peter's Community Centre, cnr Cameron Rd and Spring St",13,12,1,26,3
,"Tauranga Intermediate School, 30 Eighteenth Avenue",13,19,5,37,0
,"Tauriko School, SH 29",11,9,2,22,6
,"Polling places where less than 6 votes were taken",6,4,1,11,1
,"Hospital Votes",34,58,12,104,9
,"Ordinary Votes BEFORE polling day",522,353,83,958,29
,"Special Votes BEFORE polling day",109,57,8,174,11
,"Special Votes On polling day",866,557,79,1502,44
,"Overseas Special Votes including defence force",26,19,4,49,2
,"Waiariki Total",10392,7521,1126,19039,655
,,,,"Valid Candidate Votes plus Informal Candidate Votes",19694
"Electorate Candidate Valid Votes","Party",,"FLAVELL, Te Ururoa - majority 2871"
"FLAVELL, Te Ururoa",Mâori Party,10392,.5458269867
"RIRINUI, Michael Mita",Labour Party,7521,.3950312516
"VERCOE, Hawea Ralph Drummond",Destiny New Zealand,1126,.0591417616
