Electorate Candidate and Party Votes Recorded at Each Polling Place
"Mt Albert 27","Candidate Vote Details"
,,"BAGNALL, James Archibald Ralph","BATCHELOR, Julian","CARAPIET, Jonathan Michael","CLARK, Helen Elizabeth","GORDON, Anthony James","MUSUKU, Ravi Kumar","PONGA, Howard Wayne","RAVLICH, Anthony George","SEYMOUR, David Breen","TAYLOR, Erik John","WHITMORE, Daphna Kaye","WILLIAMSON, Frances Anne ","WILSON, Jennifer Reta","Total Valid Candidate Votes","Informal Candidate Votes"
"Avondale","Avondale Baptist Church Hall, cnr Blockhouse Bay Rd and New North Rd",0,10,19,312,7,60,0,0,14,1,0,6,4,433,7
,"Avondale College (Music Suite), Victor Street",2,15,44,750,15,166,0,0,26,0,0,21,8,1047,6
,"Avondale Community Centre, 99 Rosebank Road",1,36,19,886,5,134,1,1,15,1,1,19,11,1130,26
,"Avondale Primary School Hall, Crayford Street",0,16,16,449,5,96,2,1,11,0,3,11,12,622,9
,"Rosebank School Hall, 217 Rosebank Road",3,51,41,1137,20,211,1,0,19,0,1,21,12,1517,11
"Balmoral","Balmoral School Hall, 19 Brixton Road",2,12,26,445,11,128,1,2,22,0,1,4,3,657,7
,"Balmoral Scout Hall, Waitomo Street (by Pollard Park)",0,4,4,46,3,12,0,0,2,0,0,0,1,72,2
,"Good Shepherd Parish Hall, 30 Telford Avenue",2,28,23,373,9,179,1,1,28,3,4,8,5,664,6
,"St Albans Church Hall, 443 Dominion Road",1,2,18,150,4,43,1,1,9,0,0,0,1,230,2
"Grey Lynn","Grey Lynn Library Hall, 474 Great North Road",1,7,37,264,5,67,1,1,4,1,0,0,2,390,1
"Kingsland","Kowhai Intermediate School Hall, 26 Onslow Road",5,34,108,898,16,276,0,3,43,2,8,7,10,1410,9
,"Samoan Congregational Church, 50 Bond Street, Kingsland",1,9,56,425,5,105,2,1,8,1,6,3,2,624,3
"Morningside","Morningside Church of Christ Hall, 42 Leslie Avenue",3,13,30,320,9,101,1,0,9,2,5,1,2,496,5
,"Mt Albert Primary School Hall, Taylory Road, Morningside",2,17,37,403,8,161,1,1,14,0,2,10,6,662,4
,"The Church in Auckland Hall, 621 New North Road",2,7,23,332,9,94,1,2,10,0,2,3,4,489,3
"Mt Albert","Gladstone Primary School Hall, Carrington Road",4,13,64,749,20,200,1,0,32,0,3,17,9,1112,12
,"Mark Road Kindergarten, 24 Mark Road",5,15,27,375,10,131,0,0,9,0,3,11,4,590,6
,"Mt Albert Baptist Church, Jubilee Hall, 732 New North Road",2,12,24,459,22,184,0,0,21,1,2,8,4,739,5
,"Mt Albert Grammar School Hall, 36 Alberton Avenue",3,31,48,788,21,386,0,4,47,3,3,6,7,1347,15
,"Mt Albert Methodist Church Hall, Alexis Avenue",0,13,26,413,6,159,0,1,14,1,2,9,4,648,6
,"Mt Albert Presbyterian Church Hall, 14 Mt Albert Road",3,27,19,631,20,330,1,3,54,1,1,10,6,1106,18
,"Rossgrove Chapel Hall, Rossgrove Terrace",0,31,39,639,26,243,2,1,21,0,0,8,10,1020,12
"Mt Eden","Auckland Provincial Guide Centre, 132 Grange Road",0,2,13,189,2,94,0,2,10,0,2,3,3,320,6
,"Eden Community Church Hall, 72 View Road",1,2,4,52,1,16,0,0,3,0,0,3,1,83,0
,"Mt Eden Normal Primary School Hall, Valley Rd",1,2,11,116,3,50,1,0,8,0,1,1,2,196,1
"New Lynn","New Lynn Community Centre, 45 Totara Avenue",0,2,1,46,0,3,0,0,2,0,0,3,0,57,3
,"New Lynn Salvation Army Hall, 32 Delta Avenue",0,2,3,51,0,6,1,0,1,0,0,2,1,67,1
"New Windsor","New Windsor School Hall, 185 New Windsor Road",1,2,0,14,1,3,0,0,0,0,0,0,0,21,0
"Newton","Newton Central School Hall, Waima Street",0,4,29,148,2,27,0,0,3,0,0,3,1,217,0
"Owairaka","Owairaka District School Hall, 113 Richardson Road",3,34,27,815,23,216,2,0,23,1,0,25,10,1179,9
"Roskill","St John's Presbyterian Church Hall, 1 Akarana Avenue",0,3,7,104,8,52,1,0,7,1,0,1,2,186,6
"Sandringham","Christian Family Church Hall, 631 Sandringham Road",0,25,16,493,5,144,1,0,17,1,1,8,2,713,9
,"Edendale School Hall, 419 Sandringham Road",4,43,76,1509,31,395,0,8,44,1,6,12,26,2155,23
,"Salvation Army Community Church Hall, Duncan Avenue",3,16,34,549,12,133,0,0,11,0,0,16,5,779,4
"Waterview","Waterview Methodist Church Hall, Fir St (cnr Great North Road)",1,33,45,536,12,158,1,0,22,1,2,8,5,824,10
,"Waterview Primary School Hall, Hardman Street",3,11,35,391,13,79,0,0,5,1,0,7,1,546,3
"Western Springs","Greek Orthodox Church Hall, 108 Western Springs Road",6,15,41,485,11,136,3,1,6,0,4,5,4,717,4
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",0,13,1,141,2,41,0,1,2,0,0,1,0,202,2
,"Ordinary Votes BEFORE polling day",3,37,91,1136,53,426,1,1,37,3,2,22,14,1826,10
,"Special Votes BEFORE polling day",0,2,4,59,16,2,0,2,0,0,0,0,3,88,0
,"Special Votes On polling day",14,89,256,2423,69,618,2,8,100,3,12,34,25,3653,46
,"Overseas Special Votes including defence force",1,6,43,417,9,104,0,1,13,0,2,0,1,597,4
,"Mt Albert Total",83,746,1485,20918,529,6169,30,47,746,29,79,337,233,31431,316
,,,,,,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",31747
"Electorate Candidate Valid Votes","Party",,"CLARK, Helen Elizabeth - majority 14749"
"BAGNALL, James Archibald Ralph",Independent,83,.002640705
"BATCHELOR, Julian",New Zealand First Party,746,.0237345296
"CARAPIET, Jonathan Michael",Green Party,1485,.0472463491
"CLARK, Helen Elizabeth",Labour Party,20918,.6655213006
"GORDON, Anthony James",United Future New Zealand,529,.0168305176
"MUSUKU, Ravi Kumar",National Party,6169,.1962711972
"PONGA, Howard Wayne",Direct Democracy Party,30,.0009544717
"RAVLICH, Anthony George",Human Rights,47,.001495339
"SEYMOUR, David Breen",ACT New Zealand,746,.0237345296
"TAYLOR, Erik John",Independent,29,.000922656
"WHITMORE, Daphna Kaye",Anti-Capitalist Alliance,79,.0025134421
"WILLIAMSON, Frances Anne ",Destiny New Zealand,337,.0107218988
"WILSON, Jennifer Reta",Jim Anderton's Progressive,233,.0074130635
