Electorate Candidate and Party Votes Recorded at Each Polling Place
"Mt Roskill 28","Candidate Vote Details"
,,"AMIRAPU, Sukerna","ANE, Brian Kosena ","BARTER, Richard Alan","BLUE, Jacqueline Diane","GOFF, Philip Bruce","SCOTT, Barry Raymond","WANG, Kenneth Xiaoxuan","Total Valid Candidate Votes","Informal Candidate Votes"
"Balmoral","Balmoral Scout Hall, Waitomo Street (by Pollard Park)",8,2,11,234,292,0,37,584,6
,"Good Shepherd Parish Hall, 30 Telford Avenue",5,0,4,59,129,1,13,211,9
"Epsom","Epsom Methodist Church Hall, 12 Pah Road",3,1,7,277,235,0,25,548,4
,"Sacred Heart Parish Hall, 19 Banff Avenue",1,1,4,62,57,0,7,132,2
,"St Andrew's Anglican Church Hall, 100 St Andrew's Road",0,1,6,115,99,1,8,230,5
"Hillsborough","St David's Church Hall, 202 Hillsborough Road",3,13,37,405,387,0,36,881,9
,"St Margaret's Church Hall, 102 Hillsborough Road",3,6,27,251,256,1,24,568,4
,"Waikowhai Primary School, 381 Hillsborough Road",1,7,27,230,370,0,27,662,5
"Lynfield","Lynfield Tennis Club, cnr Hillsborough Road & The Avenue",0,3,16,128,200,0,16,363,0
"Mt Eden","Maungawhau School Hall, 43 Ellerton Road",12,5,21,599,754,2,84,1477,13
"Mt Roskill","Baptist Church Hall, 179 Hillsborough Road",6,15,54,389,433,5,68,970,11
,"Christ the King Parish Hall, 288 Richardson Road",4,6,10,104,455,1,16,596,3
,"Hay Park School, 670 Richardson Road",16,13,35,373,1045,5,123,1610,26
,"Lynfield College School Hall, 191 White Swan Rd (main entrance)",3,1,6,83,160,2,28,283,6
,"Marshall Laing Primary School Hall, 39 Marshall Laing Avenue",5,12,25,257,583,1,88,971,22
,"May Road School Hall, 504 Richardson Road",14,22,35,343,1345,1,138,1898,20
,"Mt Roskill Intermediate School, Denbigh Avenue",8,20,27,255,997,0,187,1494,24
,"St Giles Church Hall, 1207 Dominion Road ",8,14,33,357,772,46,86,1316,15
,"Sunnydene School, 48 Smallfield Avenue",2,3,10,81,368,0,36,500,11
,"Wesley Intermediate, cnr Sandringham Rd Extension & Stoddard Rd",6,20,21,99,1130,2,57,1335,20
"New Lynn","New Lynn Community Centre, 45 Totara Avenue",0,0,1,7,22,0,6,36,1
"New Windsor","Blockhouse Bay Community Church Hall, 76 Dundale Avenue",2,0,2,13,54,0,1,72,2
,"New Windsor School Hall, 185 New Windsor Road",0,0,2,18,48,0,6,74,1
"Onehunga","Onehunga Co-operating Parish, cnr Grey St & Onehunga Mall",14,11,23,248,592,0,26,914,24
,"Onehunga High School, 24 Pleasant Street",6,5,20,180,255,2,21,489,2
,"Onehunga Primary School, 122 Arthur Street",9,8,16,197,495,4,16,745,3
,"St Peters Anglican Church, cnr Church Street & Onehunga Mall",9,9,19,265,633,0,40,975,14
"Oranga","Te Papapa School Hall, 219 Mt Smart Road",3,9,9,109,222,0,14,366,3
"Owairaka","Owairaka District School Hall, 113 Richardson Road",4,1,0,23,146,1,8,183,2
"Roskill","St John's Presbyterian Church Hall, 1 Akarana Avenue",6,11,24,121,388,1,33,584,17
"Royal Oak","Royal Oak Intermediate, 74 Symonds St (but use Trafalgar Street entrance)",12,9,51,450,732,5,53,1312,16
,"Royal Oak School, Chandler Avenue (Use Manukau Rd entrance)",5,4,20,425,437,1,72,964,10
"Sandringham","Salvation Army Community Church Hall, Duncan Avenue",0,3,11,33,214,1,14,276,6
"Three Kings","St Therese Parish Hall, 463 Mt Albert Road (by Bremner St)",9,14,17,163,432,0,54,689,10
,"Three Kings School, 944 Mt Eden Road",25,19,48,730,1030,2,131,1985,28
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0
,"Hospital Votes",4,3,21,177,299,2,4,510,11
,"Ordinary Votes BEFORE polling day",6,23,72,771,1210,4,118,2204,17
,"Special Votes BEFORE polling day",4,1,8,130,257,1,13,414,9
,"Special Votes On polling day",26,36,64,686,1705,4,131,2652,46
,"Overseas Special Votes including defence force",5,7,16,134,238,2,17,419,2
,"Mt Roskill Total",257,338,860,9581,19476,98,1882,32492,439
,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",32931
"Electorate Candidate Valid Votes","Party",,"GOFF, Philip Bruce - majority 9895"
"AMIRAPU, Sukerna",Jim Anderton's Progressive,257,.0079096393
"ANE, Brian Kosena ",Destiny New Zealand,338,.0104025606
"BARTER, Richard Alan",United Future New Zealand,860,.0264680537
"BLUE, Jacqueline Diane",National Party,9581,.294872584
"GOFF, Philip Bruce",Labour Party,19476,.5994090853
"SCOTT, Barry Raymond",Direct Democracy Party,98,.003016127
"WANG, Kenneth Xiaoxuan",ACT New Zealand,1882,.05792195
