Electorate Candidate Votes Recorded at Each Voting Place
"Mana 22","Candidate Vote Details"
,,"BARRY, Roy Sidney","ENGLAND, Ronald William","FAAFOI, Kristopher","GOODE, Richard Simon","LOGIE, Heather Janet","PARATA, Patricia Hekia","Total Valid Candidate Votes","Informal Candidate Votes"
"Aotea","Horouta Marae, 5 Whitford Brown Avenue",7,0,130,2,17,60,216,1
,"Summerset Aotea Village, 15 Aotea Drive",36,1,326,7,38,410,818,15
"Ascot Park","Rangikura School, 95 Conclusion Street",8,0,320,4,26,60,418,5
"Cannons Creek","Cannons Creek School, 5 Warspite Avenue",7,2,587,2,17,31,646,24
,"Glenview School, 106 Bedford Street",2,0,112,2,9,3,128,0
,"Maraeroa School, 47 Driver Crescent",5,1,191,3,12,15,227,3
,"Russell School, 18 Fantame Street",6,0,282,0,8,17,313,6
"Elsdon","Porirua School, 1 Awarua Street",6,4,285,5,23,59,382,2
"Kenepuru","Kenepuru Hospital, Hospital Drive (off Raiha Street)",5,0,74,2,7,24,112,0
"Linden","Greenacres School, 60 Raroa Terrace",14,1,104,2,19,115,255,4
,"Linden School, 60 Ranui Terrace",5,0,78,3,9,50,145,0
,"Linden Social Centre, 10 Linden Avenue",34,2,360,6,73,312,787,5
,"Tui Park Kindergarten, 12b Mexted Terrace",5,0,94,3,14,30,146,0
"Mana","St Barnabas' Church Hall, 106a Mana Esplanade",18,3,356,10,66,384,837,9
"Newtown","Newtown School Hall, corner Riddiford & Mein Streets",0,0,5,0,2,3,10,0
,"Wellington Hospital, Te Ao Marama Building Sports Complex, Riddiford Street (main entrance)",0,0,7,0,3,4,14,0
"Paekakariki","Paekakariki School, Wellington Road",2,2,199,3,44,57,307,0
,"St Peter's Village Hall, corner Beach Road & Ames Street",6,2,234,5,72,92,411,6
"Papakowhai","Papakowhai School, 17 Spey Place",20,0,308,4,47,273,652,6
"Paraparaumu","Kapiti Primary School, corner Kapiti & Rimu Roads",7,0,89,5,39,83,223,5
,"Paraparaumu School, Ruapehu Street",39,1,237,11,49,215,552,8
"Paraparaumu  Beach","Kapiti Senior Citizens Centre, 45 Ocean Road",3,0,30,1,14,36,84,0
"Paremata","Paremata School, 43 Paremata Crescent",12,1,304,11,84,288,700,2
"Pauatahanui Village","Pauatahanui School, 12 Paekakariki Hill Road",12,0,106,6,42,302,468,4
"Plimmerton","Plimmerton School, 11 School Road",12,3,362,10,66,325,778,7
,"St Theresa's School, 5 James Street",8,0,155,6,28,129,326,2
"Porirua City","North City Mall, Shop 150, Ground Floor by escalator, 2 Titahi Bay Road ",27,1,566,8,44,266,912,13
,"Whitireia Polytechnic, Block E, 2 Wi Neera Drive",1,0,73,3,13,24,114,1
"Porirua East","Porirua East School, 8 Martin Street",22,6,525,9,34,88,684,5
,"Windley School, 146 Mungavin Avenue",7,0,249,1,8,19,284,5
"Pukerua Bay","Pukerua Bay School, 89 Rawhiti Road",12,1,333,11,94,180,631,5
"Raumati Beach","Raumati Beach School, 26-34 Raumati Road",54,5,612,13,195,626,1505,14
"Raumati South","Raumati South Memorial Hall, Tennis Court Road (opposite No 25)",15,2,243,10,98,199,567,3
,"Raumati South School, 56 Matai Road",24,3,195,4,70,179,475,10
"Tawa","Hampton Hill School Library, 4 Rimu Street",2,0,29,1,1,11,44,0
,"New Life Church Hall, 236 Main Road",3,2,61,0,8,34,108,1
,"Tawa School, 6 Oxford Street",1,0,33,1,8,19,62,0
"Titahi Bay","Garage at 99 Gloaming Hill",6,1,151,4,19,56,237,1
,"Ngati Toa School,  44 Piko Street",3,0,145,6,12,32,198,2
,"Niblick Hall, 1 Niblick Lane",7,0,292,8,30,86,423,11
,"Titahi Bay Intermediate School, 16 Kahutea Terrace",5,2,265,7,24,94,397,7
,"Titahi Bay North School, 47 Jillett Street",9,2,142,3,12,37,205,1
,"Titahi Bay School, 11 Kura Street",10,0,307,10,46,75,448,3
"Waitangirua","Corinna School, 36 Kalingo Street",2,2,276,4,5,18,307,8
,"Natone Park School, 6 Kokiri Crescent",2,0,308,4,7,19,340,2
,"Te Kura Māori o Porirua, 392 Warspite Avenue",6,1,199,3,8,24,241,9
"Wellington City","Michael Fowler Centre, Renouf Foyer, 111 Wakefield Street",1,0,15,0,12,8,36,0
,"Wellington Central Library Meeting Room, Mezzanine Floor, 65 Victoria Street",0,1,24,0,11,8,44,0
"Whitby","Discovery School, Pullen Lane",25,0,400,11,64,396,896,3
,"Postgate School, 3 Staithes Drive North",28,2,309,5,52,260,656,6
,"St Mary's Church, Discovery Drive, Whitby Shopping Centre",28,1,312,5,54,358,758,15
,"The Anchor Church, 1 Joseph Banks Drive",29,1,326,5,61,565,987,10
,"Voting places where less than 6 votes were taken",0,0,1,0,0,4,5,0
,"Ordinary Votes BEFORE polling day",278,29,5701,78,737,3460,10283,94
,"Special Votes BEFORE polling day",38,6,829,31,136,365,1405,21
,"Special Votes On polling day",49,2,1144,41,249,569,2054,26
,"Overseas Special Votes including Defence Force",7,3,251,4,84,242,591,3
,"Mana Total",980,96,19651,403,3024,11698,35852,393
,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",36245
"Electorate Candidate Valid Votes","Party",,"FAAFOI, Kristopher - majority 7953"
"BARRY, Roy Sidney",Conservative,980,.0273345978
"ENGLAND, Ronald William",Democrats for Social Credit,96,.0026776749
"FAAFOI, Kristopher",Labour Party,19651,.5481144706
"GOODE, Richard Simon",Aotearoa Legalise Cannabis Party,403,.011240656
"LOGIE, Heather Janet",Green Party,3024,.0843467589
"PARATA, Patricia Hekia",National Party,11698,.3262858418
