Electorate Candidate and Party Votes Recorded at Each Polling Place
"Wellington Central 59","Candidate Vote Details"
,,"APPLEBY, Michael George","BOOMERT, John Laurence","BUCHANAN, Kelly Juliet","CRAVEN, Ben","CUTTING, Reagan O'More","FOSTER-BELL, Paul Ayers Robert","FUIMAONO-KARENA, Geoffrey Wayne Puhi","RICKERBY, Gynn James","ROBERTSON, Grant Murray","SHAW, James Peter Edward","STIPKOVITS, Paul Thomas","WHITTINGTON, Stephen Alexander","Total Valid Candidate Votes","Informal Candidate Votes"
,"Wellington Hospital, Te Ao Marama Training Centre, Riddiford Street (main entrance)",1,0,0,1,1,17,0,0,25,9,0,0,54,4
,"Wellington Pipe Band Hall, corner Stoke & Hanson Streets",1,0,0,0,0,5,0,0,13,12,0,0,31,0
"Ngaio","Ngaio Town Hall, 1 Ottawa Road",2,0,0,0,0,21,0,0,19,7,1,0,50,0
"Northland","Northland School, 14 Harbour View Road",4,0,1,2,2,230,3,2,443,74,6,1,768,2
,"St Anne@Ward Church Hall, 69 Northland Road",7,0,1,5,1,198,0,3,417,90,4,16,742,5
"Oriental Bay","Band Rotunda, 245B Oriental Parade",0,0,0,3,0,271,0,3,165,47,2,9,500,4
"Owhiro Bay","Owhiro Bay School Hall, 96 Happy Valley Road",0,0,2,0,0,15,0,0,23,12,2,0,54,0
"Roseneath","Roseneath School Hall, 13 Maida Vale Road",0,0,0,0,0,25,0,0,24,7,0,2,58,1
"Thorndon","St Mary's College, 16 Guildford Terrace",5,1,0,1,1,155,1,3,172,58,4,2,403,7
,"Thorndon School, 19b Hobson Crescent or 26 Murphy Street",11,2,0,4,1,323,0,8,387,94,2,14,846,7
,"Wellington Bridge Club, 17 Tinakori Road",5,0,0,6,3,229,0,3,268,58,0,8,580,9
"Wadestown","St Luke's Centre, 32 Pitt Street",5,0,1,3,2,493,3,4,505,106,5,14,1141,9
,"Wadestown School, 2 Rose Street",2,0,0,5,0,108,0,7,180,45,5,3,355,3
"Wellington City","Aro Valley Community Centre, 48 Aro Street",24,2,2,12,4,172,2,12,875,280,3,12,1400,17
,"Capital E, Civic Square",7,1,3,2,1,245,2,10,428,151,7,7,864,11
,"Chaffers Dock Atrium, 18 Herd Street",2,2,0,1,0,245,1,5,207,69,2,5,539,3
,"Davidic Centre, 28-30 Hopper Street",3,2,1,3,1,74,0,3,209,44,3,2,345,9
,"Michael Fowler Centre, Renouf Foyer, Level 1, 111 Wakefield Street",18,1,1,9,4,392,2,14,649,218,7,16,1331,15
,"Mount Cook Primary School, 160 Tory Street",5,2,3,8,1,225,1,11,320,93,3,3,675,1
,"St Andrew's Church Hall, 30 The Terrace",5,0,1,5,1,251,0,7,308,56,3,13,650,4
,"St John's Church Conference Centre, corner Dixon & Willis Streets",3,1,3,12,2,164,1,7,366,90,6,10,665,15
,"Te Aro School, 360 The Terrace",2,0,0,0,0,51,0,6,106,36,1,4,206,1
,"Wellington High School, 249 Taranaki Street",6,0,0,1,0,77,0,5,244,51,4,3,391,5
"Wilton","Cardinal McKeefry School, 66 Albemarle Road",1,0,0,2,1,77,0,2,93,23,5,2,206,0
,"Otari School, 166 Wilton Road",5,0,0,4,1,112,0,2,253,37,1,0,415,4
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Rongotai",2,0,1,6,0,72,1,0,108,30,3,1,224,5
,"Ordinary Votes BEFORE polling day - Taken in Wellington Central",27,8,5,29,4,1602,3,21,2139,517,20,52,4427,46
,"Special Votes BEFORE polling day",11,0,5,8,2,294,1,4,401,158,9,17,910,8
,"Special Votes On polling day",96,5,7,30,9,1280,5,53,1930,984,31,46,4476,46
,"Overseas Special Votes including Defence Force",10,3,4,6,5,500,0,11,997,290,3,33,1862,18
,"Wellington Central Total",404,44,52,279,69,12460,32,277,18836,5225,236,412,38326,411
,,,,,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",38737
"Electorate Candidate Valid Votes","Party",,"ROBERTSON, Grant Murray - majority 6376"
"APPLEBY, Michael George",Aotearoa Legalise Cannabis Party,404,.010541147
"BOOMERT, John Laurence",New Economics Party,44,.0011480457
"BUCHANAN, Kelly Juliet",Alliance,52,.0013567813
"CRAVEN, Ben",New Zealand First Party,279,.0072796535
"CUTTING, Reagan O'More",Libertarianz,69,.0018003444
"FOSTER-BELL, Paul Ayers Robert",National Party,12460,.3251056724
"FUIMAONO-KARENA, Geoffrey Wayne Puhi",Independent,32,.0008349423
"RICKERBY, Gynn James",Pirate Party of New Zealand,277,.0072274696
"ROBERTSON, Grant Murray",Labour Party,18836,.491467933
"SHAW, James Peter Edward",Green Party,5225,.1363304284
"STIPKOVITS, Paul Thomas",Conservative Party,236,.0061576997
"WHITTINGTON, Stephen Alexander",ACT New Zealand,412,.0107498826
