Electorate Candidate and Party Votes Recorded at Each Polling Place
"Hunua 16","Candidate Vote Details"
,,"CARTER, Jordan Tracy","DOUGLAS, Roger Owen","DRILLER, Toni Anne","HUTCHISON, Charles Paul Telford","KENWORTHY, Fiona Marie","MULFORD - TYLER, Helen Jane","NAEA, Frank John","WHITEHEAD, Bruce Craig","Total Valid Candidate Votes","Informal Candidate Votes"
"Aka Aka","Aka Aka School, 809 Aka Aka-Otaua Road",21,15,1,126,2,9,0,0,174,0
"Alfriston","Alfriston School, corner Mill & Alfriston Roads",31,35,2,175,8,8,0,0,259,2
"Ararimu","Ararimu School, corner Steel & Ararimu Roads",31,56,3,306,18,7,1,0,422,0
"Ardmore","Ardmore School, 559 Papakura Clevedon Road",9,11,0,69,8,0,0,1,98,1
"Awhitu","Awhitu District School, corner Matakawa & Awhitu Roads",101,61,1,241,62,5,1,0,472,3
"Beachlands","Beachlands School, 18 Bell Road (disabled access from Wakelin Road)",288,250,15,940,106,59,9,0,1667,8
"Bombay","Bombay School, 35 Paparata Road",103,72,2,633,28,14,0,1,853,5
"Botany Downs","Botany Downs Secondary College, 575 Chapel Road",20,5,2,54,6,0,0,0,87,1
,"St Columba Presbyterian Church, 480 Ti Rakau Drive",2,3,0,8,0,0,0,0,13,0
"Botany South","Sancta Maria College, 319 Te Irirangi Drive",36,5,2,80,5,1,4,0,133,4
"Brookby","Brookby School, corner Brookby & West Roads",33,24,0,148,12,6,0,0,223,2
"Buckland","Buckland School,  72 George Crescent",83,52,2,506,20,25,2,2,692,2
"Chapel Downs","Chapel Downs Primary School, corner Chapel & Dawson Roads",106,21,1,98,11,2,3,0,242,7
"Clevedon","Clevedon School, 13-17 North Road",74,108,3,599,63,12,0,0,859,7
"Dannemora","Point View Primary School, 25 Kilkenny Drive",2,2,0,6,1,0,0,0,11,0
,"Willowbank School, corner Middlefield & Gracechurch Drives",13,6,0,56,3,2,0,0,80,1
"Drury","Drury School, 23-25 Youngs Crescent",16,17,0,178,9,2,3,0,225,1
"Flat Bush","Baverstock Oaks School, 21 Baverstock Road",77,30,1,156,4,5,0,0,273,5
,"Old Flat Bush School Hall, corner Murphy's & Flat Bush School Roads",77,39,5,263,14,6,6,0,410,4
,"St Pauls Anglican Church Hall, 141 Chapel Road",22,3,0,26,3,0,0,0,54,1
"Glenbrook","Glenbrook Primary School, 459 Glenbrook Road",112,64,6,495,31,22,3,2,735,8
"Harrisville","Harrisville School, 202 Harrisville Road",86,30,2,320,25,13,2,1,479,6
"Hunua","Hunua School, 39 Lockwood Road",67,74,5,368,40,15,6,1,576,6
"Karaka","Karaka School, corner Blackbridge Road & State Highway 22",14,14,3,164,2,5,1,1,204,1
"Kawakawa Bay","Kawakawa Bay Public Hall, 9 Kawakawa Orere Road",81,37,1,156,14,13,1,1,304,2
"Manukau","Redoubt North School, 47 Diorella Drive",7,3,1,13,3,0,0,0,27,0
"Manurewa","Alfriston College, 550 Porchester Road",3,0,0,4,0,1,0,0,8,1
"Maraetai","Maraetai Beach School, 154 Maraetai Drive",136,107,3,596,51,31,5,0,929,7
"Mauku","Mauku School, 389 Union Road",47,27,3,261,14,4,1,0,357,6
"Meadowlands","Meadowlands Methodist Community Church, 128 Whitford Road",12,5,1,26,2,3,0,0,49,0
"Mission Heights","Packspur Drive Polling Place, corner Packspur & Edbrooke Drives",84,42,3,325,17,2,2,1,476,8
"Northpark","Our Lady Star of the Sea School, 14 Oakridge Way",2,1,1,4,1,0,0,0,9,1
"Orere","Orere School, Orere Point Road",67,6,1,78,8,16,0,1,177,4
"Otaua","Otaua School, 53 Maioro Road",34,14,2,167,10,5,2,1,235,2
"Paerata","Paerata School, 35 Tuhimata Road",44,30,2,191,8,10,2,0,287,1
"Papakura","Papakura District Court, corner Great South Road & Wood Street",1,1,0,13,0,1,0,1,17,0
"Paparimu","Paparimu School, 7 Matheson Road",24,14,1,110,8,2,1,2,162,0
"Patumahoe","Patumahoe School, 38 Patumahoe Road",117,56,4,567,25,20,5,0,794,2
"Pukekohe","Pukekohe East School, 137 Runciman Road",32,43,2,328,11,9,5,0,430,1
,"Pukekohe Hill School, corner Ward Street & Green Lane",339,116,12,1297,46,38,12,7,1867,15
,"Pukekohe Intermediate School, Queen Street",484,144,18,1294,103,65,12,5,2125,32
,"Pukekohe North School, corner Princes Street & Beatty Road",226,28,11,245,32,37,2,0,581,14
,"Pukekohe Valley School, East Street",190,129,8,877,46,25,7,3,1285,4
,"St Patrick's Church Hall, 133 Seddon Street",250,55,11,718,46,52,13,2,1147,9
"Pukeoware","Pukeoware School, 479 Baldhill Road",34,23,1,192,21,8,4,0,283,2
"Puni","Puni School, 357 Waiuku Road",81,49,0,393,16,14,1,1,555,5
"Ramarama","Ramarama School, 126 Ararimu Road",70,49,2,407,20,17,2,1,568,3
"Somerville","Somerville Intermediate School, 39 Somerville Road",3,3,0,23,0,1,0,0,30,2
"Takanini","Takanini Church of Christ Hall, 160 Great South Road",1,2,0,10,1,1,0,0,15,0
"Tuakau","Tuakau Primary School, 6 School Road",163,50,1,375,26,27,10,0,652,8
,"Union Parish Hall, St Stephen's Avenue",112,37,3,289,28,23,4,0,496,8
"Waipipi","Waipipi School, 100 Creamery Road",44,37,1,206,13,9,1,0,311,0
"Waiuku","Sandspit School, 60 Sandspit Road",251,83,3,659,36,44,11,3,1090,10
,"Waiuku College, 43 Constable Road",170,64,3,495,38,35,11,2,818,7
,"Waiuku Primary School, corner George & France Streets",371,132,11,899,76,71,7,1,1568,15
"Whitford","Whitford Hall, 1 Whitford-Maraetai Road",78,129,4,634,35,20,2,1,903,1
,"Polling places where less than 6 votes were taken",2,0,0,4,0,0,0,0,6,1
,"Hospital Votes",36,3,0,91,0,8,0,1,139,2
,"Ordinary Votes BEFORE polling day",487,278,9,2284,106,102,19,4,3289,18
,"Special Votes BEFORE polling day",79,27,3,193,25,16,1,1,345,5
,"Special Votes On polling day",440,222,12,1261,140,44,23,8,2150,28
,"Overseas Special Votes including defence force",36,25,1,220,18,5,2,0,307,0
,"Hunua Total",6062,3068,195,21920,1525,997,209,56,34032,299
,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",34331
"Electorate Candidate Valid Votes","Party",,"HUTCHISON, Charles Paul Telford - majority 15858"
"CARTER, Jordan Tracy",Labour Party,6062,.1781264692
"DOUGLAS, Roger Owen",ACT New Zealand,3068,.0901504466
"DRILLER, Toni Anne",United Future,195,.0057299013
"HUTCHISON, Charles Paul Telford",National Party,21920,.6440996709
"KENWORTHY, Fiona Marie",Green Party,1525,.0448107663
"MULFORD - TYLER, Helen Jane",New Zealand First Party,997,.0292959567
"NAEA, Frank John",Kiwi Party,209,.0061412788
"WHITEHEAD, Bruce Craig",Libertarianz,56,.0016455101
