Electorate Candidate and Party Votes Recorded at Each Polling Place
"Te Tai Hauāuru 67","Candidate Vote Details"
,,"McDONALD, Jack Tautokai Baxter","PEKE-MASON, Soraya Waiata","TIMUTIMU, Frederick","TURIA, Tariana","WAITAI-RAPANA, Jennifer","WILSON, Robert Piriniha","Total Valid Candidate Votes","Informal Candidate Votes"
,Mana
,"Lytton Street School, corner Lytton & Monmouth Streets",7,20,11,27,0,0,65,2
,"Manchester St School, 160 Manchester Street",10,27,6,27,1,2,73,2
,"North Street School, 52 North Street",7,10,7,33,1,1,59,5
,"St Paul's Presbyterian Parish Hall, corner Church & Grey Streets",8,32,11,44,0,0,95,5
"Halcombe","Halcombe Primary School, corner Willoughby & Monteith Streets",3,2,3,9,0,0,17,1
"Himatangi Beach","Community Hall, Koputara Road",1,3,1,8,0,0,13,0
"Hunterville","Hunterville Consolidated School, 33 Bruce Street",0,7,0,17,0,0,24,0
"Kakahi","Kakahi School, Mohio Road",0,2,1,3,0,2,8,0
"Linton Camp","Community Centre, Puttick Road",8,18,7,25,1,0,59,1
"Longburn","Longburn Primary School, Carey Street",0,3,0,6,0,0,9,1
"Marton","James Cook School, 53 Mill Street",1,10,2,19,0,0,32,2
,"Marton Junction School, 44-56 Alexandra Street",6,15,7,24,0,1,53,3
,"Marton School, Hereford Street",1,11,1,20,0,0,33,1
,"St Andrew's Presbyterian Church Hall, Broadway",2,11,3,34,1,0,51,3
"Mataroa","Mataroa School, Rongoiti Road",2,2,1,5,1,0,11,0
"Moawhango","Moawhango School, Te Moehau Road",0,0,0,12,0,0,12,0
"National Park","National Park School Hall, Carroll Street",2,5,0,5,0,0,12,0
"Newbury","Newbury School, 906 Rangitikei Line",0,0,0,5,0,0,5,1
"Ngakonui","Ngakonui Valley School, Kauri Room, 826 Taumarunui-Ngapuke Road",0,4,1,4,0,0,9,2
"Ngapuke","Ngapuke School, Room 1, Taumarunui-Ngapuke Road",1,2,0,7,0,0,10,0
"Ohakune","Ohakune District Court, Rata Street",0,2,2,20,0,0,24,0
,"Ohakune Primary School Hall, 52 Arawa Street",5,3,0,14,0,0,22,0
"Owhango","Owhango School Resource Room, 19 Ohorere Street",0,5,2,3,0,0,10,0
"Palmerston North","Massey University, Student Centre Lounge, Concourse, University Drive",1,1,0,5,0,0,7,1
"Raetihi","Raetihi Primary School Hall, 24 Grey Street",10,19,13,64,0,3,109,2
"Ratana","Te Kura O Ratana, Kiatere Street",11,55,7,100,3,0,176,3
"Sanson","Sanson School, Wellington Road (State Highway 1)",1,9,1,11,0,1,23,0
"Summerhill","Summerset Retirement Village, 166-186 Ruapehu Drive",3,0,0,7,0,0,10,0
