Electorate Candidate Votes Recorded at Each Voting Place
"Christchurch Central 4","Candidate Vote Details"
,,"ABRAHAM, George","COLUMBUS, Robin Bruce","COOKE, Michael Francis","DAVIDSON, Lenis Mary","MILNE, Tony Robert","MOORHOUSE, David Peter","SEVERIN, Toni Gae","WAGNER, Nicola Joanne","Total Valid Candidate Votes","Informal Candidate Votes"
,"Overseas Special Votes including Defence Force",6,2,3,4,242,109,1,247,614,4
,"Christchurch Central Total",1245,57,598,109,12926,2800,122,15346,33203,281
,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",33484
"Electorate Candidate Valid Votes","Party",,"WAGNER, Nicola Joanne - majority 2420"
"ABRAHAM, George",New Zealand First Party,1245,.0374966118
"COLUMBUS, Robin Bruce",Democrats for Social Credit,57,.0017167123
"COOKE, Michael Francis",Conservative,598,.0180104207
"DAVIDSON, Lenis Mary",Māori Party,109,.0032828359
"MILNE, Tony Robert",Labour Party,12926,.3893021715
"MOORHOUSE, David Peter",Green Party,2800,.0843297292
"SEVERIN, Toni Gae",ACT New Zealand,122,.0036743668
"WAGNER, Nicola Joanne",National Party,15346,.4621871518
