Electorate Candidate and Party Votes Recorded at Each Polling Place
"Wigram 63","Candidate Vote Details"
,,"CAMPBELL, Kevin Thomas","COLLINS, Samuel David","GASKIN, Ian Camden","HANSEN, Christopher Michael","McTAGUE, Geoffrey William","PETERS, Mark Jonathon","WESLEY, Richard Laurence","WOODS, Megan Cherie","Total Valid Candidate Votes","Informal Candidate Votes"
"Addington","Addington School, 22 Brougham Street (Simeon Street entrance)",10,87,1,1,5,9,40,251,404,7
,"Kidsfirst Kindergarten, 366 Selwyn Street",5,69,0,2,1,3,31,129,240,4
,"Sacred Heart Parish Hall, 70 Spencer Street",32,113,0,3,12,8,32,229,429,8
"Akaroa","Akaroa Sports Centre, Rue Jolie",0,11,0,0,0,0,4,3,18,0
"Avonhead","Avonhead Kindergarten, 49 Staveley Street",3,65,3,0,2,0,6,50,129,3
,"Avonhead Primary School Hall, 55 Avonhead Road",4,128,2,0,2,3,16,64,219,2
,"Merrin School Hall, 41 Merrin Street",6,280,0,0,1,8,21,73,389,13
,"Russley School, 75 Cutts Road",20,652,5,0,9,19,68,438,1211,33
,"St Mark's Presbyterian Church, 150 Withells Road",6,237,1,0,4,9,19,97,373,16
"Beckenham","Beckenham School, 71 Sandwich Road",1,6,0,0,2,1,7,9,26,0
,"St Peter's Parish Centre, 11a Fisher Avenue",4,47,1,0,2,2,16,49,121,0
,"Thorrington School, 22a Colombo Street South",1,83,0,1,1,2,22,62,172,1
"Cashmere","Princess Margaret Hospital, 97 Cashmere Road (Entrance 4)",3,145,1,0,1,9,27,149,335,3
"Christchurch City","ABC Salisbury Street Pre School, 150 Salisbury Street",0,6,0,0,0,1,2,4,13,0
,"Christchurch Public Hospital, Main Entrance Foyer, 2 Riccarton Avenue",0,38,0,0,0,1,17,47,103,3
,"First Church of Christ Scientist, 66 Carlton Mill Road",0,2,0,0,0,0,2,4,8,1
,"HMNZS Pegasus, 419 Montreal Street",0,2,0,0,0,0,2,4,8,0
,"St Michael and All Angels Church School, 249 Durham Street South",0,9,0,0,0,0,2,6,17,2
"Fendalton","Christchurch Boys' High School, Big Room, Te Kura Street ",0,24,0,0,1,0,5,15,45,0
"Halswell","Halswell School, corner Kennedys Bush & School Roads",1,11,0,0,0,0,2,7,21,0
,"St Mary's Anglican Church Hall, 329 Halswell Road",1,91,0,1,1,7,10,60,171,3
,"Sts Peter & Paul Catholic Church Hall, 56 Nicholls Road",1,35,0,0,1,1,3,24,65,1
"Hei Hei","Gilberthorpe School, 163 Gilberthorpes Road",10,134,2,1,6,9,17,203,382,12
,"Kidsfirst Kindergarten, 10 Wycola Avenue",13,173,2,0,6,17,35,272,518,13
,"St Aidans Church, corner Hei Hei & Buchanans Roads",18,182,2,0,4,13,23,323,565,18
"Hillmorton","Hillmorton High School, Tankerville Road",16,180,0,0,6,8,27,207,444,6
"Hoon Hay","Hoon Hay Presbyterian Church Hall, 5 Downing Street",8,169,5,0,4,18,29,219,452,6
,"Hoon Hay School, 91 Sparks Road",24,338,1,1,8,19,73,428,892,16
,"Manning Intermediate School, 50 Hoon Hay Road",16,168,1,0,4,13,40,222,464,11
,"Rowley Avenue School, 48 Rowley Avenue",14,98,1,1,4,11,23,291,443,17
,"Spreydon School, 2 Halswell Road",18,203,3,0,2,19,25,195,465,10
"Hornby","Branston Intermediate, 35 Amyes Road",20,303,5,0,4,28,36,390,786,15
,"Garage, 66 Blankney Street",10,82,1,1,7,18,6,139,264,7
,"Hornby Community Care Centre, 8 Goulding Avenue",9,79,2,0,3,10,19,132,254,14
,"Hornby Primary School, 190 Waterloo Road",4,176,0,0,7,8,24,263,482,14
,"Sockburn School, 34 Springs Road",26,276,3,1,15,27,55,354,757,27
,"South Hornby School, 52 Shands Road",12,150,2,1,6,6,16,192,385,10
,"St Columba's Church Hall, 452 Main South Road",7,95,3,1,5,7,6,136,260,8
"Ilam","Ilam School Hall, 66 Ilam Road",6,68,3,0,2,1,26,70,176,3
"Middleton","Kidsfirst Kindergarten, 14 Torrens Road",6,98,1,0,6,4,14,123,252,6
"Oaklands","Oaklands School, Cunningham Place",2,25,0,0,1,0,2,17,47,1
"Riccarton","Riccarton Baptist Church, 80 Rattray street",17,137,2,2,2,8,33,172,373,9
,"Riccarton Mall, Riccarton Road (in aisle opposite K Mart)",14,275,2,4,19,11,75,295,695,24
,"St Ninian's Presbyterian Church Hall, 9 Puriri Street",4,63,2,0,2,7,12,51,141,3
,"Wharenui School, 32 Matipo Street",20,228,0,2,5,11,39,266,571,23
"Russley","St Stephen's Methodist Church, 376 Yaldhurst Road",9,279,3,0,3,21,22,187,524,8
"Sockburn","Montessori Pre School, 108 Racecourse Road",9,194,2,0,2,16,26,195,444,10
,"Riccarton Primary School, English Street",16,231,5,1,3,16,41,209,522,20
"Somerfield","Cashmere High School, 172 Rose Street",7,200,0,0,3,10,35,175,430,7
,"Somerfield School, 42 Studholme Street",19,388,8,1,6,35,101,439,997,14
,"Te Kura-Kaupapa Māori o Te Whanau Tahi, 83 Lyttelton Street",5,168,0,0,2,11,39,223,448,11
"Spreydon","Christchurch South Intermediate, 204 Selwyn Street",20,243,2,5,12,17,95,430,824,14
,"Spreydon Baptist Church, 51 Cobham Street",22,274,6,0,4,26,50,337,719,13
,"St James Presbyterian Hall, corner Barrington & Bewdley Streets",22,234,3,2,6,26,62,303,658,16
,"St Martins Church, Neave Room, 50 Lincoln Road",6,121,5,0,5,10,22,193,362,13
,"St Nicholas Church Hall, 231 Barrington Street",14,112,3,0,4,4,33,251,421,16
,"West Spreydon School, 147 Lyttelton Street",19,189,3,0,3,15,50,235,514,10
"Sydenham","Special Needs Library, 109 Huxley Street",0,4,0,0,0,0,0,9,13,0
"Templeton","Templeton Primary School, 40 Kirk Road",0,7,0,0,0,1,1,6,15,0
"Upper Riccarton","Canterbury Table Tennis Stadium, Foyer, 294 Blenheim Road",0,49,0,1,1,3,8,30,92,2
,"Middleton Grange School, 50 Acacia Avenue",9,107,1,1,7,9,31,150,315,9
,"Riccarton High School, corner Curletts Road & Vicki Street",5,66,2,1,2,10,16,114,216,4
,"St Thomas of Canterbury College, 69 Middlepark Road",19,167,1,3,1,10,18,143,362,6
,"Villa Maria College Hall, 21 Peer Street (Brodie Street entrance)",3,54,1,0,1,3,7,47,116,3
"Wigram","Air Force Museum of NZ, 45 Harvard Avenue",14,208,7,0,3,12,27,135,406,13
"Yaldhurst","Yaldhurst Model School, 48 School Road",0,6,0,0,1,0,3,5,15,1
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Christchurch Central",6,116,0,1,0,7,30,102,262,10
,"Ordinary Votes BEFORE polling day - Taken in Ilam",7,148,1,0,0,13,11,79,259,6
,"Ordinary Votes BEFORE polling day - Taken in Port Hills",2,65,2,0,0,3,13,94,179,3
,"Ordinary Votes BEFORE polling day - Taken in Selwyn",8,134,0,1,1,4,18,138,304,6
,"Ordinary Votes BEFORE polling day - Taken in Wigram",78,1589,24,6,26,64,254,1776,3817,107
,"Special Votes BEFORE polling day",15,248,4,0,6,12,50,280,615,18
,"Special Votes On polling day",58,1042,18,7,61,66,313,976,2541,58
,"Overseas Special Votes including Defence Force",9,96,1,0,1,5,38,85,235,5
,"Wigram Total",793,12580,159,53,337,785,2423,14080,31210,776
,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",31986
"Electorate Candidate Valid Votes","Party",,"WOODS, Megan Cherie - majority 1500"
"CAMPBELL, Kevin Thomas",Alliance,793,.0254085229
"COLLINS, Samuel David",National Party,12580,.4030759372
"GASKIN, Ian Camden",United Future,159,.005094521
"HANSEN, Christopher Michael",NZ Economic Euthenics Party,53,.0016981737
"McTAGUE, Geoffrey William",Aotearoa Legalise Cannabis Party,337,.0107978212
"PETERS, Mark Jonathon",Conservative Party,785,.0251521948
"WESLEY, Richard Laurence",Green Party,2423,.0776353733
"WOODS, Megan Cherie",Labour Party,14080,.4511374559
