Electorate Candidate and Party Votes Recorded at Each Polling Place
"East Coast 10","Candidate Vote Details"
,,"GIBSON, Martin James","IRWIN, Valentine","MACKEY, Moana Lynore","MONTEITH, Darryl Stuart","NORVILL, John Anthony","REID, Tamati Kaiwai","SHELDRAKE, Kathrine Mary","TOLLEY, Anne Merrilyn","Total Valid Candidate Votes","Informal Candidate Votes"
"Hicks Bay","Te Kura Kaupapa Māori o Kawakawa mai Tawhiti, 22 Wharf Road",0,1,14,4,0,4,0,13,36,0
"Kawerau","District Council, Town Hall, Ranfurly Court",0,0,28,10,0,7,4,40,89,1
"Kutarere","Kutarere School, 461 State Highway 2",0,2,43,19,0,11,7,81,163,4
"Makaraka","Makaraka School, 137 Main Road South",3,0,99,27,2,6,26,302,465,11
"Makauri","Makauri School, 120 King Road",7,0,53,21,3,9,25,260,378,8
"Manawahe","Manawahe Community Hall, 1866 Manawahe Road",1,0,16,8,3,6,4,35,73,4
"Manutuke","Manutuke School, 59 Waingake Road",1,1,56,18,0,8,14,121,219,4
"Matata","Matata Public School, 43 Pollen Street",4,4,94,39,3,35,19,184,382,13
"Matawai","Matawai School, 29 Raumati Street",2,0,19,14,5,6,15,132,193,3
"Muriwai","Muriwai School, 1684 Wharerata Road",1,1,17,6,0,2,3,34,64,1
"Ohope","Ohope Beach School, 170 Pohutukawa Avenue",5,0,133,57,2,12,15,326,550,8
,"Ohope Community Hall, Bluett Road",10,4,178,57,3,31,18,465,766,9
"Omaio","Te Kura o Omaio, School Road",0,0,11,5,0,1,0,7,24,0
"Omarumutu","Omarumutu School, 141 Omarumutu Road",0,4,13,10,1,0,1,10,39,1
"Opotiki","Opotiki College Hall, St John Street",5,11,150,41,3,35,12,156,413,10
,"Opotiki Senior Citizens Hall, 1 King Street",3,19,259,62,3,62,20,401,829,19
"Ormond","Ormond School, 45 Whitmore Road",4,0,41,23,1,12,14,215,310,7
"Otakiri","Otakiri School, Staff Room, 571 Otakiri Road",4,0,69,14,0,13,12,158,270,5
"Patutahi","Patutahi School, 29 Atkins Street",3,0,50,17,1,7,13,146,237,6
"Raukokore","Raukokore School, State Highway 35, RD3",0,0,4,4,0,7,0,32,47,1
"Rere","Rere School, 3294 Wharekopae Road",0,0,11,4,1,0,5,55,76,0
"Ruatoki North","Te Kura o Tawera, 164 Ngahina Road",0,0,6,1,0,0,0,0,7,0
"Ruatoria","Te Kura Kaupapa Māori O Te Waiu O Ngati Porou, 13 Tuparoa Road",0,5,23,11,0,6,3,16,64,1
"Taneatua","Taneatua School, 44 McKenzie Street",0,4,54,9,1,8,9,86,171,7
"Te Araroa","Te Waha O Rerekohu Area School, 3 Arewhana Street",3,0,19,6,0,4,0,4,36,2
"Te Kaha","Te Whanau-a-Apanui Area School, State Highway 35",0,4,22,4,1,4,1,19,55,1
"Te Karaka","Te Karaka Area School, 5 Kanakanaia Road",2,2,65,11,1,9,17,105,212,6
"Te Puia Springs","Te Puia Springs School, 28 McKenzie Street",0,0,16,4,0,3,0,7,30,0
"Te Teko","Te Kura o Te Teko School Hall, 6 Te Teko Road",0,7,46,12,1,8,3,78,155,1
"Thornton","Thornton School Hall, 43 Eastbank Road",1,0,21,5,0,5,3,121,156,4
"Tikitiki","Tikitiki School, 33 Rangitukia Road",0,3,13,3,0,3,0,5,27,1
"Tiniroto","Tiniroto School, 14 School Road",0,0,7,2,0,0,2,25,36,1
"Tokomaru Bay","Hatea-A-Rangi School, 6 School Road",2,2,37,8,0,3,1,25,78,5
"Tolaga Bay","Tolaga Bay Area School, Resolution Street",2,2,73,18,0,22,3,80,200,6
"Torere","Te Kura o Torere, 2276 State Highway 35",0,1,10,4,0,6,3,5,29,0
"Waerenga o Kuri","Waerenga-O-Kuri School, 1763 Tiniroto Road",4,0,12,6,0,0,1,50,73,1
"Waimana","Nukuhou North School, State Highway 2",3,0,15,9,1,6,6,54,94,2
,"Waimana School, 6 Raroa Road",5,3,17,4,0,1,3,22,55,3
"Wainui","Wainui Beach School, 56 Wairere Road",24,1,150,94,2,4,23,306,604,8
"Whakatane","Allandale School, 167 King Street",12,14,270,66,5,47,30,323,767,9
,"District Council, 9 Commerce Street",19,9,398,97,8,52,43,751,1377,18
,"Reads Auction Hall, 17 King Street",9,7,324,56,4,61,31,497,989,32
,"Salvation Army Hall, 87 King Street",6,5,218,43,3,29,10,213,527,14
,"Te Whare Kura o Ruatoki, 18 Mission Road, RD1",0,3,2,1,0,1,0,2,9,2
,"Whakatane Intermediate School Hall, 101 James Street",15,4,234,57,4,23,25,318,680,19
"Whangara","Whangara School, 44 Pa Road",1,0,13,2,1,2,3,35,57,1
"Whatatutu","Whatatutu School, 24 Te Hau Road",0,0,17,3,2,1,3,11,37,0
"Woodlands","Woodlands School, 168 Dip Road",1,2,42,7,0,5,12,107,176,7
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in East Coast",41,32,1203,304,15,176,174,2135,4080,95
,"Ordinary Votes BEFORE polling day - Taken in Rotorua",0,0,12,0,0,3,1,22,38,0
,"Special Votes BEFORE polling day",7,1,97,38,4,12,11,204,374,7
,"Special Votes On polling day",21,24,457,210,5,51,45,578,1391,26
,"Overseas Special Votes including Defence Force",3,0,38,18,1,2,4,81,147,0
,"East Coast Total",392,256,9229,2452,140,1184,1352,14003,29008,616
,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",29624
"Electorate Candidate Valid Votes","Party",,"TOLLEY, Anne Merrilyn - majority 4774"
"GIBSON, Martin James",United Future,392,.0135135135
"IRWIN, Valentine",Mana,256,.0088251517
"MACKEY, Moana Lynore",Labour Party,9229,.3181536128
"MONTEITH, Darryl Stuart",Green Party,2452,.084528406
"NORVILL, John Anthony",ACT New Zealand,140,.0048262548
"REID, Tamati Kaiwai",New Zealand First Party,1184,.0408163265
"SHELDRAKE, Kathrine Mary",Conservative Party,1352,.0466078323
"TOLLEY, Anne Merrilyn",National Party,14003,.4827289024
