Electorate Candidate and Party Votes Recorded at Each Polling Place
"Auckland Central 1","Candidate Vote Details"
,,"ARDERN, Jacinda Kate Laurell","DAVIES, Allen Edwin","GREENFIELD, Stephen Thomas ","KAYE, Nicola Laura","ROCHE, Denise Maree","SEYMOUR, David Breen","VAN DEN HEUVEL, Anthony Joseph James","Total Valid Candidate Votes","Informal Candidate Votes"
"Mt Eden","Valley Road International Church Hall, 393 Mt Eden Road",22,0,0,28,7,0,0,57,2
"Newton","Newton Central School, Monmouth Street",184,4,7,104,18,0,1,318,2
,"Unitarian Church Hall, 1a Ponsonby Road",146,2,0,145,31,1,1,326,5
"Parnell","Jubilee Hall, Parnell Community Centre, 545 Parnell Road",25,0,3,33,7,0,0,68,0
,"Parnell District School, 48 St Stephens Avenue",45,1,2,123,9,1,0,181,0
,"Selwyn Library, 10 St Stephens Avenue",10,0,0,30,3,0,0,43,1
"Point Chevalier","Baptist Church Hall, 126 Point Chevalier Road",19,0,0,14,6,0,0,39,0
"Ponsonby","All Saints Anglican Church, 284 Ponsonby Road",579,11,3,779,73,4,3,1452,17
,"Ponsonby Community Centre, 20 Ponsonby Terrace",82,2,0,70,17,1,0,172,0
,"Ponsonby Primary School, 44 Curran Street",130,2,1,331,18,1,0,483,0
,"Sacred Heart Parish Hall, 24 Vermont Street",152,5,3,139,11,2,3,315,2
,"St Mary's College (Stella Maris Old School Hall), 11 New Street",134,4,1,252,14,1,0,406,3
"Waiheke Island","Matiatia Oneroa Ratepayers - Morra Hall, 115 Ocean View Road",330,17,1,375,154,3,2,882,9
,"Omiha Memorial Hall, 2 Glenbrooke Road",94,7,1,106,35,1,0,244,3
,"Onetangi Residents Association Hall, corner Waiheke Road & Third Avenue",190,8,5,215,88,2,1,509,9
,"Palm Beach Hall, 64 Palm Road",151,12,4,162,67,0,0,396,3
,"Surfdale Community Hall, 6 Hamilton Road",164,17,2,123,69,1,0,376,4
,"Te Huruhi School, 7 Donald Bruce Road",145,4,1,162,64,0,0,376,4
,"Waiheke Primary School, 26 Seaview Road",229,17,5,163,106,1,2,523,7
"Western Springs","Greek Orthodox Church Hall, 108 Western Springs Road",16,1,0,14,2,0,0,33,0
"Westmere","Hawke Sea Scouts Hall, 55 West End Road",193,1,2,237,34,0,1,468,5
,"Westmere School, corner Larchwood Avenue & Garnet Street",622,11,6,643,63,2,2,1349,11
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Auckland Central",1621,66,31,1776,324,18,6,3842,37
,"Ordinary Votes BEFORE polling day - Taken in Epsom",49,1,0,99,16,0,0,165,2
,"Special Votes BEFORE polling day",311,15,8,398,99,5,1,837,10
,"Special Votes On polling day",1743,55,40,1878,493,33,8,4250,33
,"Overseas Special Votes including Defence Force",444,6,3,406,134,6,3,1002,10
,"Auckland Central Total",14321,412,238,15038,2903,149,68,33129,352
,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",33481
"Electorate Candidate Valid Votes","Party",,"KAYE, Nicola Laura - majority 717"
"ARDERN, Jacinda Kate Laurell",Labour Party,14321,.4322798756
"DAVIES, Allen Edwin",New Zealand First Party,412,.0124362341
"GREENFIELD, Stephen Thomas ",Conservative Party,238,.0071840382
"KAYE, Nicola Laura",National Party,15038,.4539225452
"ROCHE, Denise Maree",Green Party,2903,.0876271545
"SEYMOUR, David Breen",ACT New Zealand,149,.0044975701
"VAN DEN HEUVEL, Anthony Joseph James",Human Rights Party,68,.0020525823
