Electorate Candidate and Party Votes Recorded at Each Polling Place
"Christchurch Central 5","Candidate Vote Details"
,,"BARNETT, Timothy Andrew","BREACH, Anita Mary","CLARK, Byron Charles","CUTLER-WELSH, Natalie Susan","GARDENER, Kevin James","GREGORY, Daryl Garth","MARSHALL, Shirley","van BUREN, John ","VERMUNT, Annalucia","WAGNER, Nicola Joanne","WOODS, Megan Cherie","Total Valid Candidate Votes","Informal Candidate Votes"
,"Christchurch Central Total",17685,338,90,2236,1022,188,340,761,53,9849,1077,33639,410
,,,,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",34049
"Electorate Candidate Valid Votes","Party",,"BARNETT, Timothy Andrew - majority 7836"
"BARNETT, Timothy Andrew",Labour Party,17685,.5257290645
"BREACH, Anita Mary",Destiny New Zealand,338,.0100478611
"CLARK, Byron Charles",Anti-Capitalist Alliance,90,.002675466
"CUTLER-WELSH, Natalie Susan",Green Party,2236,.0664704658
"GARDENER, Kevin James",New Zealand First Party,1022,.0303814025
"GREGORY, Daryl Garth",Mâori Party,188,.0055887512
"MARSHALL, Shirley",ACT New Zealand,340,.0101073159
"van BUREN, John ",United Future New Zealand,761,.0226225512
"VERMUNT, Annalucia",Communist League,53,.0015755522
"WAGNER, Nicola Joanne",National Party,9849,.2927851601
"WOODS, Megan Cherie",Jim Anderton's Progressive,1077,.0320164095
