Electorate Candidate and Party Votes Recorded at Each Polling Place
"Pakuranga 37","Candidate Vote Details"
,,"DORNER, Zachary James Moar","HILDER, Brian Desmond","JOLLANDS, Andrew","KELLY, Brian","LY, Ngov Jeffrey","PARAONE, Rewiti Pomare Kingi","TODD, Quentin Gregory","WILLIAMSON, Maurice Donald","Total Valid Candidate Votes","Informal Candidate Votes"
"Botany Downs","Elim Christian Centre, 159 Botany Road",9,5,14,49,1,7,7,171,263,2
,"St Columba Presbyterian Church, 480 Ti Rakau Drive",5,1,9,11,0,3,4,69,102,0
"Bucklands Beach"," Macleans College, 2 Macleans Road",61,15,133,252,13,20,21,1182,1697,15
,"Bucklands Beach Intermediate School, 247 Bucklands Beach Road",40,7,87,246,11,33,21,983,1428,19
,"Bucklands Beach Primary School, 107 Clovelly Road",56,6,70,166,8,25,18,782,1131,8
,"Macleans Primary School, 10 Wycherley Drive",55,8,95,292,21,29,20,697,1217,14
,"Old Bucklands Beach Yacht Club, 56 The Parade",25,1,73,90,6,27,8,614,844,4
,"Pakuranga Health Camp School, 1-9 Pigeon Mountain Road",45,8,87,150,7,43,12,981,1333,6
"Cockle Bay","Cockle Bay Playcentre, 17 Pah Road",8,0,12,12,0,0,2,48,82,1
"Highland Park","Rockabye Early Learning Centre, 122 Aviemore Drive",19,4,38,139,7,22,6,256,491,11
"Howick","Cockle Bay School, 24 Sandspit Road",47,8,62,164,2,27,13,541,864,6
,"Howick Intermediate School, 1 Botany Road",40,5,69,308,10,42,20,700,1194,12
,"Owairoa  Primary School, corner Wellington & Nelson Streets",91,7,96,290,11,40,15,842,1392,7
,"Salvation Army-East City, 37-45 Wellington Street",73,16,91,259,10,76,13,711,1249,8
,"Shelly Park School, 11-13 Sunnyview Avenue",3,0,3,7,0,0,1,25,39,0
"Meadowlands","Meadowlands Methodist Community Church, 128 Whitford Road",4,2,12,21,0,1,1,53,94,2
"Mellons Bay","Mellons Bay Primary School, 140 Mellons Bay Road",56,5,93,134,4,25,16,764,1097,6
"Northpark","Our Lady Star of the Sea School, 14 Oakridge Way",4,0,3,0,1,1,0,24,33,0
"Pakuranga","Anchorage Park Primary School, 16 Swan Crescent",34,8,22,192,8,20,5,253,542,3
,"Eastgate Christian Centre, 5 Ben Lomond Crescent",27,7,45,191,6,24,13,441,754,9
,"Edgewater College, 32 Edgewater Drive",29,2,31,309,24,37,6,330,768,9
,"Elm Park School, 46 Gossamer Drive",50,8,75,416,16,52,11,681,1309,21
,"Farm Cove Intermediate School, 14-16 Butley Drive",68,16,179,511,13,73,26,1733,2619,33
,"Pakuranga College, 480 Pakuranga Road",110,15,134,557,26,71,23,1270,2206,24
,"Pakuranga Heights  Primary School, 77 Udys Road",55,7,91,432,28,59,17,864,1553,16
,"Pakuranga Youth Centre, 13c Reeves Road",50,20,72,448,16,59,16,630,1311,14
,"Riverhills Primary School, 13 Waikaremoana Place",42,11,35,190,31,26,13,330,678,7
,"Sunnyhills Primary School, 17 The Crest",40,12,114,203,12,28,11,1103,1523,12
"Somerville","Somerville Intermediate School, 39 Somerville Road",0,0,2,11,0,1,1,31,46,0
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",14,5,9,144,5,44,3,291,515,0
,"Ordinary Votes BEFORE polling day",121,27,200,726,32,138,38,2236,3518,29
,"Special Votes BEFORE polling day",11,0,7,51,1,3,1,75,149,0
,"Special Votes On polling day",167,11,123,459,23,82,22,1332,2219,27
,"Overseas Special Votes including defence force",21,5,19,94,1,8,5,387,540,4
,"Pakuranga Total",1480,252,2205,7524,354,1146,409,21430,34800,329
,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",35129
"Electorate Candidate Valid Votes","Party",,"WILLIAMSON, Maurice Donald - majority 13906"
"DORNER, Zachary James Moar",Green Party,1480,.0425287356
"HILDER, Brian Desmond",Kiwi Party,252,.0072413793
"JOLLANDS, Andrew",ACT New Zealand,2205,.063362069
"KELLY, Brian",Labour Party,7524,.2162068966
"LY, Ngov Jeffrey",Jim Anderton's Progressive,354,.0101724138
"PARAONE, Rewiti Pomare Kingi",New Zealand First Party,1146,.0329310345
"TODD, Quentin Gregory",United Future,409,.0117528736
"WILLIAMSON, Maurice Donald",National Party,21430,.6158045977
