Electorate Candidate Votes Recorded at Each Voting Place
"Northland 35","Candidate Vote Details"
,,"CLENDON, David James","NELSON, Craig","PRIME, Willow-Jean","RINTOUL, Kenneth Alan","ROBERTSON, Murray","SABIN, Michael Lewis","TAYLOR, Melanie Jane","TIMMS, Glen Craig","WILSON, David Angus","Total Valid Candidate Votes","Informal Candidate Votes"
"Ahipara","Ahipara School, Main Road",26,0,95,11,0,128,9,1,1,271,2
"Arapohue","Arapohue School, Mititai Road",8,0,12,8,1,104,10,1,1,145,0
"Awanui","Awanui School, Far North Road",25,1,89,9,0,132,11,0,0,267,3
"Awarua","Te Hurihi Marae, Mangakahia Road",2,0,3,0,0,1,2,0,0,8,0
"Baylys Beach","Baylys Beach Holiday Park, 24 Seaview Road",14,0,38,5,0,86,5,0,1,149,2
"Broadwood","Broadwood Area School, Main Road",6,3,20,13,0,26,3,0,0,71,2
"Dargaville","Dargaville Primary School, Portland Street",48,3,101,18,4,259,21,1,4,459,3
,"Selwyn Park Primary School, 38 Onslow Street",19,1,89,8,2,122,5,0,5,251,0
,"The Lighthouse Church Hall, Normanby Street",52,8,150,31,1,477,35,0,14,768,14
"Fairburn","Fairburn Hall, Main Fairburn-Peria Road",10,1,9,9,1,32,1,1,0,64,1
"Herekino","Herekino School, Kaitaia-Awaroa Road",9,0,10,11,0,18,0,0,0,48,0
"Hikurangi","Hikurangi School, Swan Avenue",17,0,20,1,0,57,8,1,0,104,2
"Horeke","Horeke School, Horeke Road",5,0,10,10,0,3,1,0,0,29,1
"Hukerenui","Hukerenui School, 9 Crows Nest Road",11,2,33,6,0,170,13,0,0,235,2
"Kaeo","Kaeo Primary School, 4139 State Highway 10",55,2,120,15,2,164,12,0,2,372,5
"Kaihu","Kaihu Hall, Wood Road",11,1,21,1,3,86,8,0,2,133,1
"Kaikohe","Kaikohe East School, 36 Mangakahia Road",16,0,114,38,1,104,8,1,0,282,3
,"Kaikohe Intermediate School, 11 Park Road",19,2,86,29,1,88,8,1,0,234,0
"Kaingaroa","Kaingaroa School, State Highway 10",11,1,42,15,1,73,7,0,0,150,0
"Kaitaia","Kaitaia College, Redan Road",29,3,127,24,2,182,27,2,2,398,4
,"Kaitaia Intermediate School, 45 North Road",37,3,231,17,3,292,39,0,1,623,10
"Kaiwaka","Kaiwaka School, 33 Mangawhai Road",80,3,130,9,4,261,30,2,3,522,7
"Kamo","Kamo Primary School, 6 Three Mile Bush Road",5,0,8,1,0,15,1,0,0,30,1
"Karetu","Karetu School, Kura Road",4,0,28,2,0,25,2,0,0,61,0
"Kauri","Kaurihohore Hall, 24 Apotu Road",2,1,3,2,0,22,0,0,0,30,0
"Kawakawa","Kawakawa Primary School, 31-39 Albert Street",23,2,173,10,0,126,7,0,2,343,5
"Kerikeri","Kerikeri Primary School, Hone Heke Road",148,7,288,67,2,577,42,0,3,1134,8
,"Kingston House, 123 Hone Heke Road",92,1,157,49,0,330,28,5,1,663,12
,"Riverview School, Riverview Road",63,4,189,33,1,401,23,5,2,721,3
"Kohukohu","Kohukohu Primary School, Beach Road",28,0,74,14,0,34,0,1,0,151,3
"Leigh","Leigh School, House of Learning, 22 Hauraki Road",8,0,8,0,0,24,0,0,0,40,0
"Mangamuka","Mangamuka School, 37 School Road",3,0,6,5,0,5,0,0,0,19,1
"Mangawhai","Mangawhai Beach School, 34 Insley Street",118,4,109,28,4,394,54,2,3,716,13
"Mangawhai Heads","Mangawhai Community Centre, Fagan Place",51,4,76,22,2,257,46,0,1,459,6
"Mangonui","Mangonui School, 19 Colonel Mould Drive",70,7,174,34,2,379,26,2,3,697,13
"Maromaku","Maromaku School, Maromaku School Road",2,0,19,1,0,82,5,1,0,110,3
"Marua","Marua Hall, Marua Road",6,1,12,3,1,52,5,1,0,81,3
"Matakana","Matakana School, 952 Matakana Road",6,0,2,0,0,6,1,0,0,15,0
"Matauri Bay","Matauri Bay School, Wainui Road",11,0,31,4,0,32,0,0,1,79,0
"Maungatapere","Maungatapere School, Mangakahia Road",0,0,3,0,0,10,3,0,2,18,2
"Maungaturoto","Maungaturoto School, 8 Gorge Road",57,3,106,16,0,278,70,3,6,539,5
"Maunu","Maunu Primary School, 13 Austins Road",1,0,2,0,0,3,0,0,0,6,0
,"Whangarei Hospital, Maunu Road",2,0,5,0,0,13,0,0,0,20,1
"Moerewa","Moerewa School, Otiria Road",6,1,75,2,0,25,2,1,1,113,3
"Ngataki","Ngataki School, Far North Road",3,1,12,3,0,26,1,0,1,47,0
"Oakura","Oakura Hall, Oakura Road",12,0,20,2,0,61,5,0,0,100,2
"Ohaeawai","Ohaeawai School, Tennyson Street",13,1,63,26,0,79,4,0,0,186,0
"Okaihau","Okaihau Primary School, Settlers Way",19,2,67,87,2,145,10,1,0,333,2
"Omapere","Opononi Area School, 263 State Highway 12",36,0,95,8,0,63,2,1,0,205,4
"Opua","Opua School, Franklin Street",24,0,105,4,0,128,7,1,0,269,1
"Opuawhanga","Opuawhanga Hall, North Road",5,0,17,3,0,45,5,1,2,78,0
"Oromahoe","Oromahoe School, Te Aute Road",8,1,31,4,1,30,2,0,0,77,0
"Otaika","Lifesway Bible Church, corner Tarewa & Otaika Roads",1,0,5,3,1,4,0,0,0,14,0
"Paihia","Paihia School, School Road",62,1,157,24,1,362,9,0,0,616,6
"Pakaraka","Pakaraka School, State Highway 10",10,0,53,16,0,92,4,0,1,176,1
