Electorate Candidate and Party Votes Recorded at Each Polling Place
"Helensville 15","Candidate Vote Details"
,,"DRAYSON, Rick John","ELLEY, Jeanette Susan","GREENBROOK-HELD, Piers Jeremy","KEARNEY, Nicholas Norman","KEY, John Phillip","McDERMOTT, Adrian Gordon","Total Valid Candidate Votes","Informal Candidate Votes"
"Albany","Albany Community Hall, 3/21 Library Lane",39,114,146,7,1012,11,1329,22
,"Albany School, 6 Bass Road",25,61,137,5,844,3,1075,23
,"Massey University, Gate 4, 82 Turtea Drive",8,13,56,3,326,6,412,6
,"Pinehurst School  75 Bush Road",12,58,99,8,737,5,919,22
,"Upper Harbour Primary School, 140 Kyle Road",13,28,60,4,664,4,773,9
"Coatesville","Coatesville School, 24 Mahoenui Valley Road",27,60,43,3,727,5,865,8
"Dairy Flat","Dairy Flat School, 1220 State Highway 17, RD4",3,2,3,0,103,0,111,1
"Glenfield","Bayview Primary School, 60 Bayview Road",41,108,310,11,745,11,1226,17
,"Glenfield College, 52-60 Kaipatiki Road",5,9,48,3,101,1,167,2
,"Glenfield Community Centre, corner Glenfield Road & Bentley Avenue",8,27,90,3,152,4,284,7
,"Manuka Road Primary School, 34 Manuka Road",52,92,282,13,703,8,1150,40
"Greenhithe","Greenhithe School Hall, Isobel Road",28,91,116,11,1499,7,1752,14
,"St Michael's Anglican Church Hall, 12 Greenhithe Road",24,59,74,5,636,5,803,12
"Helensville","Helensville Primary School Hall, corner Rata & Garfield Roads",58,150,357,9,1047,21,1642,22
"Henderson","The Trusts Stadium (Ukulele Festival), Central Park Drive",1,3,4,0,21,0,29,0
,"Waitakere College, 42 Rathgar Road",1,1,4,0,4,0,10,0
"Herald Island","Herald Island Community Hall, 57 Ferry Parade",14,39,62,0,278,4,397,9
"Hobsonville","Hobsonville Primary School, 104 Hobsonville Road",17,34,90,2,669,2,814,19
,"Hobsonville Public Hall, 397 Hobsonville Road",20,37,94,3,652,3,809,17
"Huapai","Huapai District School Hall, 40 Station Road",24,36,88,0,566,6,720,13
"Kaukapakapa","Kaukapakapa Village Hall, 977 Kaipara Coast Highway",22,66,92,3,689,6,878,13
"Kumeu","Kumeu Baptist Youth Hall, 21 Access Road",47,86,105,6,968,16,1228,25
"Massey","Lincoln Heights School, 16 Keegan Drive",0,0,4,0,10,0,14,0
,"Royal Road School, 112 Royal Road",0,10,16,0,37,3,66,2
"Massey West","Massey High School, 274 Don Buck Road",2,11,26,3,41,1,84,4
"Milford","North Shore Hospital, Shakespeare Road",0,4,8,0,24,0,36,2
"Muriwai","Muriwai Fire Station, corner Coast & Motutara Roads",12,117,67,0,296,11,503,7
"Parakai","Haranui Marae, Haranui Road",1,5,12,0,11,1,30,0
,"Parakai School, 10 Fordyce Road",29,39,135,3,396,8,610,22
"Paremoremo","Ridgeview School, 1 Cutts Crescent",19,46,63,3,337,5,473,8
"Riverhead","Riverhead School, 21 School Road",22,69,131,2,820,8,1052,19
"Takapuna","Takapuna School, 23 Auburn Street (or Anzac Street entrance)",2,3,7,0,36,1,49,2
"Taupaki","Taupaki School, 14 Cottle Road",9,44,45,3,419,6,526,9
"Unsworth Heights","Westminster Christian School, 31 Westminster Gardens (off Unsworth Drive)",6,14,16,0,94,0,130,0
"Waimauku","Waimauku School, 2 Muriwai Road",42,143,172,7,1301,9,1674,17
"Wainui","Wainui School, 492 Waitoki Road",0,0,0,0,7,0,7,0
"Waioneke","Waioneke School, 1981 South Head Road",8,25,37,1,159,3,233,2
"Waitakere","Waitakere Primary School, 10 Bethells Road",1,4,7,0,19,0,31,2
"Waitoki","Waitoki School Hall, 1119 Kahikatea Flat Road",9,20,32,1,184,1,247,4
"West Harbour","Marina View School, 97-99 Marina View Drive",39,62,174,7,1391,11,1684,26
,"West Harbour Alliance Church, 145 Moire Road",14,35,116,3,405,7,580,11
,"West Harbour Primary School, Simich Avenue",11,39,161,3,212,6,432,11
,"Westgate Baptist Church, 67 Hobsonville Road",22,32,91,2,282,11,440,7
"Westgate","Massey Presbyterian Church, 510 Don Buck Road",9,23,39,1,161,5,238,5
"Whenuapai","Whenuapai School, 14 Airport Road",13,41,56,2,493,4,609,6
,"Whenuapai Village Hall, 41 Waimarie Road",10,30,35,4,401,6,486,9
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Helensville",68,155,334,13,2057,20,2647,30
,"Ordinary Votes BEFORE polling day - Taken in North Shore",0,2,6,0,23,0,31,0
,"Ordinary Votes BEFORE polling day - Taken in Northcote",13,33,126,3,311,2,488,11
,"Ordinary Votes BEFORE polling day - Taken in Te Atatū",18,38,89,1,384,5,535,11
,"Special Votes BEFORE polling day",12,54,114,6,400,6,592,11
,"Special Votes On polling day",56,269,431,10,1939,50,2755,33
,"Overseas Special Votes including Defence Force",5,34,35,3,218,1,296,2
,"Helensville Total",941,2575,4945,180,26011,319,34971,574
,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",35545
"Electorate Candidate Valid Votes","Party",,"KEY, John Phillip - majority 21066"
"DRAYSON, Rick John",Conservative Party,941,.0269080095
"ELLEY, Jeanette Susan",Green Party,2575,.0736324383
"GREENBROOK-HELD, Piers Jeremy",Labour Party,4945,.1414028767
"KEARNEY, Nicholas Norman",ACT New Zealand,180,.0051471219
"KEY, John Phillip",National Party,26011,.7437877098
"McDERMOTT, Adrian Gordon",Aotearoa Legalise Cannabis Party,319,.0091218438
