Electorate Candidate Votes Recorded at Each Voting Place
"Rongotai 46","Candidate Vote Details"
,,"CARTER, Aaron Richard Edward Storer","EUSOFF, Mohamed Sultan","FINLAYSON, Christopher Francis","KING, Annette Faye","NORMAN, Russel William","OVERTON, John Malcolm","PARETUTANGANUI-TAMATI, Ariana","PIERSON, Brent","RICHARDS, Donald William","WELSH, Bruce Alexander","Total Valid Candidate Votes","Informal Candidate Votes"
"Berhampore","Berhampore School Room One, 105 Britomart Street ",6,0,97,390,209,1,11,14,0,18,746,6
,"South Wellington Intermediate School Mini Hall, 165 Rintoul Street",2,1,74,198,81,0,1,10,1,1,369,3
"Breaker Bay","Breaker Bay Hall, 150 Breaker Bay Road",0,0,39,63,37,0,0,7,0,3,149,0
"Brooklyn","Brooklyn Community Centre, 18 Harrison Street",0,1,10,61,41,0,0,2,1,0,116,0
,"Brooklyn School Hall, 58 Washington Avenue",2,0,43,66,54,0,2,4,0,3,174,2
,"St Bernard's School Hall, 40 Taft Street",0,0,15,27,27,0,0,0,0,1,70,0
"Chatham Islands","Chatham Islands Council Building, 9 Tuku Road, Waitangi",0,0,32,23,4,0,0,1,0,0,60,0
"Hataitai","Garage, 38 Upoko Road",0,0,51,84,60,1,1,1,0,4,202,0
,"Hataitai School Hall, corner Arawa, Hataitai & Hohiria Roads",1,2,357,464,225,2,3,14,0,5,1073,3
,"Kilbirnie School Hall, 72 Hamilton Road",0,0,249,380,172,2,5,15,2,13,838,2
"Houghton Bay","Houghton Valley School Hall, 110 Houghton Bay Road",0,0,64,179,109,2,2,9,4,5,374,0
"Island Bay","Island Bay Presbyterian Church Lounges, 88 The Parade",1,1,248,549,194,2,5,17,3,12,1032,10
,"Island Bay School Hall, 6 Thames Street",1,0,113,280,132,0,4,10,3,10,553,5
,"St Hilda's Church Parish Centre, 311 The Parade",1,1,283,478,171,2,3,26,0,26,991,3
,"Wellington South Baptist Church, 284 The Parade",1,2,113,183,86,0,1,6,1,6,399,5
"Johnsonville","Broderick Road Chapel, 17 Broderick Road",0,0,6,8,3,0,0,1,0,0,18,0
