Electorate Candidate and Party Votes Recorded at Each Polling Place
"Ōtaki 36","Candidate Vote Details"
,,"BROWN, Diane ","FOSTER, Peter Allen Cranleigh","GILCHRIST, Michael Alexander","GUY, Allen Nathan","McCAFFREY, Peter Edward","MACDONALD, Frederick John","RYERSSON, John Stephen","SCOTT, David","TAUEKI, Philip Dean","Total Valid Candidate Votes","Informal Candidate Votes"
"Foxton","Coley Street School, Coley Street",1,213,16,244,0,6,12,25,0,517,8
,"Foxton Primary School, Park Street",1,336,23,352,2,14,16,31,3,778,26
"Foxton Beach","Foxton Beach Primary School, 10 Carthew Terrace",4,259,27,297,3,5,5,30,2,632,10
"Ihakara","Ihakara Public Hall, corner Tavistock Road & State Highway 57",3,89,17,305,2,3,11,9,2,441,5
"Levin","Fairfield School, 89 MacArthur Street",3,386,35,713,2,3,28,37,1,1208,10
,"Horowhenua District Council, 126-148 Oxford Street",1,410,53,458,2,10,20,51,1,1006,25
,"Levin Baptist Church, 17-19 Rugby Street",2,244,15,260,0,2,18,27,2,570,16
,"Levin City Church Hall, 87-89 Cambridge Street",1,237,16,225,2,3,22,29,0,535,14
,"Levin East School, 90 Bartholomew Road",3,525,31,502,2,4,25,54,2,1148,16
,"Levin Intermediate School, Collingwood Street",2,240,18,238,3,14,5,22,1,543,10
,"Levin North School, 142-150 Weraroa Road",3,553,42,717,5,11,29,54,8,1422,27
,"Taitoko School, Kinross Street",0,218,8,64,0,7,4,14,0,315,8
"Manakau","Manakau District Association Hall, Mokena Kohere Street",1,132,17,280,2,1,10,8,1,452,1
"Newtown","Newtown School Hall, corner Riddiford & Mein Streets",0,8,2,3,0,0,0,0,0,13,0
"Ohau","Ohau School, Muhunoa East Road",5,188,26,427,2,4,20,14,4,690,13
"Opiki","Opiki Public Hall, 926 Opiki Road (State Highway 56)",0,18,7,127,2,2,4,4,1,165,2
"Otaki","Hadfield Hall, 47 Te Rauparaha Street",1,346,45,254,2,5,8,31,2,694,10
,"Otaki Presbyterian Church, 249 Mill Road",5,240,33,255,2,2,8,22,1,568,14
,"Waitohu School, Te Manuao Road",3,253,35,402,3,4,13,22,1,736,6
"Otaki Beach","Otaki Surf Lifesaving Club Hall, Marine Parade",0,201,34,176,0,2,12,22,0,447,2
"Paraparaumu","Kapiti Primary School, corner Kapiti & Rimu Roads",5,464,75,616,4,15,19,19,0,1217,23
,"Mazengarb Sports Complex, Mazengarb Road",3,209,21,419,0,1,3,14,0,670,5
,"Paraparaumu School, Ruapehu Street",0,53,9,106,1,0,2,6,1,178,2
,"The Meadows Church, 1 Realm Drive",3,535,53,961,10,1,30,49,2,1644,24
"Paraparaumu  Beach","Kapiti Senior Citizens Centre, Ocean Road",2,515,76,845,6,5,21,46,3,1519,19
,"Paraparaumu Beach Guide Hall, Te Kupe Road",3,414,68,510,6,13,11,24,0,1049,10
,"Paraparaumu Beach School, Gray Avenue",5,313,56,550,1,11,9,12,0,957,13
"Porirua","5 Lydney Place South (North City Plaza side entrance)",0,5,2,2,0,0,0,0,0,9,0
"Poroutawhao","Poroutawhao Hall, State Highway 1",0,24,4,132,1,1,1,5,1,169,3
"Raumati Beach","Raumati Beach School, Raumati Road",0,40,5,55,1,3,2,6,0,112,2
"Shannon","Shannon School, Grey Street",5,270,22,256,3,5,8,26,3,598,11
"Te Horo","Te Horo Hall, 50 School Road",2,204,79,453,3,5,11,11,1,769,7
"Tokomaru","Tokomaru School, Tokomaru Road",3,96,23,185,0,4,12,6,1,330,4
"Waikanae","Kapanui School, 23 Rimu Street",5,319,33,536,6,5,9,12,0,925,9
,"Presbyterian Church Hall, 43 Ngaio Road",2,366,39,649,0,5,21,16,2,1100,24
,"Waikanae Baptist Church, 286 Te Moana Road",5,349,34,519,0,8,25,19,1,960,17
,"Waikanae Primary School Hall, Hira Street",1,374,69,734,4,6,24,23,0,1235,12
"Waikanae Beach","Waikanae Beach Community Hall, Rauparaha Street",2,493,53,489,4,6,13,15,1,1076,13
"Waitarere Beach","St Aidan's Anglican Church, Waitarere Beach Road",1,119,31,193,1,4,7,9,4,369,7
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Mana",0,6,0,9,0,0,0,0,0,15,1
,"Ordinary Votes BEFORE polling day - Taken in Ōtaki",15,2696,286,3426,14,21,108,230,15,6811,115
,"Special Votes BEFORE polling day",2,239,32,300,7,7,5,24,2,618,5
,"Special Votes On polling day",7,656,160,756,7,24,33,40,4,1687,21
,"Overseas Special Votes including Defence Force",0,65,20,151,0,1,0,4,0,241,3
,"Ōtaki Total",110,13920,1750,19151,115,253,644,1122,73,37138,573
,,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",37711
"Electorate Candidate Valid Votes","Party",,"GUY, Allen Nathan - majority 5231"
"BROWN, Diane ",United Future,110,.0029619258
"FOSTER, Peter Allen Cranleigh",Labour Party,13920,.3748182455
"GILCHRIST, Michael Alexander",Green Party,1750,.0471215467
"GUY, Allen Nathan",National Party,19151,.5156712801
"McCAFFREY, Peter Edward",ACT New Zealand,115,.0030965588
"MACDONALD, Frederick John",Aotearoa Legalise Cannabis Party,253,.0068124293
"RYERSSON, John Stephen",Conservative Party,644,.0173407292
"SCOTT, David",New Zealand First Party,1122,.0302116431
"TAUEKI, Philip Dean",Independent,73,.0019656417
