Electorate Candidate and Party Votes Recorded at Each Polling Place
"Dunedin South 9","Candidate Vote Details"
,,"BERNHARDT, David Edwin","CURRAN, Clare Elizabeth","GALLAGHER, Shane Anthony","McALPINE, Jacqueline Mary","McINTOSH, Dawn Shirley","MOFFAT, Mary Pauline","MURRAY, Kay Elizabeth Simmond","NICHOLLS, Colin William","POWELL, Conway Llewelyn","WANSINK, Robert Charles","WESCOMBE, Philip Andrew","Total Valid Candidate Votes","Informal Candidate Votes"
"Abbotsford","Community Hall, 72 North Taieri Road",0,136,14,7,0,1,1,3,91,1,0,254,3
,"Scout Hall, Abbotsford Road (corner Unsworth Street)",4,483,44,15,0,12,7,14,183,4,7,773,9
"Allanton","Allanton Community Centre, 11 Grey Street",1,92,5,4,2,1,1,3,96,1,1,207,0
"Andersons Bay","Presbyterian Church Hall, 76 Silverton Street",8,661,115,14,8,6,9,16,559,5,15,1416,19
"Brighton","Big Rock School, 2 Bath Street",5,226,40,11,1,6,7,7,149,1,5,458,3
"Broad Bay","Broad Bay School, 4 Roebuck Rise",2,209,42,4,0,1,2,3,52,0,0,315,3
"Calton Hill","Calton Hill School Hall, 38 Riselaw Road",3,305,47,8,3,3,1,5,92,1,5,473,2
"Caversham","Caversham Presbyterian Church Hall, 61 Thorn Street",8,417,57,12,1,10,10,16,163,0,6,700,9
,"Caversham School Hall, 217 South Road",10,344,44,20,5,10,9,7,139,5,5,598,6
"Concord","Concord Kindergarten, 93 Mulford Street",0,188,13,3,1,4,1,0,52,1,3,266,3
,"Concord School, 5 Thoreau Street",1,215,23,3,0,2,2,3,99,1,5,354,3
"Corstorphine","Corstorphine Community Centre, 235 Middleton Road",3,420,40,11,0,4,8,6,149,0,5,646,4
,"Corstorphine School, 2  Lockerbie Street",1,241,20,6,4,6,2,3,129,1,2,415,5
"Dunedin City","Court House, 41 Lower Stuart Street",1,44,20,0,0,0,2,4,38,1,0,110,0
,"Dunedin Hospital, 1st Floor Foyer to Lecture Halls, 201 Great King Street",1,98,18,1,0,1,1,4,39,0,0,163,1
,"High Street School, 7 Montpellier Street",0,21,4,0,0,1,0,1,15,0,0,42,1
,"Salvation Army McMillan Lounge, 575 Princes Street",1,50,13,2,1,1,2,1,31,0,0,102,1
"Dunedin North","George Street Normal School, 989 George Street",0,32,8,0,0,0,0,3,20,0,0,63,0
,"Kelsey Yaralla Kindergarten, 4 Trent Avenue",0,4,3,0,0,2,0,0,4,0,0,13,0
,"Knox Church Hall, 453 George Street (corner Pitt Street)",0,25,8,1,0,1,0,0,12,1,0,48,0
,"University of Otago (ISB Link East), 630 Cumberland Street",2,50,26,2,2,2,1,1,18,0,2,106,1
"East Taieri","East Taieri School, 11 Cemetery Road",3,185,30,8,1,4,0,12,298,1,3,545,9
"Fairfield","Fairfield Community Hall, corner Main Road & Fairplay Street",4,639,70,15,9,10,4,25,618,3,6,1403,14
"Forbury Corner","St Bernadette's School Hall, 16 Forbury Road",1,247,30,5,1,0,2,11,177,3,3,480,5
"Green Island","Pipe Band Hall, 186 Main South Road",9,566,58,17,8,6,8,14,268,5,12,971,14
,"Plunket Rooms, 189d Main South Road (next to the PostShop)",11,374,28,11,3,1,1,7,185,3,4,628,9
"Henley","Henley Community Centre, Centre Road",0,41,5,4,0,0,0,1,98,2,1,152,1
"Kaikorai","Kaikorai Presbyterian Church Hall, 127 Taieri Road (corner Nairn Street)",1,36,11,0,1,0,0,0,23,0,0,72,1
"Lee Stream","Lee Stream School, Clarks Junction-Lee Stream Road (State Highway 87)",0,8,4,0,0,0,0,4,51,0,0,67,0
"Macandrew Bay","Macandrew Bay School, 488 Portobello Road",1,399,94,10,1,4,3,5,234,0,7,758,10
"Middlemarch","Strath Taieri School, 33 Swansea Street",1,42,7,7,4,3,0,5,142,0,1,212,1
"Mornington","Mornington School, 34 Elgin Road",1,38,8,0,0,1,1,2,29,1,0,81,0
"Mosgiel","A&P Showgrounds, 320 Gordon Road",4,101,21,3,2,2,1,9,208,0,1,352,5
,"Chatsford, 77 Doon Street",4,156,12,5,1,3,1,1,196,2,3,384,10
,"Elmgrove School, 74 Argyle Street",6,532,48,16,6,5,6,21,390,2,9,1041,9
,"Mosgiel Abilities Resource Centre, 16 Green Street",1,231,20,4,0,2,4,9,159,0,2,432,8
,"Mosgiel Public Library, 7 Hartstonge Avenue",7,699,50,21,3,7,4,19,541,3,9,1363,22
,"Reid Park Kindergarten, 63 Murray Street",2,269,7,2,2,4,0,0,208,0,3,497,3
,"Salvation Army Hall, 4 Lanark Street",2,230,16,2,1,1,6,6,146,2,2,414,7
,"Silverstream (South) Primary School, 52 Green Street",6,207,32,3,5,6,0,5,158,0,3,425,6
,"St Mary's School Hall, 53 Gordon Road",7,583,52,18,7,10,5,22,487,2,9,1202,10
"Musselburgh","Baptist Sunday School Hall, 131 Musselburgh Rise",0,606,66,16,1,6,10,22,372,3,4,1106,9
,"Musselburgh School Library, 34 Marlow Street",1,270,34,6,1,0,3,2,99,1,7,424,6
,"Presbyterian Sunday School Hall, 26 Queens Drive",2,304,25,7,3,1,0,6,144,0,0,492,5
"Ocean Grove","Tomahawk School, 31 Luke Street",1,109,28,3,3,5,2,2,34,0,0,187,1
