Electorate Candidate and Party Votes Recorded at Each Polling Place
"Mana 22","Candidate Vote Details"
,,"ANDERSON, Jason Roy","BUCHANAN, Kelly Juliet","COLLINS, Michael Allan","FINLAYSON, Christopher Francis","FREEMANTLE, Jasmine Aletia","GUNSTON, Robin Paul","HARVEY, Nicola Claire","HOSKING, Robert Sonny","LABAN, Winifred Alexandra","LEIASAMAIVAO, Talamasene Satia","LELEISIUAO, Fale","Total Valid Candidate Votes","Informal Candidate Votes"
"Ascot Park","Rangikura School, 95 Conclusion Street",3,1,2,72,0,23,23,13,427,13,9,586,8
,"Te Kura Maori o Porirua, 392 Warspite Avenue",1,0,8,38,1,9,15,15,368,19,8,482,0
"Cannons Creek","Cannons Creek School, 5 Warspite Avenue",1,8,7,27,1,12,18,46,767,48,13,948,19
,"Glenview School, 106 Bedford Street",0,0,2,5,0,2,8,8,161,5,3,194,2
,"Maraeroa School, 47 Driver Crescent",0,0,1,12,0,7,15,22,374,16,5,452,6
,"Russell School, 18 Fantame Street",0,2,4,22,2,3,9,12,440,22,2,518,9
"Elsdon","Porirua School, 1 Awarua Street",5,5,13,73,1,12,30,11,390,23,5,568,5
"Karehana Bay","St Paul's Presbyterian Church, Cluny Road",1,2,5,212,2,14,41,1,220,5,1,504,4
"Kenepuru","Mana Electorate HQ, 37 Kenepuru Drive",0,1,3,30,0,3,6,2,83,5,3,136,1
"Linden","Greenacres School, 60 Raroa Terrace",1,1,7,204,0,38,19,1,149,4,3,427,5
,"Linden School, Ranui Terrace",0,1,1,85,0,15,13,1,123,9,3,251,6
,"Linden Social Centre, Linden Avenue",1,4,19,392,1,61,37,8,492,13,17,1045,12
,"Tui Park Kindergarten, Mexted Terrace",0,2,4,60,1,25,19,2,139,8,3,263,5
"Mana","St Barnabas' Church, Mana Esplanade",1,1,16,522,3,50,50,0,409,9,3,1064,12
"Paekakariki","Paekakariki School, Wellington Road",0,1,1,84,3,11,43,5,251,1,3,403,2
,"St Peter's Hall, Beach Road",1,1,2,97,3,2,56,2,261,4,1,430,2
"Papakowhai","Papakowhai School, 17 Spey Place",0,1,16,251,1,40,35,5,286,1,1,637,4
,"The Royal New Zealand Police College, Papakowhai Road",0,5,10,276,1,26,21,3,185,9,3,539,3
"Paraparaumu","Kapiti Primary School, Kapiti Road",0,1,4,121,0,10,8,1,157,7,5,314,2
,"Paraparaumu School, Ruapehu Street",0,0,3,43,0,1,5,1,26,2,1,82,0
,"St Paul’s Anglican Church Hall, cnr Kapiti Road & Langdale Ave",0,0,1,44,1,2,8,2,29,0,4,91,1
"Paremata","Paremata School, 35 Paremata Crescent",1,2,17,528,2,33,51,4,311,4,6,959,5
"Pauatahanui","Pauatahanui School, 12 Paekakariki Hill Road",1,1,13,335,1,26,27,2,147,4,3,560,8
"Plimmerton","Plimmerton School, School Road",1,0,8,247,0,22,38,4,227,0,7,554,1
,"St Theresa's School, James Street",1,1,3,157,2,22,12,3,141,2,6,350,3
"Porirua","North City Shopping Centre, Titahi Bay Road",0,5,7,76,3,16,26,10,258,4,7,412,10
,"Whitireia Community Polytechnic, Wineera Drive",0,1,4,36,1,6,14,11,154,2,5,234,6
"Porirua East","Porirua East School, 8 Martin Street",5,5,8,126,3,44,46,15,728,22,11,1013,14
,"Windley School, 146 Mungavin Avenue",1,2,6,31,1,10,21,14,452,32,7,577,18
"Pukerua Bay","Pukerua Bay School, 89 Rawhiti Road",0,4,12,274,2,28,80,2,381,7,4,794,5
"Raumati Beach","Raumati Beach School, Raumati Road",5,2,18,788,2,71,87,8,845,16,10,1852,18
,"Real Life Hall, Kowhai Street",1,1,2,147,1,23,20,0,183,4,9,391,8
"Raumati South","Raumati South Returned Services War Memorial Hall, Tennis Court Road",0,1,8,268,1,26,62,6,299,6,4,681,5
,"Raumati South School, Matai Road",0,0,7,224,2,25,58,10,294,7,8,635,8
"Tawa","Hampton Hill School, Victory Crescent",0,1,2,53,2,9,9,2,87,2,1,168,3
,"New Life Church Hall, 236 Main Road",1,0,4,38,1,7,7,1,55,1,0,115,1
"Titahi Bay","Garage, 99 Gloaming Hill",0,1,2,61,2,12,16,7,183,4,1,289,6
,"Ngati Toa School, Piko Street",1,1,3,37,3,10,23,4,170,9,6,267,6
,"Niblick Hall, Niblick Lane",1,2,14,146,1,20,29,7,487,3,10,720,15
,"Titahi Bay Intermediate School, Kahutea Terrace",2,4,19,135,3,23,35,20,336,5,7,589,5
,"Titahi Bay North School, 47 Jillett Street",2,2,1,64,0,11,17,11,195,7,1,311,5
,"Titahi Bay School, 11 Kura Street",1,2,5,75,2,18,29,12,316,2,10,472,2
"Waitangirua","Corinna School, 36 Kalingo Street",2,2,3,16,1,5,16,12,402,13,4,476,6
,"Natone Park School, 6 Kokiri Crescent",1,1,2,26,1,1,4,20,471,22,9,558,4
"Whitby","Postgate School, 6 Staithes Drive North",0,2,3,365,0,35,32,5,411,7,13,873,2
,"St James' Church, Spinnaker Drive",4,1,12,421,3,43,33,2,283,7,9,818,11
,"The Anchor, 1 Joseph Banks Drive",0,0,16,742,4,54,22,2,300,7,0,1147,4
,"The Bradey Room, Civic Centre, Discovery Drive",3,0,16,513,2,57,41,3,316,3,10,964,5
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",2,2,0,34,1,5,5,1,97,0,3,150,7
,"Ordinary Votes BEFORE polling day",3,6,18,598,2,95,78,14,916,26,7,1763,17
,"Special Votes BEFORE polling day",1,2,2,124,1,14,28,5,210,5,0,392,7
,"Special Votes On polling day",1,6,28,520,7,58,172,21,1097,58,16,1984,21
,"Overseas Special Votes including defence force",0,3,3,154,1,12,37,4,274,4,1,493,2
,"Mana Total",56,100,395,10029,79,1207,1654,403,16763,518,291,31495,346
,,,,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",31841
"Electorate Candidate Valid Votes","Party",,"LABAN, Winifred Alexandra - majority 6734"
"ANDERSON, Jason Roy",Direct Democracy Party,56,.00177806
"BUCHANAN, Kelly Juliet",Alliance,100,.0031751072
"COLLINS, Michael Allan",ACT New Zealand,395,.0125416733
"FINLAYSON, Christopher Francis",National Party,10029,.3184314971
"FREEMANTLE, Jasmine Aletia",Anti-Capitalist Alliance,79,.0025083347
"GUNSTON, Robin Paul",United Future New Zealand,1207,.0383235434
"HARVEY, Nicola Claire",Green Party,1654,.0525162724
"HOSKING, Robert Sonny",Mâori Party,403,.0127956819
"LABAN, Winifred Alexandra",Labour Party,16763,.5322432132
"LEIASAMAIVAO, Talamasene Satia",Destiny New Zealand,518,.0164470551
"LELEISIUAO, Fale",Jim Anderton's Progressive,291,.0092395618
