Electorate Candidate and Party Votes Recorded at Each Polling Place
"Port Waikato 42","Candidate Vote Details"
,,"DAW, Arthur Robert (Bob)","HART, Steven Lawrence","HUTCHISON, Charles Paul Telford","KEVEN, Douglas Rodney","OLSEN, David Edward","PANIRAU, Max Shannon","PEITA, Josephine Bernadette ","PRASAD, Jayati","STRATTON, Craig Alister","WALL, Louisa Hareruia","Total Valid Candidate Votes","Informal Candidate Votes"
"Aka Aka","Aka Aka School, 809 Aka Aka-Otaua Main Rd",6,1,127,5,4,0,0,0,1,21,165,0
"Ararimu","Ararimu School, cnr of Steel and Ararimu Rds",15,1,306,0,7,3,1,4,1,62,400,2
"Awhitu","District School, Matakawa-Awhitu Rd",32,1,288,2,3,0,8,2,0,155,491,4
"Bombay","Bombay School, 35 Paparata Rd",26,1,695,12,8,5,1,8,1,143,900,6
"Buckland","Buckland School, George Crescent",27,1,430,9,15,4,0,5,1,100,592,5
"Clarks Beach","Church By The Seashore, 14 - 16 Torkar Rd",26,3,379,2,3,10,4,4,1,119,551,5
"Drury","Drury School, Youngs Crescent",75,0,986,7,18,11,13,17,5,313,1445,9
"Glen Murray","Glen Murray Hall, 2271 SH 22",5,0,83,1,1,0,0,0,0,15,105,0
"Glenbrook","Glenbrook Primary School, 459 Main Rd",30,1,432,9,5,3,3,7,3,195,688,6
"Harrisville","Harrisville School, 202 Harrisville Rd",15,0,285,4,5,1,2,7,0,113,432,7
"Hunua","Hunua School, 39 Lockwood Rd",24,0,371,2,12,3,7,8,1,140,568,5
"Kaiaua","Kaiaua School, 1061 East Coast Rd",26,0,152,1,17,10,5,4,2,89,306,1
"Karaka","Karaka School, cnr SH 22 & Blackbridge Rd, ",28,2,634,7,20,4,2,3,2,116,818,7
,"Te Hihi School, 767 Linwood Rd",26,0,560,1,15,1,0,7,3,86,699,1
"Mangatangi","Mangatangi School, 2047 Mangatangi Rd",5,1,142,1,14,3,1,1,1,24,193,1
"Mangatawhiri","Mangatawhiri School, 15 McKenzie Rd",8,0,180,2,7,2,1,0,5,42,247,1
"Maramarua","Maramarua School, 2200 SH 2",14,1,172,3,7,4,2,4,3,44,254,3
"Mauku","Mauku School, 389 Union Rd",6,1,245,3,6,3,3,0,0,65,332,3
"Mercer","Mercer School, 15 Glass Rd",7,0,56,2,0,1,1,2,0,25,94,1
"Meremere","Meremere School, Meremere Lane",8,0,52,1,3,1,5,0,0,35,105,0
"Naike","Naike Hall, SH 22",2,0,62,0,5,2,0,2,0,13,86,0
"Ohinewai","Ohinewai School, SH 1, ",10,0,94,0,0,1,0,0,0,33,138,0
"Onewhero","Onewhero Area School, Hall Rd, ",18,0,264,6,4,4,1,12,1,80,390,2
"Otaua","Otaua School, 53 Maioro Rd",13,0,172,2,2,5,4,2,2,44,246,3
"Paerata","Paerata School, Tuhimata Rd",14,1,152,0,4,2,3,0,0,72,248,0
"Paparimu","Paparimu School, 7 Matheson Rd",9,0,133,1,4,3,0,0,0,36,186,2
"Patumahoe","Patumahoe School, 38 Patumahoe Rd",40,1,559,5,11,6,5,10,3,168,808,3
"Pokeno","Pokeno School, 54 Pokeno Rd",33,2,349,3,13,2,7,8,0,119,536,4
"Port Waikato","Yacht and Motor Boat Clubrooms, Main Rd",12,0,86,4,3,4,1,4,0,95,209,3
"Pukekawa","Pukekawa School, 803 Main Rd",17,2,400,1,6,2,3,6,0,110,547,6
"Pukekohe","Pukekohe East School, Runciman Rd",10,1,333,4,9,2,3,8,2,79,451,1
,"Pukekohe Hill School, cnr Ward St & Green Lane",68,5,1041,24,14,10,6,10,2,387,1567,15
,"Pukekohe Intermediate School, Queen St",117,1,1260,25,27,27,9,26,3,646,2141,30
,"Pukekohe North School, Princes St",29,1,209,9,5,4,35,11,1,266,570,10
,"Pukekohe Valley School, East St",42,4,782,18,22,10,5,9,2,245,1139,3
,"St Patrick's Church Hall, 133 Seddon St",45,3,765,16,10,13,7,14,1,346,1220,14
"Pukeoware","Pukeoware School, 479 Baldhill Rd",10,0,169,3,8,5,5,5,2,69,276,3
"Puni","Puni School, 357 Waiuku Rd",13,1,367,5,4,0,4,0,1,116,511,2
"Raglan","Town Hall, 41 Bow St",37,7,347,4,8,11,64,15,1,540,1034,16
"Ramarama","Ramarama School, 126 Ararimu Rd",28,1,461,2,5,5,2,4,0,123,631,2
"Rangiriri","Rangiriri School, 39 Rangiriri Rd",4,0,91,2,0,0,0,1,0,20,118,6
"Ruawaro","Central Districts' Memorial Hall, cnr Hetherington & Waikokawa Rds",5,0,132,1,5,1,1,0,0,26,171,0
"Te Akau","Te Akau School, 953 Te Akau Rd",2,0,84,0,1,0,1,0,0,7,95,0
"Te Kauwhata","Te Kauwhata College, Waerenga Rd",37,1,475,3,16,3,8,9,1,223,776,11
"Te Kohanga","Te Kohanga School, 976 Tuakau - Port Waikato Main Rd",3,0,83,6,0,0,1,2,0,30,125,0
"Te Uku","Te Uku School, 3436 SH 23",5,1,95,2,3,1,5,6,0,44,162,3
"Tuakau","Tuakau Primary School, School Rd",26,5,291,1,4,2,9,3,0,207,548,9
,"Union Parish Hall, St Stephen's Ave",46,2,334,7,12,5,9,6,1,187,609,7
"Waerenga","Waerenga School, 1066 Taniwha Rd",9,0,172,1,9,0,0,1,2,21,215,1
"Waiau Pa","Waiau Pa School, 571 Waiau Pa Rd",26,0,504,0,15,2,3,5,2,151,708,7
"Waikaretu","Waikaretu School, 1448 Waikaretu Valley Rd",1,0,49,0,1,1,1,2,0,11,66,0
"Waingaro","Waingaro School, 5844 Waingaro Rd",5,0,68,0,1,0,0,1,0,10,85,1
"Waipipi","Waipipi School, 100 Creamery Rd",12,0,216,3,7,0,3,4,0,81,326,2
"Waiterimu","Waiterimu School, 166 Waiu Rd",3,0,86,1,3,1,1,0,0,22,117,0
"Waiuku","Sandspit School, Sandspit Rd",83,2,680,4,8,11,17,10,2,362,1179,13
