Electorate Candidate and Party Votes Recorded at Each Polling Place
"Wellington Central 58","Candidate Vote Details"
,,"APPLEBY, Michael","BLUMSKY, Mark Herbert","DARNTON, Bernard Timothy","FRANKS, Stephen","HAY, Stephen William","HOBBS, Marian Leslie","KEDGLEY, Susan Jane","McKENZIE, Fiona Kirsten","O'CONNELL, Kane Peter","SOMERSET, David","Total Valid Candidate Votes","Informal Candidate Votes"
"Brooklyn","Brooklyn Community Centre, Harrison Street",21,492,1,32,3,740,133,19,1,15,1457,13
,"Brooklyn School, Washington Avenue",5,267,1,32,4,426,51,16,1,6,809,6
"Chartwell","Chartwell School Hall, Chartwell Drive",3,180,1,11,2,197,32,10,1,3,440,2
"City","Aro Valley Community Centre, 48 Aro Street",35,271,2,29,22,1173,297,11,9,5,1854,14
,"Mount Cook Preschool, 160 Tory Street",8,237,0,17,6,344,82,10,0,2,706,3
,"St Andrew's Church Hall, 30 The Terrace",13,296,3,40,0,389,69,17,1,2,830,7
,"St John's Church Conference Centre, Dixon Street",14,244,2,20,0,469,92,18,0,3,862,5
,"Te Aro School, The Terrace",5,58,2,2,0,175,34,1,1,1,279,2
,"Wellington Central Church, 39 Webb Street",4,155,2,2,2,346,56,9,4,2,582,12
,"Wellington High School, Main Foyer, 249 Taranaki Street",15,127,2,13,1,417,78,11,1,3,668,7
,"Wellington Town Hall, 111 Wakefield Street",33,697,3,42,6,1118,296,23,1,9,2228,20
,"Wesley Church New Hall, 75 Taranaki Street",12,212,1,11,1,288,64,10,4,1,604,4
"Crofton Downs","Ngaio Playcentre, Silverstream Road",1,144,1,10,2,149,20,7,0,2,336,0
"Hataitai","Hataitai Bowling Club, Upstairs Lounge, 159 Hataitai Road",1,8,1,0,0,11,4,0,0,0,25,0
,"Port Nicholson Sea Scouts' Hall, Evans Bay Parade",0,15,0,1,0,16,3,0,0,0,35,1
"Karori","Karori Baptist Church, 161-163 Karori Rd",4,359,1,28,1,328,53,19,1,4,798,5
,"Karori Normal School Hall, Donald Street",12,682,1,64,1,729,89,17,2,6,1603,8
,"Karori Playcentre, Campbell Street",3,340,0,24,0,390,39,11,0,3,810,5
,"Karori West School, Allington Road",11,444,4,30,0,664,65,32,5,8,1263,13
,"Karori West Scout Hall, 21 Sunshine Avenue",3,179,1,8,2,272,35,14,1,7,522,5
,"Sprott House, Recreation Lounge, Messines Road",1,276,1,28,0,201,24,6,1,4,542,4
,"St Teresa's Parish Hall, 301 Karori Road",7,559,12,36,0,582,66,30,2,8,1302,14
"Kelburn","Kelburn Normal School Hall, Kowhai Road",6,332,0,40,4,474,72,8,0,3,939,9
,"St Michael's and All Angels Parish Hall, 83 Upland Road",16,399,4,53,7,670,105,11,1,4,1270,9
"Khandallah","St Barnabas Parish Hall, 35 Box Hill",0,13,0,0,0,7,0,0,0,0,20,1
"Makara","Makara School, 399 Makara Rd",2,60,0,7,0,106,9,5,0,0,189,1
"Mt Victoria","Clyde Quay School Hall, Elizabeth Street",25,592,4,49,7,964,195,16,6,9,1867,7
,"St Joseph's Church, Bill Pearce Room, 154 Brougham Street",5,123,0,9,0,212,36,6,0,0,391,7
"Newtown","Newtown School Hall, Mein Street",5,66,2,5,1,191,54,7,1,1,333,1
,"St James Presbyterian Church Lounge, 235 Adelaide Road",2,23,1,1,0,61,13,0,0,2,103,1
,"St Paul's Lutheran Church, King Street",6,57,0,8,0,72,25,4,1,1,174,4
,"Te Whaea National Dance & Drama Centre, Student Common Room, Hutchison Road",2,71,0,6,0,151,28,6,0,4,268,4
,"Trinity Union Church Hall, Riddiford St / Hall Avenue",0,14,0,2,0,33,5,0,0,1,55,0
"Ngaio","Town Hall, Ottawa Road",1,35,0,9,0,47,7,2,0,0,101,1
"Northland","Northland School, Harbour View Road",5,251,0,15,0,416,52,16,5,5,765,4
,"St Anne@Ward Church Hall, Northland Road",6,210,3,17,0,380,53,12,5,6,692,7
"Oriental Bay","Overseas Terminal, Ground Floor, 1 Herd Street",4,314,3,49,2,218,60,2,0,3,655,1
"Roseneath","St Barnabas Church Hall, 15 Maida Vale Road",0,53,0,1,0,29,9,1,0,0,93,1
"Thorndon","De Porres House, St Mary's College, Guilford Tce",3,140,2,13,0,186,24,13,0,0,381,2
,"Thorndon School Hall, Hobson Crescent",7,346,1,42,1,333,40,8,1,2,781,1
,"Wellington Bridge Club, 17 Tinakori Road",6,350,1,33,0,313,49,14,3,0,769,6
"Wadestown","St Luke's Centre, 32 Pitt Street",5,569,2,67,1,582,78,9,1,4,1318,7
,"Wadestown School, 2 Rose Street",5,124,0,14,1,181,24,7,1,4,361,1
"Wilton","Cardinal McKeefry School, 66 Albemarle Road",1,104,2,3,1,113,22,7,0,2,255,1
,"Otari School, 166 Wilton Road",3,151,0,21,0,266,36,7,2,4,490,5
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",3,188,1,21,1,224,22,8,3,2,473,6
,"Ordinary Votes BEFORE polling day",16,1158,1,88,6,1405,216,46,5,6,2947,13
,"Special Votes BEFORE polling day",8,193,0,26,0,258,60,6,0,0,551,5
,"Special Votes On polling day",58,1109,5,90,18,1797,504,58,7,10,3656,19
,"Overseas Special Votes including defence force",15,732,5,85,4,1086,257,23,1,6,2214,14
,"Wellington Central Total",426,14019,79,1254,107,20199,3737,593,79,173,40666,288
,,,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",40954
"Electorate Candidate Valid Votes","Party",,"HOBBS, Marian Leslie - majority 6180"
"APPLEBY, Michael",Aotearoa Legalise Cannabis Party,426,.0104755816
"BLUMSKY, Mark Herbert",National Party,14019,.3447351596
"DARNTON, Bernard Timothy",Libertarianz,79,.0019426548
"FRANKS, Stephen",ACT New Zealand,1254,.0308365711
"HAY, Stephen William",Anti-Capitalist Alliance,107,.0026311907
"HOBBS, Marian Leslie",Labour Party,20199,.496704864
"KEDGLEY, Susan Jane",Green Party,3737,.0918949491
"McKENZIE, Fiona Kirsten",United Future New Zealand,593,.0145822063
"O'CONNELL, Kane Peter",Alliance,79,.0019426548
"SOMERSET, David",Jim Anderton's Progressive,173,.0042541681
