Electorate Candidate and Party Votes Recorded at Each Polling Place
"Tamaki Makaurau 66","Candidate Vote Details"
,,"CURTIS, Michael James","KUPENGA, Vapnierka","SHARPLES, Pita Russell","TE WAAKA, Kane","WADDELL, Marama Nathan","WALL, Louisa Hareruia","Total Valid Candidate Votes","Informal Candidate Votes"
,Auckland Central
"Auckland City","Auckland High Court, Waterloo Quadrant (corner Parliament Street)",4,0,38,1,1,13,57,0
,"Liston House, 30-32 Hobson Street",3,0,17,0,2,8,30,1
,"Methodist Church Hall, 78 Pitt Street",4,0,37,0,1,17,59,2
,"Open Polytechnic NZ, 120 Mayoral Drive",1,0,22,0,2,5,30,0
"Freemans Bay","Freemans Bay School, 95 Wellington Street",5,0,45,0,1,13,64,0
"Grey Lynn","Grey Lynn Community Centre, 510 Richmond Road",9,0,53,1,0,9,72,0
,"Grey Lynn Library Hall, 474 Great North Road",5,0,35,0,0,17,57,1
,"Grey Lynn Primary School, 44 Surrey Crescent",4,1,21,0,1,19,46,3
,"Mata'aga Hall, 18 Leighton Street",2,0,9,0,0,3,14,2
,"Richmond Road School, corner Richmond Road & Brown Street",2,1,30,0,0,11,44,0
,"St Paul's College Library, 183 Richmond Road",1,0,6,0,0,2,9,1
"Herne Bay","Bayfield School, 2 Clifton Road (corner Jervois Road)",2,0,15,1,0,6,24,0
,"Marist School, 82 Kelmarna Avenue",3,0,8,0,0,4,15,0
,"St Stephen's Presbyterian Church, 65 Jervois Road",1,0,13,0,0,2,16,0
"Mechanics Bay","Auckland Marine Rescue Centre, 3 Solent Street",0,0,7,0,0,1,8,0
"Newton","Newton Central School, end of Waima Street (corner Monmouth Street)",4,0,10,0,0,4,18,0
,"Unitarian Church Hall, 1a Ponsonby Road",2,1,11,0,2,5,21,0
"Ponsonby","All Saints Anglican Church Hall, 284 Ponsonby Road (corner Cowan Street)",3,0,25,1,0,6,35,2
,"Leys Institute, 20 St Mary's Bay Road",1,0,14,1,0,3,19,1
,"Sacred Heart Parish Hall, 24 Vermont Street",1,0,3,0,0,4,8,0
,"St Mary's College, 11 New Street",1,0,7,0,0,2,10,0
"Westmere","Hawke Sea Scouts Hall, 55 West End Road",1,0,5,0,0,4,10,0
,"Westmere School, corner Larchwood Avenue & Garnet Street",1,0,23,0,0,14,38,1
,Botany
"Botany Downs","Botany Downs Primary  School, 35 Mirrabooka Avenue",3,1,7,0,1,6,18,2
,"Botany Downs Secondary College, 575 Chapel Road",1,1,21,0,1,12,36,0
,"Elim Christian Centre, 159 Botany Road",0,0,22,0,0,2,24,0
,"St Columba Presbyterian Church, 480 Ti Rakau Drive",0,1,13,0,1,5,20,3
"Botany South","Sancta Maria College, 319 Te Irirangi Drive",5,0,26,0,0,7,38,3
"Chapel Downs","Chapel Downs Primary School, corner Chapel & Dawson Roads",3,0,49,0,0,27,79,1
"Clover Park","St Peter Chanel Hall, 44 Boundary Road",1,1,35,0,0,10,47,0
"Cockle Bay","Cockle Bay Playcentre, 17 Pah Road",0,0,5,1,0,4,10,0
"Dannemora","Little Learners Childcare Centre, 491 Te Irirangi Drive",0,0,6,0,0,3,9,0
,"Point View Primary School, 25 Kilkenny Drive",1,1,8,0,0,0,10,0
,"Willowbank School, corner Middlefield & Gracechurch Drives",0,0,6,0,0,2,8,1
"Flat Bush","Baverstock Oaks School, 21 Baverstock Road",0,1,7,0,0,1,9,1
,"Dawson Primary School, Haumia Way",4,4,114,1,1,51,175,2
"Highland Park","Rockabye Early Learning Centre, 122 Aviemore Drive",2,1,8,1,1,3,16,0
"Howick","Cockle Bay School, 24 Sandspit Road",0,0,12,0,0,3,15,1
,"Shelly Park School, 11-13 Sunnyview Avenue",0,0,5,0,0,3,8,0
"Meadowlands","Meadowlands Methodist Community Church, 128 Whitford Road",2,1,15,1,1,3,23,1
"Northpark","Our Lady Star of the Sea School, 14 Oakridge Way",1,0,11,0,0,1,13,0
"Somerville","Somerville Intermediate School, 39 Somerville Road",0,0,5,0,0,1,6,0
,Coromandel
"Opoutere","Opoutere School, State Highway 25",2,0,13,0,0,3,18,0
,Epsom
"Epsom","Auckland Grammar School, 85 Mountain Road",3,1,8,0,1,2,15,1
,"Epsom Girls Grammar School, 14 Silver Road",0,0,15,0,0,3,18,0
,"Epsom Normal School, 41 The Drive",1,0,9,0,0,1,11,0
,"Sacred Heart Parish Hall, 19 Banff Avenue",1,0,5,0,1,0,7,0
,"St Andrew's Anglican Church Hall, 100 St Andrew's Road",1,0,10,0,0,1,12,0
,"St George's Church Hall, 19 Ranfurly Road",1,0,7,0,0,1,9,0
"Grafton","Auckland City Hospital, Park Road",3,1,16,0,0,4,24,0
,"St David's Presbyterian Church Hall, 70 Khyber Pass Road",4,1,35,0,0,4,44,3
"Greenlane","Cornwall Park District School, Greenlane West & Wheturangi Roads",1,0,8,0,1,0,10,0
"Mt Eden","Auckland Normal Intermediate, Poronui Street",1,0,6,0,0,2,9,1
,"Auckland Provincial Guide Centre, 132 Grange Road",4,0,21,1,0,1,27,0
,"Ficino School, 27 Esplanade Road",1,0,13,0,0,4,18,1
,"Mt Eden Normal Primary School, Valley Road",3,0,27,0,0,4,34,0
,"Valley Road International Church Hall, 393 Mt Eden Road",1,1,18,0,0,7,27,0
"Parnell","Holy Trinity Cathedral Venue Centre, 446 Parnell Road",1,0,10,0,1,9,21,0
,"Jubilee Hall, Parnell Community Centre, 545 Parnell Road",1,0,14,0,0,5,20,2
,"Parnell District School, 48 St Stephen's Avenue",5,1,30,0,0,6,42,1
"Remuera","Corran School, 514 Remuera Road",0,0,5,0,1,2,8,0
,"Remuera Intermediate School, Ascot Avenue",0,0,7,0,0,3,10,0
,"St Aidan's Parish Hall, 5 Ascot Avenue",0,0,5,1,2,2,10,0
,"St Joseph of Cluny Kindergarten, 74 Victoria Avenue",0,0,5,1,0,0,6,1
,"St Marks Church Hall, 95 Remuera Road",0,0,5,0,0,4,9,0
,"Victoria Avenue School, 250 Victoria Avenue",0,0,6,0,0,4,10,1
,Mangere
"Favona","Favona School, 50 Wakefield Road",3,0,59,0,0,35,97,1
"Ihumatao","Makaurau Marae, 8 Ruaiti Road",5,0,51,1,1,12,70,1
"Mangere","Martin Hautus Pacific Peoples Learning Institute, 55-57 Plumley Crescent",0,0,24,0,0,10,34,3
"Mangere Bridge","Mangere Bridge School, 2 Domain Road",7,2,123,1,0,56,189,10
,"St James Anglican Church Hall, 29 Church Road",3,1,51,0,1,21,77,2
,"Waterlea School, 17 House Avenue",3,1,60,1,1,36,102,3
"Mangere Central","Jean Batten School, 6 Imrie Avenue",5,3,56,0,0,38,102,3
,"Koru School, 71 Robertson Road",6,0,67,0,0,27,100,3
,"Mangere Central Community Hall, 241 Kirkbride Road",4,0,56,0,0,40,100,6
,"Mangere College, 23 Bader Drive",1,0,42,0,0,48,91,4
,"Nga Iwi School, 60 Mascot Avenue",2,0,80,0,0,49,131,2
,"Robertson Road School, 205 Robertson Road",1,0,83,0,0,35,119,4
