Electorate Candidate and Party Votes Recorded at Each Polling Place
"Bay of Plenty 2","Candidate Vote Details"
,,"CARTER, Brian Hubert","DEVOY-HEENA, Carol Rosemary","DOLMAN, Raymond","REDMAN, Peter Charles ","RYALL, Anthony Boyd Williams","TIPENE, Tangi Sharon ","Total Valid Candidate Votes","Informal Candidate Votes"
"Bethlehem","Bethlehem Primary School Hall, 66 Carmichael Road",1,37,24,11,151,2,226,4
"Kaimai","Kaimai School, 1853 State Highway 29",4,39,22,7,270,0,342,8
"Matakana Island","Te Kura O Te Moutere O Matakana, 183 Opureora Road ",0,7,7,3,3,2,22,0
"Matapihi","Te Kura o Matapihi, 398 Matapihi Road",1,64,60,6,147,3,281,8
"Maungatapu","Maungatapu Free Kindergarten, 187 Te Hono Street",4,104,101,26,445,3,683,17
,"Maungatapu School, 164 Maungatapu Road",10,181,130,35,630,10,996,19
"Mt Maunganui","Arataki Community Centre, Zambuk Way (off Grenada Street)",4,189,137,42,649,1,1022,30
,"Arataki School, 4 Kaimanawa Street",5,223,207,36,630,10,1111,53
,"Harbourside Netball Pavilion, Maunganui Road",1,12,9,3,53,1,79,0
,"Mt Maunganui College, Maunganui Road",0,42,39,9,180,4,274,9
,"Mt Maunganui Intermediate School, 21 Links Avenue",0,17,11,3,60,3,94,7
,"Mt Maunganui Primary School, 13 Orkney Road",0,10,7,2,35,1,55,1
,"Senior Citizens' Hall, 345 Maunganui Road",1,12,13,2,60,0,88,1
,"St Peter's Church Hall, 11 Victoria Road",0,4,1,2,36,1,44,2
"Ohauiti","Ohauiti Settlers Hall, 459 Ohauiti Road",4,138,88,39,839,6,1114,18
"Omokoroa","Omokoroa No. 1 School, 11 Emeny Road",1,43,13,5,285,1,348,8
,"Omokoroa Point School, 37 Hamurana Road",2,185,90,44,831,5,1157,38
"Oropi","Oropi School, 1334 Oropi Road",3,59,53,20,317,3,455,15
"Pahoia","Pahoia School, 29 Esdaile Road",1,92,38,30,493,5,659,13
"Papamoa","Golden Sands Primary School, 26 Golden Sands Drive",4,139,67,35,664,9,918,10
,"Papamoa Community Centre and Library - Tohora, Tamure and Mako Rooms, 15 Gravatt Road",12,440,218,68,1296,10,2044,46
,"Papamoa Primary School, 312 Dickson Road",6,223,154,49,712,7,1151,21
,"Shop 7, Fashion Island, Gravatt Road",9,206,115,53,910,10,1303,33
,"Tahatai Coast School, 45 Evans Road",10,299,139,49,1155,11,1663,36
"Pyes Pa","Aquinas College, 183 Pyes Pa Road",2,32,22,19,290,1,366,7
,"Pyes Pa School, 978 Pyes Pa Road",4,60,52,25,333,4,478,6
"Tauranga","Greenpark School, 13 Lumsden Street",3,33,16,9,132,1,194,1
,"Greerton Community Hall, 1247 Cameron Road",3,58,49,19,134,2,265,13
,"Matua Community Hall, Levers Road",1,1,4,0,21,0,27,3
,"Otumoetai School, 236 Otumoetai Road",0,9,7,2,28,0,46,1
,"St Peter's Community Centre, 130 Spring Street",0,2,5,5,38,2,52,1
,"Tauranga Girls' College Hall, 930 Cameron Road",0,20,10,1,76,0,107,3
,"Tauranga Intermediate School, 30 18th Avenue",0,14,6,6,65,1,92,1
,"Tauranga Primary School Hall, 31 5th Avenue",0,35,12,6,98,0,151,2
,"Tauriko School, State Highway 29",3,79,87,26,401,4,600,9
,"Village Hall, Village on 17, 17th Avenue",0,7,8,5,26,0,46,1
"Te Puke","Te Puke Memorial Hall, 130 Jellicoe Street",10,331,208,71,1250,10,1880,55
,"Te Puke Primary School, corner Cameron Road & Kowhai Avenue",8,199,109,47,692,8,1063,25
"Te Puna","Te Puna Memorial Hall, Te Puna Road",8,107,84,57,792,4,1052,12
,"Te Puna School, 225 Te Puna Road",6,42,36,18,284,3,389,13
"Waitangi","Te Kura Kaupapa Māori o Te Matai, 309 State Highway 2",0,4,0,0,10,0,14,1
"Welcome Bay","Baden Powell Hall, 39 Welcome Bay Road",10,226,143,75,897,13,1364,43
,"Selwyn Ridge School, 20 Holmburn Street",14,134,75,43,498,7,771,18
,"Welcome Bay School, 309 Welcome Bay Road",10,288,165,63,929,16,1471,33
"Whakamarama","Whakamarama Public Hall, 469 Whakamarama Road",1,59,35,11,274,2,382,11
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Bay of Plenty",22,550,402,85,2359,18,3436,118
,"Ordinary Votes BEFORE polling day - Taken in Tauranga",8,291,189,66,1545,16,2115,45
,"Special Votes BEFORE polling day",2,90,36,10,304,4,446,7
,"Special Votes On polling day",13,478,189,53,1246,26,2005,49
,"Overseas Special Votes including Defence Force",2,36,12,5,137,1,193,4
,"Bay of Plenty Total",213,5950,3704,1306,23710,251,35134,879
,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",36013
"Electorate Candidate Valid Votes","Party",,"RYALL, Anthony Boyd Williams - majority 17760"
"CARTER, Brian Hubert",United Future,213,.0060625036
"DEVOY-HEENA, Carol Rosemary",Labour Party,5950,.1693516252
"DOLMAN, Raymond",New Zealand First Party,3704,.1054249445
"REDMAN, Peter Charles ",Conservative Party,1306,.0371719702
"RYALL, Anthony Boyd Williams",National Party,23710,.6748448796
"TIPENE, Tangi Sharon ",Mana,251,.007144077
