Electorate Candidate Votes Recorded at Each Voting Place
"Te Atatū 53","Candidate Vote Details"
,,"FLETCHER, Stephen James","McDERMOTT, Adrian Gordon","NGARO, Alfred","O'ROURKE, Thomas Patrick","STEWART, Gary Todd","TWYFORD, Philip Stoner","YONG, Christopher Vun Han","Total Valid Candidate Votes","Informal Candidate Votes"
"Glendene","Glendene School, 60 Barrys Road",0,1,18,0,5,24,0,48,0
"Henderson","Bruce McLaren Intermediate School, 61-69 Bruce McLaren Road",1,1,49,8,11,132,0,202,0
,"Henderson High School, 31 Henderson Valley Road",12,10,175,15,31,231,9,483,9
,"Henderson North School, 14 Norval Road",10,12,220,10,29,303,8,592,7
,"Henderson Primary School, 13 Montel Avenue",18,8,207,16,28,365,4,646,14
,"Henderson South School, 24 Garelja Road",3,3,61,14,12,170,3,266,2
,"Montessori at the Children's House, 1 Clover Drive",3,2,43,1,12,109,1,171,5
,"Summerland School, 62 Summerland Drive",27,13,896,53,66,596,16,1667,20
,"The Church of Jesus Christ of Latter-Day Saints, 7 Harvest Drive",4,3,207,18,21,155,4,412,1
,"Waitakere College, 42 Rathgar Road",18,11,393,37,52,615,8,1134,25
,"Western Heights School, 126 Sturges Road",33,18,1365,69,105,734,22,2346,20
"Lincoln","Lincoln North Kindergarten, 47a Longburn Road",11,3,69,12,9,160,7,271,1
,"Pomaria Primary School, 33a Pomaria Road",16,4,288,38,39,516,3,904,20
"Massey","Don Buck School, 124 Don Buck Road",1,2,50,5,6,52,1,117,1
"Ranui","Birdwood School, 23 Karepo Crescent",3,9,108,18,18,309,3,468,4
,"Ranui Pacific Islanders Presbyterian Church, 35 Armada Drive",4,5,100,10,26,334,7,486,4
,"Ranui Primary School, 16a Ranui Station Road",10,12,287,26,48,524,5,912,12
"Sunnyvale","Kelston Community Centre, 126 Awaroa Road ",0,1,20,1,6,34,1,63,2
,"Sunnyvale Primary School, 34 Ribblesdale Road",2,5,45,1,6,67,0,126,4
"Swanson","Swanson School, 703 Swanson Road",5,14,329,16,67,315,8,754,6
"Te Atatu Peninsula","Congregational Church of Samoa, 472-478 Te Atatu Road",3,8,284,25,32,313,1,666,5
,"Matipo Primary School, 63b Matipo Road",2,5,318,20,53,424,3,825,9
,"Peninsula Primary School, 22 Waipani Road",2,11,323,14,56,498,3,907,4
,"Rutherford Primary School, 2 Kotuku Street",9,8,224,20,22,320,5,608,6
,"Te Atatu Intermediate School, 8-12 Harbour View Road",9,5,673,50,51,777,9,1574,15
"Te Atatu South","Edmonton Primary School, corner School & Edmonton Roads",20,14,446,36,70,608,16,1210,12
,"Flanshaw Road School, 51 Flanshaw Road",10,9,382,50,50,536,7,1044,15
,"Freyberg Community School, 60 Roberts Road",17,8,459,31,54,474,8,1051,9
,"Rangeview Intermediate School, 5 Keru Place",11,1,190,13,25,263,2,505,6
,"Tirimoana School, 34 Kokiri Street",20,8,545,19,44,519,8,1163,11
"Westgate","Massey Presbyterian Church, 510 Don Buck Road",1,4,22,1,3,33,2,66,0
,"Voting places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day",63,49,2786,231,268,3304,58,6759,101
,"Special Votes BEFORE polling day",14,15,295,23,69,485,19,920,19
,"Special Votes On polling day",50,43,837,59,195,1253,46,2483,45
,"Overseas Special Votes including Defence Force",4,3,149,5,29,124,3,317,2
,"Te Atatū Total",416,328,12863,965,1618,15676,300,32166,416
,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",32582
"Electorate Candidate Valid Votes","Party",,"TWYFORD, Philip Stoner - majority 2813"
"FLETCHER, Stephen James",ACT New Zealand,416,.0129329105
"McDERMOTT, Adrian Gordon",Aotearoa Legalise Cannabis Party,328,.0101971025
"NGARO, Alfred",National Party,12863,.3998942983
"O'ROURKE, Thomas Patrick",Conservative,965,.0300006218
"STEWART, Gary Todd",Green Party,1618,.0503015607
"TWYFORD, Philip Stoner",Labour Party,15676,.487346888
"YONG, Christopher Vun Han",Internet Party,300,.0093266182
