Electorate Candidate and Party Votes Recorded at Each Polling Place
"Waimakariri 55","Candidate Vote Details"
,,"COSGROVE, Clayton James","DE VRIES, Timothy Rene","KELCHER, John Michael","PROSSER, Richard Ivor","WILKINSON, Catherine Joan","Total Valid Candidate Votes","Informal Candidate Votes"
"Akaroa","Akaroa Sports Centre, Rue Jolie",7,1,0,1,7,16,1
"Belfast","Belfast Salvation Army, 792-794 Main North Road",410,5,24,2,275,716,12
,"Belfast School, 700 Main North Road",378,10,23,12,394,817,10
,"Papanui ACC Office, Northwood Supa Centre, 1 Radcliffe Road",242,10,26,8,358,644,9
"Bishopdale","Bishopdale School Hall, 465 Greers Road",49,5,4,0,80,138,2
,"Cotswold School, 44 Cotswold Avenue",210,10,18,11,373,622,4
"Christchurch City","Christchurch Public Hospital, Main Entrance Foyer, 2 Riccarton Avenue",33,0,2,1,32,68,0
,"First Church of Christ Scientist, 66 Carlton Mill Road",6,0,0,0,4,10,0
,"HMNZS Pegasus, 419 Montreal Street",4,1,0,0,9,14,0
,"St Michael and All Angels Church School, 249 Durham Street South",7,0,1,0,6,14,0
"Clarkville","Clarkville School, 10 Heywards Road",161,1,10,7,346,525,5
"Cust","Cust School, 473 Earlys Road",193,19,20,7,326,565,5
"Eyreton","Eyreton Hall, corner Mandeville & South Eyre Roads",94,8,7,4,180,293,0
"Fernside","Fernside School, 285 O'Roarkes Road",212,14,27,4,431,688,10
"Kaiapoi","Kaiapoi Co-operating Parish, Wesley Centre, 53 Fuller Street",840,23,31,35,411,1340,17
,"Kaiapoi High School Auditorium,  85 Ohoka Road",737,12,20,14,410,1193,17
,"Kaiapoi North School, 278 Williams Street",602,12,26,16,305,961,17
,"Kaiapoi Rugby Club, Smith Street ",516,13,28,9,199,765,11
"Mairehau","Glenmoor School, 96 Philpotts Road",8,1,0,1,8,18,0
,"Mairehau High School, 440 Hills Road",9,1,0,0,8,18,0
"Marshland","Marshland School, 329 Prestons Road",87,11,14,3,164,279,6
"Northwood","Northwood Nursery and Preschool, 1 O'Neill Avenue",355,12,24,18,731,1140,13
"Ohoka","Ohoka School, 261 Jacksons Road",235,19,37,8,560,859,5
"Oxford","Jaycee's Room, Main Street",576,40,75,24,680,1395,25
"Papanui","Casebrook Intermediate, 90 Veitches Road",482,30,46,18,451,1027,16
,"Papanui Baptist Church, 144 Sawyers Arms Road ",44,5,11,0,50,110,0
,"Papanui Primary School, 40 Winters Road",44,1,2,0,33,80,0
,"St Giles Church Hall, 450 Papanui Road (Frank Street entrance)",6,0,3,0,14,23,1
,"St Joseph's School, 4 Vagues Road",57,2,4,0,62,125,4
"Pegasus","Pegasus Town General Store, Upstairs Meeting Rooms, 8 Tahuna Street",63,5,8,2,98,176,3
"Rangiora","Ashgrove School, 48 Seddon Street",571,36,18,25,698,1348,15
,"McAlpine Band Hall, 8a Good Street",494,37,40,20,528,1119,31
,"Rangiora Borough School, 157 King Street",905,79,80,38,794,1896,23
,"Rangiora High School, East Belt",277,29,22,11,233,572,10
,"Southbrook School, 26 Marshall Street",437,29,27,15,440,948,8
"Redwood","Early Childhood Centre, 339 Main North Road",169,9,15,9,151,353,5
,"Northcote School, 26 Tuckers Road",324,19,26,11,216,596,12
,"Redwood Play Centre, 40 Dunedin Street",349,13,14,13,229,618,10
,"Redwood School, 51 Prestons Road",748,22,50,24,678,1522,22
,"Scout Hall, 20 Sturrocks Road",197,7,8,6,193,411,8
"Swannanoa","Swannanoa School, 1305 Tram Road ",208,14,17,0,367,606,5
"Tuahiwi","Tuahiwi School, 206 Tuahiwi Road",117,4,10,3,85,219,1
"View Hill","View Hill School, 496 Island Road",33,1,1,1,65,101,0
"Waikuku","Waikuku School, State Highway 1",77,4,10,8,84,183,2
"Waikuku Beach","Waikuku Beach Hall, Park Terrace",169,6,23,4,108,310,4
"West Eyreton","West Eyreton School, 1650 North Eyre Road",159,7,27,5,281,479,3
"Woodend","Woodend School, Main North Road",593,37,38,28,540,1236,9
,"Polling places where less than 6 votes were taken",2,0,0,0,3,5,0
,"Ordinary Votes BEFORE polling day - Taken in Christchurch Central",72,4,6,3,88,173,0
,"Ordinary Votes BEFORE polling day - Taken in Christchurch East",29,0,3,0,48,80,3
,"Ordinary Votes BEFORE polling day - Taken in Ilam",201,6,21,7,251,486,4
,"Ordinary Votes BEFORE polling day - Taken in Selwyn",18,0,1,0,25,44,0
,"Ordinary Votes BEFORE polling day - Taken in Waimakariri",2147,82,91,99,2201,4620,79
,"Ordinary Votes BEFORE polling day - Taken in Wigram",46,8,6,5,90,155,2
,"Special Votes BEFORE polling day",200,8,22,12,240,482,7
,"Special Votes On polling day",863,48,120,36,1053,2120,33
,"Overseas Special Votes including Defence Force",73,5,10,0,93,181,1
,"Waimakariri Total",16145,785,1197,588,16787,35502,490
,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",35992
"Electorate Candidate Valid Votes","Party",,"WILKINSON, Catherine Joan - majority 642"
"COSGROVE, Clayton James",Labour Party,16145,.4547631119
"DE VRIES, Timothy Rene",Conservative Party,785,.0221114303
"KELCHER, John Michael",Green Party,1197,.0337164103
"PROSSER, Richard Ivor",New Zealand First Party,588,.0165624472
"WILKINSON, Catherine Joan",National Party,16787,.4728466002
