Electorate Candidate and Party Votes Recorded at Each Polling Place
"Northland 35","Candidate Vote Details"
,,"BRADFORD, Susan","CARTER, John McGregor","ISAACHSEN, David Patrick","JOHNSON, Philip Alan","JONES, Shane Geoffrey","McCLELLAND, Thomas John","PERI, Malcolm Maihi","PETERS, James Leonard","PHILLIPS, Gray Andrew","PISTORIUS, Julian Leonard","WHAANGA, Mel Tuati","Total Valid Candidate Votes","Informal Candidate Votes"
"Ahipara ","Ahipara School, Main Rd",43,157,3,7,117,3,16,20,0,1,0,367,4
"Arapohue","Arapohue Hall, Mititai Rd",10,147,0,1,13,0,2,16,0,1,0,190,0
"Awanui","Awanui School, Main Rd",25,169,6,1,103,1,17,38,0,0,0,360,5
"Awarua, Kaikohe","Te Hurihi Marae, Mangakahia Rd",2,8,1,0,5,0,4,2,0,0,0,22,0
"Baylys Beach","Presbyterian Church Hall, Seaview Rd",21,119,1,3,28,3,0,9,0,0,0,184,0
"Broadwood","Broadwood Area School, Main Rd",6,58,4,0,15,0,2,15,0,0,0,100,1
"Dargaville","Dargaville Primary School, Portland St",56,402,4,13,168,8,9,53,1,0,0,714,8
,"Selwyn Park School, Onslow St",23,168,1,4,113,1,7,39,0,1,0,357,3
,"St Andrew's Church Hall, Normanby St",56,653,4,11,251,6,5,113,1,1,1,1102,10
"Fairburn","Fairburn Hall, Main Fairburn-Peria Rd",10,46,0,0,31,1,1,9,0,0,0,98,0
"Herekino","Herekino School, Kaitaia-Awaroa Rd",7,34,4,1,22,0,5,7,0,0,0,80,2
"Hikurangi","Hikurangi School, Swan Ave",8,89,3,1,37,0,2,13,0,0,0,153,0
"Horeke","Horeke School, Horeke Rd",3,8,0,0,20,0,9,9,0,0,0,49,0
"Hukerenui","Hukerenui School, Crowsnest Rd",13,149,3,3,28,4,3,15,0,0,0,218,1
"Kaeo","Kaeo Primary School, SH 10",48,212,1,7,130,4,9,40,0,1,0,452,0
"Kaihu","Kaihu Memorial Hall, Wood Rd",11,126,0,0,37,2,2,28,0,0,0,206,1
"Kaikohe","Kaikohe East School, 36 Mangakahia Rd",17,176,7,5,138,5,10,79,0,3,0,440,4
,"Kaikohe Intermediate School, 11 Park Rd",28,234,3,3,167,3,21,78,0,0,0,537,6
,"Te Iringa Marae, Waimatenui Rd, Te Iringa",7,9,0,0,12,0,2,1,0,0,0,31,0
"Kaingaroa","Kaingaroa School, SH 10",8,88,1,0,44,0,1,16,0,0,0,158,0
"Kaitaia","Kaitaia College, Redan Rd",54,337,14,9,152,2,22,62,0,0,0,652,9
,"Kaitaia Intermediate School, 45 North Rd",52,524,36,8,313,3,34,94,0,0,0,1064,12
"Kaiwaka","Kaiwaka School, Mangawhai Rd",92,302,2,5,86,2,2,37,0,2,0,530,4
"Kamo","Kamo Primary School, 3 Mile Bush Rd",6,26,0,0,6,2,1,4,0,0,0,45,0
"Kawakawa","Karetu School, Kura Road, ",5,26,0,1,11,0,2,4,0,1,0,50,0
,"Kawakawa School, 31-39 Albert St",25,201,14,5,125,1,17,38,0,0,0,426,3
"Kerikeri","Kerikeri Primary School, Hone Heke Rd",221,1288,20,13,454,14,8,122,4,2,0,2146,15
,"Riverview School, Riverview Rd",93,729,7,12,214,8,3,44,1,2,1,1114,7
"Kohukohu","Kohukohu School: Beach Rd",51,37,0,0,51,0,4,7,0,0,0,150,2
"Mangamuka ","Mangamuka School, School Rd",3,16,0,1,7,0,3,3,0,0,0,33,0
"Mangawhai","Mangawhai Hall, Mangawhai Rd",117,550,5,10,313,14,4,78,0,0,1,1092,6
"Mangonui","Mangonui School, Colonel Mould Drive",90,401,4,8,191,6,13,58,1,5,0,777,5
