Electorate Candidate Votes Recorded at Each Voting Place
"Epsom 12","Candidate Vote Details"
,,"GENTER, Julie Anne","GOLDSMITH, Paul Jonathan","GOODE, Matthew Gavin","HADEN, Grace","HOLLAND, Adam John","KRUGER, Susanna Susara","LYON, Clifton Killip","O'DEA, Patrick John","RANKIN-MacINTYRE, Christine Kathryn","SEYMOUR, David Breen","WOOD, Michael Philip","Total Valid Candidate Votes","Informal Candidate Votes"
"GENTER, Julie Anne",Green Party,3021,.0821526664
"GOLDSMITH, Paul Jonathan",National Party,11716,.3186033231
"GOODE, Matthew Gavin",Independent,37,.001006173
"HADEN, Grace",Independent,59,.001604438
"HOLLAND, Adam John",Independent,21,.0005710712
"KRUGER, Susanna Susara",Independent,31,.0008430098
"LYON, Clifton Killip",New Zealand First Party,621,.0168873902
"O'DEA, Patrick John",MANA Movement,106,.0028825497
"RANKIN-MacINTYRE, Christine Kathryn",Conservative,1725,.0469094172
"SEYMOUR, David Breen",ACT New Zealand,15966,.4341772496
"WOOD, Michael Philip",Labour Party,3470,.0943627118
