Electorate Candidate and Party Votes Recorded at Each Polling Place
"Te Atatu 52","Candidate Vote Details"
,,"AH TONG, Fiasili Jackueline","BELTOWSKI, Lech Andrzej","CARTER, Chris Joseph","GOLDIE, Xavier Heath","HENARE, Raymond Tau","ROY, Pavitra Kumar","SOLOMON-MUA, Talei","van KEMPEN, Josephine Mary","van RUYSSEVELT, Robert","Total Valid Candidate Votes","Informal Candidate Votes"
"Glen Eden","Glen Eden Primary School, 3 Glenview Road",0,5,102,6,60,1,1,2,1,178,4
"Glendene","Glendene School, 60 Barrys Road",25,43,772,36,424,6,10,14,1,1331,20
,"Tirimoana School, 34 Kokiri Street",18,29,920,43,578,14,7,7,3,1619,18
"Henderson","Henderson High School, 31 Henderson Valley Road",0,7,119,7,71,0,1,3,0,208,0
,"Henderson North School, 14 Norval Road",19,13,369,16,240,4,5,4,7,677,9
,"Henderson Primary School, 13 Montel Avenue",2,10,260,9,138,4,6,6,1,436,4
,"Waitakere College, 42 Rathgar Road",22,32,764,25,438,7,8,18,5,1319,31
,"Western Heights School, 126 Sturges Road",2,0,52,3,30,0,0,1,0,88,0
"Kelston","Kelston Girls College, 1 Archibald Road",2,8,184,8,71,1,2,1,0,277,1
"Lincoln","Lincoln North Kindergarten, 47a Longburn Road",6,8,221,5,65,5,0,4,0,314,6
,"Pomaria Primary School, 33a Pomaria Road",21,37,571,35,320,5,25,19,2,1035,11
"Massey","Lincoln Heights School, 16 Keegan Drive",24,41,725,47,408,16,7,9,6,1283,21
,"Royal Road School, 112 Royal Road",21,66,842,64,668,12,8,12,5,1698,32
"Massey West","Don Buck School, 124 Don Buck Road",21,23,334,27,201,8,9,5,3,631,10
,"Massey High School, 274 Don Buck Road",21,35,569,37,424,10,8,5,5,1114,13
"Ranui","Birdwood School, 23 Karepo Crescent",4,4,48,0,10,1,0,0,0,67,2
"Royal Heights","Colwill School, Kintara Drive",5,36,416,30,477,9,3,3,1,980,13
"Sunnyvale","Kelston Community Centre, 126 Awaroa Road (corner Great North Road)",5,12,197,11,145,5,0,4,0,379,6
"Te Atatu Peninsula","Congregational Church of Samoa, 472-478 Te Atatu Road",7,25,246,16,223,7,7,5,1,537,4
,"Matipo Primary School, 63b Matipo Road",5,27,503,39,299,4,4,1,4,886,10
,"Peninsula Primary School, 22 Waipani Road",9,22,497,47,311,9,12,8,3,918,8
,"Rutherford Primary School, 7 Toru Street",6,26,483,29,276,9,11,9,2,851,12
,"Te Atatu Intermediate School, Harbour View Road",15,37,1051,47,807,14,12,13,12,2008,21
"Te Atatu South","Edmonton Primary School, corner School & Edmonton Roads",29,49,918,35,607,9,12,11,1,1671,34
,"Flanshaw Road School, 51 Flanshaw Road",30,40,867,44,586,13,12,12,7,1611,21
,"Freyberg Community School, 60 Roberts Road",12,37,717,29,511,9,10,9,8,1342,12
"West Harbour","West Harbour Alliance Church, 145 Moire Road",0,9,94,11,129,2,4,1,0,250,3
,"West Harbour Primary School, 74 Oriel Avenue",4,6,143,6,89,2,0,5,0,255,4
"Westgate","Massey Presbyterian Church, 510 Don Buck Road",6,26,216,15,245,6,9,8,1,532,3
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",4,1,311,7,149,3,6,11,2,494,24
,"Ordinary Votes BEFORE polling day",18,68,1101,71,990,20,18,15,5,2306,37
,"Special Votes BEFORE polling day",7,11,249,19,135,5,1,4,2,433,16
,"Special Votes On polling day",64,96,1469,159,903,22,27,28,5,2773,64
,"Overseas Special Votes including defence force",1,2,129,20,133,2,5,3,1,296,6
,"Te Atatu Total",435,891,16459,1003,11161,244,250,260,94,30797,480
,,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",31277
"Electorate Candidate Valid Votes","Party",,"CARTER, Chris Joseph - majority 5298"
"AH TONG, Fiasili Jackueline",New Zealand Pacific Party,435,.0141247524
"BELTOWSKI, Lech Andrzej",ACT New Zealand,891,.0289313894
"CARTER, Chris Joseph",Labour Party,16459,.5344351723
"GOLDIE, Xavier Heath",Green Party,1003,.0325681073
"HENARE, Raymond Tau",National Party,11161,.3624054291
"ROY, Pavitra Kumar",Jim Anderton's Progressive,244,.0079228496
"SOLOMON-MUA, Talei",United Future,250,.0081176738
"van KEMPEN, Josephine Mary",Kiwi Party,260,.0084423808
"van RUYSSEVELT, Robert",Alliance,94,.0030522453
