Electorate Candidate and Party Votes Recorded at Each Polling Place
"Rangitata 41","Candidate Vote Details"
,,"BLANCHARD, Julian Malcolm","BUNTING, Antony George Osmond","GOODHEW, Joanne Gay","McCAW, Peter Logan","TEW, Paul Regan","WARD, Brian James","Total Valid Candidate Votes","Informal Candidate Votes"
"Alford Forest","Alford Forest Hall, corner Highway 72 & Alford Forest Settlement Road",13,0,125,11,2,0,151,0
"Arowhenua","Arowhenua Maori School, 33 Huirapa Street",18,1,22,0,0,0,41,1
"Ashburton","Allenton School Hall, 110 Harrison Street",522,19,1313,59,51,14,1978,27
,"Ashburton College Auditorium, 27 Walnut Avenue",291,14,561,17,28,5,916,7
,"Ashburton Intermediate School, 144 Cass Street",570,18,758,37,59,8,1450,25
,"Hampstead School, 55 Wellington Street",493,14,477,19,35,7,1045,13
,"Sinclair Community Centre, 74 Park Street",262,9,605,17,17,21,931,13
,"St John Rooms,  241 Tancred Street",220,6,265,11,13,10,525,14
,"Tinwald Scout Den, Lagmhor Road",218,5,422,26,25,6,702,15
,"Tinwald St James Presbyterian Church Hall, corner Graham & Thomson Streets",385,10,828,33,38,9,1303,19
"Carew","Carew Peel Forest School, 1051 Ealing-Montalto Road",15,0,129,3,1,0,148,0
"Chertsey","Chertsey Primary School Library, 83 High Street",36,1,119,3,3,2,164,1
"Dorie","Dorie School, 103 Dorie School Road",14,0,83,1,3,0,101,0
"Fairton","Fairton School, 14 Fairfield Road",64,0,171,13,1,1,250,0
"Geraldine","Geraldine Primary School, 73 Wilson Street",9,1,30,0,0,0,40,0
"Greenstreet","Greenstreet-Ashburton Forks Hall, corner Ashburton-Staveley & Driscolls Roads",11,0,85,3,3,1,103,0
"Hinds","Hinds School, 54 Reed Street",51,5,242,11,2,2,313,2
"Laghmor","Laghmor Site, Ashburton Borough School, Tinwald-Westerfield-Mayfield Road",15,1,83,5,0,0,104,0
"Lauriston","Lauriston School, corner Church & Coleridge Streets",16,1,146,10,10,0,183,1
"Lowcliffe","Lowcliffe School, corner Emersons & Pyes Roads",28,1,93,6,1,0,129,0
"Mayfield","Mayfield School, 14 Lismore-Mayfield Road",42,4,240,21,5,2,314,1
"Methven","Mt Hutt College Hall, corner Main & McDonald Streets",247,13,727,60,8,2,1057,12
"Milford","Milford Hall, 563 Milford-Clandeboye Road",60,1,151,3,2,1,218,0
"Mt Somers","Mt Somers Springburn School, Ashburton Gorge Road",39,2,178,12,3,0,234,1
"Orari","Orari Coronation Hall, 8 McDonald Street",63,1,90,0,2,1,157,1
"Pendarves","Pendarves Hall, corner Christy's & Pendarves Rakaia Roads",11,1,110,7,1,0,130,0
"Pleasant Point","Pleasant Point Primary School, Victor Wilson Hall, 33 Halstead Road",307,27,759,12,17,3,1125,12
"Rakaia","Rakaia Community Centre, corner Elizabeth Avenue & Mackie Street",263,4,443,17,12,10,749,10
"Rangitata","Rangitata Soldiers Memorial Hall, State Highway 1",27,1,62,3,1,2,96,0
"Seadown","Seadown Hall, 729 Seadown Road",60,2,179,1,4,2,248,2
"Temuka","Opihi College, 83 Richard Pearse Drive",267,18,384,6,13,2,690,13
,"Presbyterian Church Complex, corner Hally Terrace & Wilmshurst Road",292,10,383,6,4,1,696,17
,"St John Ambulance Hall, 47 King Street",206,6,235,3,5,2,457,5
,"Temuka Primary School, 9 Hayhurst Street",268,9,259,9,4,1,550,7
"Timaru","Bluestone School, 46 Raymond Street",273,20,346,4,5,3,651,12
,"Caroline Bay Community Lounge, Virtue Avenue",148,8,146,0,4,2,308,8
,"CCS Disability Action, corner North & Victoria Streets",148,13,126,3,7,3,300,3
,"Gleniti School, 22 Heath Street",167,16,511,3,3,2,702,1
,"Grantlea Downs School, 65 Grants Road",314,21,301,4,4,10,654,7
,"Highfield School,  26 Rimu Street",234,9,312,4,4,1,564,8
,"Life Church, 134 Morgans Road",148,29,323,4,4,2,510,2
,"Methodist Church Hall, corner North Street & Woodlands Road",426,29,334,3,3,4,799,9
,"Oceanview Heights School, 241 Selwyn Street",687,40,554,8,6,5,1300,9
