Electorate Candidate and Party Votes Recorded at Each Polling Place
"Hamilton West 14","Candidate Vote Details"
,,"GALLAGHER, Martin Owen","MACINDOE, Timothy Harley","PARKER, Ian Donald","SMITH, Kenneth Wayne","STEVENS, Dale Moana","VATSYAYANN, Suresh Kumar","WIKIRIWHI, Timothy Denis","Total Valid Candidate Votes","Informal Candidate Votes"
"Cambridge","Cambridge Primary School, Wilson Street",1,5,1,1,0,0,0,8,1
"Chartwell","Hukanui School, corner Hukanui Road & Pickering Crescent",19,23,0,0,5,0,0,47,0
,"St Albans Church Hall, corner Comries Road & Belmont Avenue",15,16,0,0,3,0,0,34,0
"Claudelands","St Aidans Parish Hall, 24 Thames Street",24,18,1,0,5,0,0,48,0
"Deanwell","Deanwell School, Deanwell Avenue",588,378,16,12,28,8,2,1032,10
"Dinsdale","Aberdeen School, Aberdeen Drive",871,1141,32,11,64,7,9,2135,11
,"St Clare's Co-operating Parish Hall, 97 Tuhikaramea Road",269,307,17,5,37,2,1,638,5
"Forest Lake","Forest Lake School, Storey Avenue",492,619,21,10,49,4,5,1200,6
"Frankton","Frankton School Hall, Massey Street",898,725,26,13,73,8,8,1751,29
,"Rhode Street School, 7 Rhode Street",365,212,7,6,41,8,1,640,3
,"St Columba Parish Hall, Rifle Range Road",301,329,16,3,40,3,2,694,6
,"Westside Presbyterian Church Hall, 11 King Street",269,243,11,3,23,5,1,555,8
"Glenview","Glenview Primary School, Bruce Avenue",617,674,22,12,43,1,3,1372,6
"Hamilton East","Hamilton East Primary School, Dawson Street",16,13,1,0,8,0,0,38,2
,"Knox Presbyterian Hall, 50 Albert Street",13,20,0,0,4,0,0,37,0
,"Marian Catholic School, corner Firth & Clyde Streets",24,20,3,1,6,1,0,55,0
"Hamilton West","Hamilton West School, 36 Hammond Street",631,784,22,9,68,14,5,1533,13
,"Waikato Hospital, Pembroke Street, Level B5, main entrance foyer",132,108,6,0,16,2,2,266,4
"Hillcrest","Hillcrest Normal School, 218 Cambridge Road",22,19,0,0,3,0,0,44,2
,"Knighton Normal School, Knighton Road",16,11,0,1,3,0,1,32,0
"Koromatua","Koromatua School, 355 Koromatua Road",15,37,1,1,1,0,0,55,0
"Maeroa","Maeroa Intermediate School, 57 Churchill Avenue",379,338,17,7,39,3,1,784,0
"Melville","Melville Intermediate, 29 Mountview Road",252,242,8,1,24,2,1,530,8
,"Melville Methodist Church Hall, corner Bader Street & Normandy Avenue",611,393,28,7,43,5,3,1090,4
,"Melville Primary School, 101 Ohaupo Road",444,334,10,8,29,3,5,833,18
"Nawton","Crawshaw School, Crawshaw Drive",248,96,5,4,20,0,2,375,7
,"Hamilton's Fraser High School, 72 Ellicott Road",285,306,8,3,22,4,1,629,4
,"Nawton School, 58 Livingstone Avenue",643,460,17,5,41,2,3,1171,18
,"St Marks Hall, corner Dominion Road & Breckons Avenue",681,532,24,6,49,8,4,1304,16
"Pukete","Pukete School, 100 Pukete Road",436,676,18,14,52,5,8,1209,16
,"Te Rapa Primary School, 61 Ashurst Avenue",298,405,17,2,31,1,7,761,5
"Raglan","Raglan Town Hall, 41 Bow Street",18,11,0,0,5,0,0,34,1
"Rotokauri","Rotokauri School, 462 Rotokauri Road",114,401,15,4,19,0,0,553,4
"Rukuhia","Rukuhia School Hall, Rukuhia Road",8,25,5,0,3,0,0,41,0
"St Andrews","All Saints Hall, corner Cecil Street & Sandwich Road",433,765,17,4,39,4,4,1266,11
,"St Andrews Middle School, 90 Heath Street",310,370,6,7,24,5,1,723,6
,"Vardon School, 36 Cunningham Road",365,628,20,3,45,4,2,1067,9
"Te Kowhai","Te Kowhai School, 605 Horotiu Road",153,497,11,4,12,1,3,681,7
"Templeview","Church College of New Zealand (reception foyer), 435 Tuhikaramea Road",187,162,3,4,3,3,1,363,8
"Whatawhata","Whatawhata School, 9 Kura Street ",81,254,4,1,16,0,4,360,0
"Whitiora","Whitiora School, 38 Willoughby Street",319,387,6,2,37,7,3,761,4
,"Polling places where less than 6 votes were taken",4,3,0,0,0,0,0,7,0
,"Hospital Votes",112,107,0,1,5,3,0,228,17
,"Ordinary Votes BEFORE polling day",1311,1737,50,19,113,11,6,3247,24
,"Special Votes BEFORE polling day",157,147,4,2,14,0,3,327,10
,"Special Votes On polling day",968,1000,45,21,169,22,10,2235,43
,"Overseas Special Votes including defence force",130,185,2,1,15,1,0,334,1
,"Hamilton West Total",14545,16163,543,218,1389,157,112,33127,347
,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",33474
"Electorate Candidate Valid Votes","Party",,"MACINDOE, Timothy Harley - majority 1618"
"GALLAGHER, Martin Owen",Labour Party,14545,.4390678299
"MACINDOE, Timothy Harley",National Party,16163,.4879101639
"PARKER, Ian Donald",ACT New Zealand,543,.0163914632
"SMITH, Kenneth Wayne",United Future,218,.0065807347
"STEVENS, Dale Moana",Green Party,1389,.0419295439
"VATSYAYANN, Suresh Kumar",Independent,157,.0047393365
"WIKIRIWHI, Timothy Denis",Libertarianz,112,.0033809279
