Electorate Candidate and Party Votes Recorded at Each Polling Place
"Whangarei 61","Candidate Vote Details"
,,"ARMSTRONG, Moea","CHALMERS, William Paul","DONNELLY, Brian John","FORD, Anthony John","HEATLEY, Philip Reeve","HUGHES, Helen Kay","HUNT, Craig","NEWMAN, Muriel","SHEPHERD, Vivienne Mary","TAWHIAO, Rangi Ngati Huna","Total Valid Candidate Votes","Informal Candidate Votes"
,"Northland Polytechnic, Raumanga Valley Road",10,131,34,2,125,0,2,4,2,12,322,2
"Ruakaka","Bream Bay College, Marsden Pt Rd",29,207,51,3,301,4,5,5,7,9,621,5
,"Ruakaka Reserve Camp Hall, 21 Ruakaka Beach Rd",7,101,31,0,166,1,4,7,3,0,320,2
"Ruatangata","Ruatangata Hall, Ruatangata Rd",3,53,16,0,196,0,2,9,2,0,281,0
"Springs Flat","Alive Christian Fellowship, 55 Great North Rd",7,39,19,0,130,1,1,3,0,1,201,1
"Tamaterau","Tamaterau Hall, Whangarei Heads Rd",10,90,22,0,241,5,2,15,1,1,387,0
"Tauraroa","Tauraroa Area School, Omana Rd",1,23,16,0,93,0,3,3,0,0,139,0
"Tikipunga","Tikipunga Community Centre, 83 Paramount Parade",19,316,72,4,441,0,3,18,17,10,900,7
,"Tikipunga High School, Corks Rd",29,227,76,7,308,3,3,25,12,18,708,3
,"Trinity Uniting Church, Kiripaka Road",25,298,81,8,463,1,7,30,10,8,931,7
"Waipu","Waipu Hall, The Centre",62,280,111,4,609,2,8,18,12,5,1111,4
"Whangarei","Allen Motors Northland, Reyburn Street",18,139,52,5,385,3,2,32,4,6,646,3
,"Northland Disability Resource Centre, 40 John St",14,62,12,1,92,0,1,3,4,4,193,2
,"Regent Training Classrooms, Maunu Rd",18,137,46,4,211,0,1,10,3,6,436,3
,"Te Renga Paraoa Marae, Porowini Avenue",10,66,14,2,102,0,0,3,1,9,207,3
,"Whangarei Intermediate, Rust Avenue",36,318,105,6,454,3,1,37,8,5,973,15
"Whangarei Heads","McLeod Bay Hall, Stewart Rd",39,164,44,3,241,7,4,22,3,3,530,4
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",5,117,51,0,118,0,4,8,8,3,314,12
,"Ordinary Votes BEFORE polling day",47,436,118,11,1120,1,5,72,18,11,1839,5
,"Special Votes BEFORE polling day",9,74,46,1,170,0,1,3,1,4,309,4
,"Special Votes On polling day",131,530,157,23,1005,11,15,62,9,42,1985,16
,"Overseas Special Votes including defence force",17,69,16,1,142,2,0,12,3,2,264,1
,"Whangarei Total",1240,9811,2983,178,18900,80,168,1067,311,384,35122,243
,,,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",35365
"Electorate Candidate Valid Votes","Party",,"HEATLEY, Philip Reeve - majority 9089"
"ARMSTRONG, Moea",Green Party,1240,.0353055065
"CHALMERS, William Paul",Labour Party,9811,.2793405842
"DONNELLY, Brian John",New Zealand First Party,2983,.0849325209
"FORD, Anthony John",Destiny New Zealand,178,.0050680485
"HEATLEY, Philip Reeve",National Party,18900,.5381242526
"HUGHES, Helen Kay",Libertarianz,80,.0022777746
"HUNT, Craig",United Future New Zealand,168,.0047833267
"NEWMAN, Muriel",ACT New Zealand,1067,.0303798189
"SHEPHERD, Vivienne Mary",Jim Anderton's Progressive,311,.0088548488
"TAWHIAO, Rangi Ngati Huna",Mâori Party,384,.0109333181
