Electorate Candidate and Party Votes Recorded at Each Polling Place
"Waitakere 57","Candidate Vote Details"
,,"BARAL, Hannah Pia","BENNETT, Paula Lee","CLENDON, David James","COVICH, Alona","ETHELL, Sandra Margaret","GREEN, Stanley Christopher","JOE, Charles","PARKYN, David","PILLAY, Barbara Lynne","RIDDELL, John Godfrey","STEWART, Brendan John","ULBERG, John Frank","Total Valid Candidate Votes","Informal Candidate Votes"
"Piha","Barnett Hall, Marine Parade",1,115,56,0,1,0,6,1,219,3,10,0,412,3
"Ranui","Birdwood School, Karepo Crescent",24,120,25,1,4,10,6,10,425,8,18,7,658,7
,"Ranui School, 16A Ranui Station Road",64,323,59,3,3,32,31,16,1121,24,76,8,1760,13
"Sunnyvale","Sunnyvale Community Hall, 18 Sunnyside Road",10,51,13,1,0,5,4,1,127,6,4,0,222,4
,"Sunnyvale Primary School, 34 Ribblesdale Road",0,18,5,1,0,3,1,1,52,2,7,0,90,0
"Swanson","Swanson School Hall, 703 Swanson Road",74,745,111,4,4,14,25,14,664,30,99,2,1786,9
"Titirangi","Kaurilands School Hall, Atkinson Road",57,797,105,9,2,11,7,12,724,14,51,2,1791,8
,"Konini School Hall, Withers Road",14,170,45,3,0,7,1,4,235,12,20,0,511,2
,"MacAndrew Hall, 337 Titirangi Road",8,169,38,1,2,0,0,7,144,3,14,0,386,1
,"Titirangi Primary School Hall, Atkinson Road",7,75,25,0,0,0,0,1,75,2,7,0,192,0
"Waiatarua","Waiatarua Community Hall, 911 West Coast Road",10,180,45,0,0,1,7,1,170,13,7,0,434,1
"Waitakere","Waitakere School, Bethells Road",17,242,38,0,2,3,3,5,194,13,38,1,556,5
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",2,43,1,1,0,1,0,1,81,5,15,0,150,9
,"Ordinary Votes BEFORE polling day",75,721,70,3,3,16,17,12,817,13,66,4,1817,15
,"Special Votes BEFORE polling day",5,94,18,0,0,1,3,4,163,5,12,1,306,6
,"Special Votes On polling day",78,635,260,5,10,45,22,23,1255,37,84,14,2468,33
,"Overseas Special Votes including defence force",5,78,16,0,0,2,1,2,129,2,10,0,245,3
,"Waitakere Total",1035,10383,1709,79,62,394,272,293,15325,416,1354,74,31396,271
