Electorate Candidate Votes Recorded at Each Voting Place
"Manukau East 24","Candidate Vote Details"
,,"BAKSHI, Kanwaljit Singh","LOLE-TAYLOR, Asenati","PERINPANAYAGAM, Umesh","SALESA, Jennifer Teresia","TAUKOLO, Vili Mahe","TRINDER, Joseph Meihana","VERMUNT, Annalucia","Total Valid Candidate Votes","Informal Candidate Votes"
"Chapel Downs","Chapel Downs Primary School, 170 Dawson Road",6,2,1,20,2,0,0,31,1
"Favona","Koru School, 71 Robertson Road",1,0,0,4,0,0,0,5,1
"Flat Bush","Dawson Road Primary School, 15 Haumia Way",5,3,0,57,1,0,0,66,1
,"Kia Aroha College, 51 Othello Drive",3,7,1,25,2,0,0,38,1
"Mangere","Robertson Road School, 205 Robertson Road",2,2,2,18,0,0,0,24,0
"Mangere East","De La Salle College, 81 Gray Avenue",5,5,0,21,0,0,0,31,1
,"Kingsford School, 54 Raglan Street",1,0,1,10,1,1,0,14,0
,"Mangere East Primary School, 21 Yates Road",4,1,1,20,1,1,0,28,0
,"Selwyn Anglican Church Hall, corner Massey Road & Hain Avenue",3,1,1,14,1,0,0,20,0
,"Sutton Park School, 89 Vine Street",0,0,1,10,0,0,0,11,1
"Manukau","Redoubt North Wesleyan Church, 51 Diorella Drive ",6,1,1,19,3,1,0,31,2
"Otahuhu","Fairburn School, 10 Pukeora Road",103,23,8,342,11,3,0,490,15
,"McAuley High School, 26 High Street",124,74,22,629,36,6,1,892,19
,"Middlemore Hospital, Hospital Road",11,3,2,43,0,0,0,59,0
,"Otahuhu College, 74-78 Mangere Road",72,42,10,236,6,7,0,373,10
,"Otahuhu Intermediate School, 22-24 Luke Street",84,37,19,388,8,7,0,543,16
,"Otahuhu Primary School, 41 Station Road",77,47,16,345,10,15,1,511,18
,"Panama Road School, 139 Panama Road",1,2,3,12,0,0,0,18,0
"Otara","Bairds Mainfreight Primary School, 12 Edward Avenue",10,24,3,329,3,8,1,378,8
,"East Tamaki Primary School, 196 Preston Road",13,25,3,206,5,3,1,256,4
,"Ferguson Intermediate School, 20-40 Ferguson Road",22,60,14,554,8,7,0,665,4
,"Flat Bush School, 20 Flat Bush Road",10,23,6,313,9,5,0,366,6
,"Mayfield School, 12 Pearl Baker Drive",13,52,5,497,9,6,0,582,9
,"Otara Leisure Centre, Seminar Room, 115 Bairds Road ",14,22,9,245,3,2,0,295,5
,"Sir Edmund Hillary Collegiate, 67 Otara Road",4,19,1,423,1,8,1,457,6
,"Wymondley Road School, 77 Wymondley Road",6,26,6,211,1,2,0,252,6
,"Yendarra School, 226 Bairds Road",7,20,6,254,3,2,0,292,2
"Papatoetoe","Aorere College, 6-8 Selfs Road",34,19,8,176,1,2,0,240,7
,"Holy Cross Church Hall, corner Fairview & Carruth Roads",242,77,34,637,28,6,4,1028,36
,"Hunters Plaza Shopping Centre, Shop 24, Great South Road",159,17,18,293,3,4,3,497,32
,"Kedgley Intermediate School, 181 Portage Road",16,4,3,58,0,0,0,81,0
,"Omana Kindergarten, 42 Omana Avenue",155,34,11,249,26,2,2,479,14
,"Papatoetoe Central Primary School, corner Great South Road & Saint George Street",182,35,24,363,11,3,5,623,12
,"Papatoetoe East Primary School, 138 Tui Road",217,58,32,504,20,7,0,838,31
,"Papatoetoe High School, 19 Nicholson Avenue",190,25,12,346,9,4,0,586,12
,"Papatoetoe Intermediate School, 175 Motatau Road",192,49,23,348,7,6,3,628,7
,"Papatoetoe South School, 60 Milan Road (Kenderdine Road entrance)",146,47,26,489,17,2,1,728,14
,"Papatoetoe West School, 1-3 Hillcrest Road",132,58,15,568,5,9,1,788,8
,"Puhinui Primary School Hall, 116 Puhinui Road",83,34,10,266,14,5,0,412,6
,"Puhinui Scout Hall, York Road",72,20,6,148,4,1,0,251,10
,"Wesley Methodist Church Hall, 37 Kolmar Road",109,35,11,176,9,4,2,346,12
,"Whitehaven Pensioners Flats Hall, 146 Kolmar Road",63,11,4,126,7,3,0,214,6
,"Voting places where less than 6 votes were taken",0,1,0,4,0,0,0,5,0
,"Ordinary Votes BEFORE polling day",1344,613,173,5252,139,67,16,7604,153
,"Special Votes BEFORE polling day",167,57,38,930,28,26,0,1246,28
,"Special Votes On polling day",297,121,77,1423,43,24,0,1985,51
,"Overseas Special Votes including Defence Force",15,11,8,75,2,0,1,112,1
,"Manukau East Total",4422,1847,675,17676,497,259,43,25419,576
,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",25995
"Electorate Candidate Valid Votes","Party",,"SALESA, Jennifer Teresia - majority 13254"
"BAKSHI, Kanwaljit Singh",National Party,4422,.1739643574
"LOLE-TAYLOR, Asenati",New Zealand First Party,1847,.0726621818
"PERINPANAYAGAM, Umesh",Green Party,675,.0265549392
"SALESA, Jennifer Teresia",Labour Party,17676,.6953853417
"TAUKOLO, Vili Mahe",Conservative,497,.0195523034
"TRINDER, Joseph Meihana",MANA Movement,259,.0101892285
"VERMUNT, Annalucia",Communist League,43,.001691648
