Electorate Candidate and Party Votes Recorded at Each Polling Place
"Palmerston North 38","Candidate Vote Details"
,,"CHATHA, Arshad Mahmood","DITTMER, Kevin John","LEES-GALLOWAY, Iain Francis","LUCAS, Debbie Ann","O'HALLORAN, Lawrence John","ODERING, Graham Edward","OWEN, Francis Charles Trainor","PLIMMER, Malcolm Ross","SETON, Grant Roderick","Total Valid Candidate Votes","Informal Candidate Votes"
"Aokautere","Aokautere School Hall, 196 Fitzherbert East Road",0,0,6,0,4,1,0,7,0,18,0
"Ashhurst","Ashhurst School Hall, 96 Cambridge Avenue",0,1,11,1,4,0,0,12,0,29,1
"Bulls","Clifton School, Clifton Street",0,0,3,0,0,0,1,3,0,7,0
"Feilding","Industrial, Agricultural & Pastoral Association Hall, Rata Street",0,0,5,0,2,0,0,10,1,18,0
,"Manchester St School, 160 Manchester Street",0,0,5,0,1,0,0,7,0,13,0
"Linton Camp","Community Centre, Puttick Road",0,2,7,0,1,2,1,13,0,26,0
"Palmerston North","Awapuni Community Centre, 22 Newbury Street",2,5,200,3,4,7,8,115,1,345,4
,"Awapuni School Hall, 18 Rochester Street",2,10,590,10,31,32,11,388,2,1076,12
,"Central Normal School Hall, 210 Featherston Street",2,15,599,16,81,15,9,480,13,1230,13
,"Cloverlea School Hall, 55 Herbert Avenue",2,15,456,6,30,17,5,364,3,898,4
,"College Street Normal School Hall, 402 College Street",0,8,485,6,67,15,6,565,4,1156,7
,"Cornerstone Christian School, 61 Roberts Line",2,15,382,6,19,22,9,651,2,1108,10
,"Emmanuel Congregational Church Hall, 43 Victoria Avenue",1,10,146,2,17,7,5,160,0,348,2
,"Hokowhitu School Hall, 227 Albert Street",1,14,480,6,42,13,3,702,2,1263,11
,"IHC Day Base, 153 Cook Street",0,7,212,2,19,1,4,136,3,384,2
,"Intermediate Normal School Performing Arts Centre, 31 South Street",5,7,319,6,34,15,5,284,3,678,7
,"Kelvin Grove Community Centre, 68 Kaimanawa Street",3,16,416,3,41,6,8,318,2,813,6
,"Massey University, Student Centre Lounge, Concourse, University Drive",4,4,80,0,16,2,1,83,7,197,0
,"Metlifecare Retirement Village Lounge, corner Carroll & Fitchett Streets",1,3,144,1,22,6,4,140,0,321,1
,"Milson School Hall, 5 Rutland Place",3,25,737,16,63,41,10,714,6,1615,9
,"Monrad Intermediate School Hall, 228 Botanical Road",2,8,275,8,22,12,6,192,3,528,6
,"Olive Tree Village Community Centre, 13 Olive Grove",0,6,160,2,15,8,6,220,0,417,1
,"Palmerston North Girls' High School Hall, Huia Street",1,10,229,1,21,5,6,262,0,535,3
,"Palmerston North Senior Citizens Hall, 323-325 Main Street",1,11,168,1,18,6,1,152,1,359,1
,"Parkland School Library, 41 Parkland Crescent",1,13,428,6,29,15,8,356,2,858,12
,"Public Hospital Education Centre, Gate 12, 50 Ruahine Street",1,5,159,2,15,6,3,124,0,315,4
,"Queen Elizabeth College Hall, 350-382 Rangitikei Street",1,3,136,6,18,10,1,126,1,302,2
,"Rangiora Community Centre, 98-102 Rangiora Avenue",0,2,397,8,19,24,2,138,2,592,4
,"Riverdale School Hall, 95 Slacks Road",3,13,561,5,45,34,14,561,3,1239,4
,"Roslyn School Hall, 38 Kipling Street",1,19,450,7,30,24,6,335,1,873,9
,"Ross Intermediate School Hall, 25 Freyberg Street",0,2,132,5,9,5,1,116,3,273,1
,"Russell Street School Hall, 19-31 Russell Street",2,10,478,6,47,9,5,460,2,1019,7
,"Ryder-Cheshire Centre, 114 Te Awe Awe Street",1,4,165,2,13,3,5,282,1,476,7
,"Salvation Army Hall, 431 Church Street",0,7,163,1,17,6,5,175,1,375,2
,"Somerset Crescent School Hall, 45 Somerset Crescent",0,5,311,6,15,8,5,209,2,561,3
,"St David's Church Hall, 9 Rainforth Street",0,10,240,1,25,6,9,252,1,544,5
,"St James' School Community Hall, 304 Albert Street",3,6,352,6,31,11,10,485,1,905,13
,"St Luke's Lutheran Church Hall, corner Church & McGifford Streets",1,2,149,1,19,6,1,102,2,283,4
,"St Michael's Church Hall, 52 Pembroke Street",1,1,260,2,17,19,0,99,1,400,7
,"St Oswald's Church Hall, corner Featherston & Kingswood Streets",1,6,349,12,29,10,2,227,2,638,16
,"St Peter's College, Gym-Classroom, 22-38 Rennie Avenue",1,9,315,4,19,13,1,365,6,733,10
,"Summerset Retirement Village, 166-186 Ruapehu Drive",0,0,8,0,2,1,0,23,0,34,1
,"Takaro School Hall, 24 Brighton Crescent",1,2,217,2,22,10,7,110,1,372,2
,"Terrace End School Hall, 183-209 Ruahine Street",2,14,583,11,60,32,8,408,3,1121,12
,"West End School Hall, 395-427 Botanical Road",5,21,590,11,56,32,10,527,1,1253,9
,"Westbrook Community Centre, 21 Havelock Avenue",1,4,364,8,14,15,5,198,3,612,11
,"Winchester School Hall, 552 Ruahine Street",4,8,363,5,31,6,9,436,1,863,12
"Pohangina","Pohangina Public Hall, Pohangina Road",0,0,6,0,1,0,0,0,0,7,0
"Whakarongo","Whakarongo Community Hall, 17 Stoney Creek Road",0,2,29,1,6,1,0,85,0,124,1
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",1,3,207,9,9,20,1,182,2,434,10
,"Ordinary Votes BEFORE polling day",4,17,1164,10,112,43,12,1266,4,2632,17
,"Special Votes BEFORE polling day",1,1,168,7,21,13,3,168,2,384,7
,"Special Votes On polling day",6,36,902,16,169,38,14,835,3,2019,34
,"Overseas Special Votes including defence force",0,3,216,5,35,5,3,232,3,502,15
,"Palmerston North Total",74,420,15977,261,1509,658,259,14860,107,34125,341
,,,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",34466
"Electorate Candidate Valid Votes","Party",,"LEES-GALLOWAY, Iain Francis - majority 1117"
"CHATHA, Arshad Mahmood",Independent,74,.0021684982
"DITTMER, Kevin John",ACT New Zealand,420,.0123076923
"LEES-GALLOWAY, Iain Francis",Labour Party,15977,.4681904762
"LUCAS, Debbie Ann",Jim Anderton's Progressive,261,.0076483516
"O'HALLORAN, Lawrence John",Green Party,1509,.0442197802
"ODERING, Graham Edward",New Zealand First Party,658,.0192820513
"OWEN, Francis Charles Trainor",United Future,259,.0075897436
"PLIMMER, Malcolm Ross",National Party,14860,.4354578755
"SETON, Grant Roderick",Independent,107,.0031355311
