Electorate Candidate and Party Votes Recorded at Each Polling Place
"Nelson 29","Candidate Vote Details"
,,"BARLOW, Aaryn","GARDENER, Kevin James","HUFFLETT, Paul Charles","SMITH, Nicolas Rex","STEVENS, Douglas Roy","STREET, Maryan","VITALI, Oliver Ludovic","Total Valid Candidate Votes","Informal Candidate Votes"
"Appleby ","Appleby School, 19 Moutere Highway, RD1",12,1,0,78,2,25,0,118,3
"Atawhai","Clifton Terrace School Hall, 888 Atawhai Drive",117,13,8,665,3,376,15,1197,23
"Brightwater","Brightwater School, 106 Ellis Street",57,20,6,576,5,187,13,864,17
"Hira","Hira School, State Highway 6",43,3,3,108,1,101,10,269,3
"Hope","Hope School, 316 Paton Road",60,4,3,405,6,105,16,599,13
"Nelson","Athletics Nelson Club Rooms, Pioneer Park, Hastings Street",102,9,2,341,11,312,17,794,15
,"Auckland Point School, 111 Haven Road",136,18,7,464,6,320,10,961,10
,"Court House, 200 Bridge Street",176,21,1,658,5,518,30,1409,26
,"Hampden Street School, 250 Hampden Street",139,18,11,496,6,355,14,1039,10
,"Masonic Hall, 109 Nile Street",195,29,11,616,4,603,26,1484,18
,"Nelson Intermediate School, 112 Tipahi Street",66,12,1,224,0,275,11,589,11
,"Salvation Army Hall, 57 Rutherford Street",72,9,1,178,2,177,7,446,6
,"Trafalgar Street Hall, 67 Trafalgar Street",86,10,5,346,3,254,8,712,12
,"Victory School Community Centre, Totara Street",166,33,4,373,7,718,19,1320,48
"Richmond","Garin College, 35 Champion Road",64,11,3,825,10,212,23,1148,5
,"Richmond Athletic Soccer Club Room, Gladstone Road",31,8,0,244,5,87,6,381,8
,"Richmond School Community Hall, 14 Cambridge Street",85,33,4,709,14,393,27,1265,28
,"Tasman District Council Office, 189 Queen Street",107,42,6,1034,10,478,56,1733,49
,"Waimea Intermediate School, 48 Salisbury Road",64,15,4,632,6,285,18,1024,17
"Stoke","Birchwood School, 15 Durham Street",42,14,7,406,4,203,16,692,6
,"Broadgreen Intermediate School, 193 Nayland Road",118,41,8,1081,12,625,34,1919,32
,"Stoke Memorial Hall, 548 Main Road",124,42,8,909,10,553,29,1675,38
,"Stoke School, 601 Main Road",81,34,3,873,12,525,32,1560,40
"Tahunanui","Church of Christ Hall, 29 Parkers Road",52,18,3,314,2,271,24,684,13
,"Nightingale Library Memorial, 2 Beach Road",49,7,0,180,3,105,4,348,8
,"Tahunanui School, 69 Muritai Street",138,23,4,608,8,431,16,1228,30
"Wakapuaka","Wakapuaka Hall, State Highway 6",40,8,4,142,1,101,1,297,3
"Wakatu","Enner Glynn School, 10 The Ridgeway",83,12,3,552,2,290,12,954,12
"Wakefield","Wakefield School, Edward Street",5,1,0,17,0,16,0,39,3
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0
,"Ordinary Votes BEFORE polling day - Taken in Nelson",349,107,35,3034,30,1544,78,5177,132
,"Special Votes BEFORE polling day",84,21,3,267,1,161,7,544,13
,"Special Votes On polling day",282,30,7,883,9,591,20,1822,39
,"Overseas Special Votes including Defence Force",51,2,6,122,4,75,2,262,1
,"Nelson Total",3276,669,171,18360,204,11272,601,34553,692
,,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",35245
"Electorate Candidate Valid Votes","Party",,"SMITH, Nicolas Rex - majority 7088"
"BARLOW, Aaryn",Green Party,3276,.0948108703
"GARDENER, Kevin James",New Zealand First Party,669,.0193615605
"HUFFLETT, Paul Charles",ACT New Zealand,171,.0049489191
"SMITH, Nicolas Rex",National Party,18360,.5313576245
"STEVENS, Douglas Roy",United Future,204,.0059039736
"STREET, Maryan",Labour Party,11272,.3262234828
"VITALI, Oliver Ludovic",Conservative Party,601,.0173935693
