Electorate Candidate and Party Votes Recorded at Each Polling Place
"Port Hills 40","Candidate Vote Details"
,,"BURSTON, Joseph Daniel","CARTER, David Cunningham","DYSON, Ruth Suzanne","O'ROURKE, Denis John","RUSSELL, Geoffrey Neil","Total Valid Candidate Votes","Informal Candidate Votes"
,"Ordinary Votes BEFORE polling day - Taken in Wigram",101,458,443,12,8,1022,10
,"Special Votes BEFORE polling day",64,290,310,16,4,684,9
,"Special Votes On polling day",410,1101,1201,42,20,2774,53
,"Overseas Special Votes including Defence Force",50,116,164,1,1,332,1
,"Port Hills Total",3252,12640,15737,697,179,32505,542
,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",33047
"Electorate Candidate Valid Votes","Party",,"DYSON, Ruth Suzanne - majority 3097"
"BURSTON, Joseph Daniel",Green Party,3252,.1000461467
"CARTER, David Cunningham",National Party,12640,.3888632518
"DYSON, Ruth Suzanne",Labour Party,15737,.4841409014
"O'ROURKE, Denis John",New Zealand First Party,697,.0214428549
"RUSSELL, Geoffrey Neil",ACT New Zealand,179,.0055068451
