62 Whangarei,Total Party Votes,"GRIEVE, Robin (ACT New Zealand)","CRAIG, Ross (Conservative Party)","GOODHUE, Edgar Kenneth (Democrats for Social Credit)","BAZELEY, Rick (Green Party)","NEWMAN, Pat (Labour Party)","HUGHES, Helen (Libertarianz)","HEATLEY, Phil (National Party)","PARAONE, Pita (New Zealand First Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    596, 18.62,  1.85,  0.50,  0.50,  2.85,  1.01, 72.48,  1.01,  0.84,  0.34,100.00 
Alliance,     14,  0.00, 14.29,  0.00, 35.71, 21.43,  0.00, 21.43,  7.14,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    184,  1.09,  4.35,  2.72, 34.24, 15.22,  3.26, 25.00,  6.52,  5.98,  1.63,100.00 
Conservative Party,   1457,  0.34, 44.47,  0.55,  1.17,  6.11,  0.14, 44.41,  1.03,  1.30,  0.48,100.00 
Democrats for Social Credit,     84,  0.00,  3.57, 58.33,  1.19,  8.33,  1.19, 22.62,  0.00,  4.76,  0.00,100.00 
Green Party,   3673,  0.33,  1.03,  0.44, 47.26, 26.90,  0.33, 20.83,  1.03,  1.03,  0.82,100.00 
Labour Party,   7017,  0.36,  1.01,  0.17,  9.26, 73.29,  0.21,  9.51,  2.44,  2.41,  1.34,100.00 
Libertarianz,     31,  0.00,  0.00,  3.23,  0.00,  6.45, 64.52, 19.35,  0.00,  6.45,  0.00,100.00 
Mana,    238,  0.84,  0.84,  0.42, 21.85, 34.87,  0.84, 10.50, 10.08,  9.66, 10.08,100.00 
Māori Party,    212,  0.94,  2.36,  0.94, 15.57, 16.51,  0.00, 48.11,  7.55,  3.30,  4.72,100.00 
National Party,  17486,  0.90,  1.03,  0.07,  1.46,  1.09,  0.12, 93.25,  0.38,  1.30,  0.41,100.00 
New Zealand First Party,   3340,  0.57,  4.82,  0.96,  4.67, 28.11,  0.33, 23.26, 34.31,  2.28,  0.69,100.00 
United Future,    180,  1.11,  5.56,  0.00,  6.67,  9.44,  0.00, 72.22,  1.67,  2.78,  0.56,100.00 
Informal Party Votes,    287,  0.35,  2.44,  0.35,  3.48, 21.25,  0.35, 43.21,  4.88, 23.34,  0.35,100.00 
Total Party Votes and Percentages,  34799,  0.97,  3.29,  0.41,  8.60, 21.85,  0.28, 57.61,  4.34,  1.88,  0.76,100.00 
