11 East Coast Bays,Total Party Votes,"CHEEL, Tricia (Ban1080)","CRAIG, Colin (Conservative)","MOORE, Teresa (Green Party)","MILNER-WHITE, Greg (Labour Party)","McCULLY, Murray (National Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    580,  1.21, 10.52,  3.79,  7.24, 70.00,  4.83,  2.41,100.00 
Aotearoa Legalise Cannabis Party,     95, 11.58,  5.26, 31.58,  9.47, 38.95,  2.11,  1.05,100.00 
Ban1080,     47, 53.19, 10.64, 12.77,  2.13, 19.15,  0.00,  2.13,100.00 
Conservative,   2210,  0.09, 73.89,  0.81,  0.90, 22.53,  0.41,  1.36,100.00 
Democrats for Social Credit,     17, 11.76, 41.18, 17.65,  0.00, 23.53,  5.88,  0.00,100.00 
Focus New Zealand,      3,  0.00,  0.00, 33.33, 33.33, 33.33,  0.00,  0.00,100.00 
Green Party,   2712,  1.29,  3.98, 58.78, 16.26, 17.26,  0.70,  1.73,100.00 
Internet MANA,    222,  2.70, 12.61, 35.14, 26.13, 18.92,  1.80,  2.70,100.00 
Labour Party,   4005,  0.70,  6.59, 14.06, 66.67,  8.91,  0.95,  2.12,100.00 
Māori Party,    125,  2.40,  6.40, 16.80, 13.60, 49.60,  1.60,  9.60,100.00 
National Party,  20895,  0.28, 11.01,  2.65,  0.86, 83.39,  0.57,  1.24,100.00 
New Zealand First Party,   1964,  2.49, 24.13, 15.38, 23.57, 29.63,  3.41,  1.37,100.00 
NZ Independent Coalition,      4,  0.00, 25.00,  0.00, 25.00, 50.00,  0.00,  0.00,100.00 
The Civilian Party,     20,  5.00,  0.00, 35.00, 10.00, 50.00,  0.00,  0.00,100.00 
United Future,     69,  1.45, 28.99,  8.70,  5.80, 52.17,  1.45,  1.45,100.00 
Informal Party Votes,     73,  1.37, 10.96,  1.37,  9.59, 26.03, 50.68,  0.00,100.00 
Total Party Votes and Percentages,  33041,  0.69, 14.90,  9.70, 11.85, 60.40,  0.99,  1.46,100.00 
