34 Northcote,"DAWSON, Dianne (ACT New Zealand)","HESLOP, Nigel Ian (Destiny New Zealand)","GILLON, Grant (Jim Anderton's Progressive)","HARTLEY, Ann (Labour Party)","LINTON, Peter John (Libertarianz)","WAAKA, Frances (Mâori Party)","COLEMAN, Jonathan (National Party)","MANNING, Paul Trevor (New Zealand First Party)","STONE, Beth (United Future New Zealand)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party,  0.00,  0.00,  0.00, 20.00, 10.00,  0.00, 40.00,  0.00, 10.00, 10.00, 10.00,100.00 
ACT New Zealand, 19.98,  0.00,  0.65,  9.99,  0.22,  0.22, 66.88,  0.00,  0.33,  1.30,  0.43,100.00 
Alliance,  0.00,  0.00, 27.27, 36.36, 18.18,  0.00,  9.09,  0.00,  0.00,  0.00,  9.09,100.00 
Aotearoa Legalise Cannabis Party,  1.37,  1.37,  2.74, 49.32,  1.37,  5.48, 26.03,  2.74,  1.37,  5.48,  2.74,100.00 
Christian Heritage NZ,  0.00, 15.38,  5.13, 12.82,  2.56,  0.00, 48.72,  2.56,  7.69,  5.13,  0.00,100.00 
Democrats for Social Credit,  0.00,  0.00, 37.50,  0.00, 25.00,  0.00, 12.50, 12.50, 12.50,  0.00,  0.00,100.00 
Destiny New Zealand,  0.00, 71.28,  0.00,  8.72,  0.00,  0.00, 16.92,  0.51,  0.51,  1.03,  1.03,100.00 
Direct Democracy Party,  0.00,  7.14,  7.14, 35.71, 14.29, 14.29,  7.14,  0.00,  0.00, 14.29,  0.00,100.00 
Green Party,  0.51,  0.23,  3.40, 76.57,  0.28,  1.76, 12.37,  1.42,  0.96,  1.36,  1.13,100.00 
Jim Anderton's Progressive,  0.23,  0.23, 33.80, 51.88,  0.23,  0.00, 12.21,  0.70,  0.23,  0.23,  0.23,100.00 
Labour Party,  0.57,  0.21,  2.06, 86.19,  0.06,  0.82,  6.62,  1.01,  0.46,  0.69,  1.33,100.00 
Libertarianz,  0.00,  0.00,  8.00, 12.00, 60.00,  0.00, 16.00,  4.00,  0.00,  0.00,  0.00,100.00 
Mâori Party,  0.00,  0.69,  1.38, 31.72,  0.69, 38.62, 12.41,  0.69,  2.76,  1.38,  9.66,100.00 
National Party,  0.98,  0.36,  0.31,  3.02,  0.05,  0.07, 92.35,  0.79,  0.78,  0.50,  0.77,100.00 
New Zealand Family Rights Protection Party,  0.00,  0.00,  0.00, 25.00, 12.50,  0.00, 12.50,  0.00, 12.50, 12.50, 25.00,100.00 
New Zealand First Party,  0.40,  0.75,  2.65, 21.26,  0.17,  0.52, 40.73, 30.82,  0.46,  1.09,  1.15,100.00 
OneNZ Party,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00,  0.00,  0.00,  0.00,  0.00,100.00 
The Republic of New Zealand Party,  0.00, 33.33,  0.00, 33.33,  0.00,  0.00, 33.33,  0.00,  0.00,  0.00,  0.00,100.00 
United Future New Zealand,  0.97,  2.18,  1.69, 17.07,  0.12,  0.12, 55.33,  0.85, 20.46,  0.48,  0.73,100.00 
Informal Party Votes,  0.98,  0.00,  0.00, 27.45,  0.98,  0.00, 14.71,  0.98,  0.00, 52.94,  1.96,100.00 
Overall Percentage,  1.25,  0.77,  1.76, 41.57,  0.16,  0.65, 48.42,  2.39,  1.12,  0.86,  1.06,100.00 
