65 Tamaki Makaurau,"HEMAHEMA-TAMATI, Tauwehe (Destiny New Zealand)","OPAI, Eugene (Direct Democracy Party)","TAMIHERE, John (Labour Party)","SHARPLES, Pita Russell (Mâori Party)","REREKURA, Sam (Independent)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party,  0.00,  0.00, 22.22, 77.78,  0.00,  0.00,  0.00,100.00 
ACT New Zealand,  0.00,  4.76, 45.24, 33.33,  4.76,  9.52,  2.38,100.00 
Alliance, 23.08,  0.00, 46.15, 30.77,  0.00,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,  1.42,  1.42, 41.84, 39.72,  4.96,  2.84,  7.80,100.00 
Christian Heritage NZ, 42.86,  0.00, 21.43,  7.14, 14.29,  7.14,  7.14,100.00 
Democrats for Social Credit,  0.00,  0.00,100.00,  0.00,  0.00,  0.00,  0.00,100.00 
Destiny New Zealand, 85.00,  0.00,  3.65,  8.65,  0.58,  0.38,  1.73,100.00 
Direct Democracy Party,  0.00, 61.11,  0.00, 27.78,  0.00,  0.00, 11.11,100.00 
Green Party,  0.46,  0.61, 38.34, 53.37,  4.45,  0.92,  1.84,100.00 
Jim Anderton's Progressive,  1.49,  0.00, 56.72, 28.36,  4.48,  5.97,  2.99,100.00 
Labour Party,  0.66,  0.09, 57.94, 35.77,  1.98,  0.83,  2.73,100.00 
Libertarianz,  0.00,  0.00,  0.00, 33.33, 66.67,  0.00,  0.00,100.00 
Mâori Party,  0.66,  0.11,  7.66, 86.57,  1.72,  0.44,  2.84,100.00 
National Party,  5.99,  1.37, 33.33, 39.20,  9.11,  7.99,  3.00,100.00 
New Zealand Family Rights Protection Party, 10.00,  0.00, 30.00, 30.00, 15.00,  0.00, 15.00,100.00 
New Zealand First Party,  4.07,  0.57, 38.32, 46.64,  5.01,  3.97,  1.42,100.00 
OneNZ Party,  0.00,  0.00, 60.00, 40.00,  0.00,  0.00,  0.00,100.00 
The Republic of New Zealand Party,  0.00,  0.00,100.00,  0.00,  0.00,  0.00,  0.00,100.00 
United Future New Zealand, 16.09,  1.15, 31.03, 40.23,  4.60,  0.00,  6.90,100.00 
Informal Party Votes,  1.51,  2.01, 14.07, 16.58,  1.01, 60.80,  4.02,100.00 
Overall Percentage,  3.37,  0.28, 39.37, 49.98,  2.46,  1.85,  2.69,100.00 
