09 Dunedin South,Total Party Votes,"NICHOLLS, Colin (ACT New Zealand)","MURRAY, Kay (Alliance)","McINTOSH, Dawn (Democrats for Social Credit)","GALLAGHER, Shane (Green Party)","McALPINE, J M (Jim Anderton's Progressive)","WESCOMBE, Philip (Kiwi Party)","CURRAN, Clare (Labour Party)","POWELL, Conway (National Party)","WANSINK, Robert (Restore All Things in Christ)","MOFFAT, Pauline (United Future)","BERNHARDT, David (Independent)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    785, 17.07,  0.25,  0.25,  2.04,  0.25,  0.64,  8.54, 67.52,  0.38,  0.51,  1.15,  1.02,  0.38,100.00 
Alliance,     72,  1.39, 52.78,  8.33,  0.00,  1.39,  0.00, 25.00,  9.72,  1.39,  0.00,  0.00,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    144,  2.08,  1.39,  0.69, 29.86,  2.08,  0.69, 34.03, 15.28,  1.39,  0.00,  5.56,  2.08,  4.86,100.00 
Democrats for Social Credit,     66,  0.00,  0.00, 84.85,  0.00,  0.00,  0.00, 10.61,  3.03,  1.52,  0.00,  0.00,  0.00,  0.00,100.00 
Family Party,     58,  3.45,  3.45,  0.00,  1.72,  1.72, 10.34, 20.69, 18.97, 20.69, 10.34,  5.17,  0.00,  3.45,100.00 
Green Party,   2971,  0.27,  1.04,  0.34, 33.09,  0.54,  0.13, 56.82,  5.55,  0.17,  0.13,  0.57,  0.50,  0.84,100.00 
Jim Anderton's Progressive,    461,  0.22,  1.30,  1.95,  4.99, 30.80,  0.87, 48.37,  7.16,  0.87,  1.30,  0.87,  0.43,  0.87,100.00 
Kiwi Party,    144,  2.08,  0.69,  0.69,  2.08,  0.00, 61.81,  6.25, 16.67,  4.17,  1.39,  1.39,  1.39,  1.39,100.00 
Labour Party,  17408,  0.25,  0.30,  0.24,  6.01,  1.04,  0.24, 88.52,  1.26,  0.10,  0.16,  0.47,  0.81,  0.60,100.00 
Libertarianz,     15,  6.67,  6.67,  0.00,  6.67,  0.00,  0.00, 26.67, 20.00,  0.00,  6.67,  6.67, 20.00,  0.00,100.00 
Maori Party,    160,  1.25,  0.63,  0.00, 18.13,  1.25,  2.50, 43.13, 18.13,  0.63,  2.50,  2.50,  2.50,  6.88,100.00 
National Party,  12742,  2.39,  0.26,  0.14,  1.98,  0.43,  0.48,  3.68, 88.18,  0.20,  0.72,  0.28,  0.81,  0.44,100.00 
New Zealand First Party,   1700,  0.76,  1.18,  1.24,  4.06,  5.18,  1.82, 60.29, 15.82,  1.47,  1.18,  2.29,  4.06,  0.65,100.00 
New Zealand Pacific Party,     17,  0.00,  0.00,  5.88,  5.88,  0.00,  0.00, 52.94, 17.65,  0.00,  0.00,  5.88, 11.76,  0.00,100.00 
RAM - Residents Action Movement,      3,  0.00,  0.00,  0.00,  0.00,  0.00, 33.33, 33.33, 33.33,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
The Bill and Ben Party,    209,  3.83,  1.91,  0.96, 13.88,  1.91,  2.87, 31.10, 31.58,  0.48,  1.91,  2.39,  5.26,  1.91,100.00 
The Republic of New Zealand Party,      7,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 57.14, 28.57,  0.00,  0.00,  0.00, 14.29,  0.00,100.00 
United Future,    276,  1.09,  0.72,  1.09,  3.26,  0.36,  2.17, 10.87, 40.94,  2.90, 33.33,  1.81,  1.45,  0.00,100.00 
Workers Party,     14,  0.00,  7.14,  0.00, 14.29, 14.29,  7.14, 21.43,  7.14,  0.00,  0.00, 14.29,  7.14,  7.14,100.00 
Informal Party Votes,    183,  0.00,  1.09,  0.00,  1.64,  0.00,  0.55, 20.77,  7.10,  0.55,  1.09,  2.73, 62.84,  1.64,100.00 
Total Party Votes and Percentages,  37435,  1.41,  0.53,  0.46,  6.71,  1.33,  0.70, 51.29, 34.06,  0.30,  0.71,  0.59,  1.29,  0.63,100.00 
