19 Invercargill,Total Party Votes,"CARLINE, Ian (ACT New Zealand)","CARSON, Craig (Green Party)","SOPER, Lesley (Labour Party)","PLEASANCE, Shane (Libertarianz)","ROY, Eric (National Party)","SMITH, Maureen (United Future)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    947, 11.83,  0.42,  4.96,  0.53, 80.99,  0.42,  0.53,  0.32,100.00 
Alliance,     54,  7.41,  3.70, 40.74,  5.56, 37.04,  5.56,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    179,  2.79, 30.73, 30.73,  2.79, 26.26,  2.23,  1.68,  2.79,100.00 
Democrats for Social Credit,     61,  1.64, 16.39, 27.87,  6.56, 26.23, 11.48,  9.84,  0.00,100.00 
Family Party,    145,  0.69,  6.90, 14.48,  2.76, 59.31, 11.03,  4.83,  0.00,100.00 
Green Party,   1492,  0.34, 39.01, 38.47,  0.34, 20.04,  0.27,  1.07,  0.47,100.00 
Jim Anderton's Progressive,    292,  3.42,  6.16, 54.45,  1.71, 28.08,  4.11,  1.71,  0.34,100.00 
Kiwi Party,    105,  1.90,  2.86, 10.48,  0.00, 74.29,  9.52,  0.00,  0.95,100.00 
Labour Party,  12927,  0.44,  5.82, 83.28,  0.22,  8.72,  0.22,  0.79,  0.53,100.00 
Libertarianz,     21,  4.76,  4.76,  4.76, 52.38, 33.33,  0.00,  0.00,  0.00,100.00 
Maori Party,    205,  0.49, 12.68, 37.07,  0.98, 40.49,  1.95,  2.93,  3.41,100.00 
National Party,  16663,  0.97,  0.92,  1.18,  0.17, 95.66,  0.37,  0.34,  0.41,100.00 
New Zealand First Party,   1192,  2.35,  4.03, 52.43,  1.68, 31.96,  2.94,  4.45,  0.17,100.00 
New Zealand Pacific Party,     18,  0.00,  5.56, 72.22,  0.00, 22.22,  0.00,  0.00,  0.00,100.00 
RAM - Residents Action Movement,      1,  0.00,  0.00,  0.00,  0.00,100.00,  0.00,  0.00,  0.00,100.00 
The Bill and Ben Party,    413,  6.05, 10.65, 19.85,  2.18, 54.72,  2.66,  2.42,  1.45,100.00 
The Republic of New Zealand Party,      4,  0.00, 50.00,  0.00,  0.00, 25.00,  0.00,  0.00, 25.00,100.00 
United Future,    319,  0.63,  0.94, 13.79,  0.31, 66.14, 17.55,  0.31,  0.31,100.00 
Workers Party,     14,  7.14,  7.14, 42.86,  7.14, 14.29, 14.29,  7.14,  0.00,100.00 
Informal Party Votes,    143,  0.00,  2.10, 24.48,  0.00, 25.87,  0.70, 46.85,  0.00,100.00 
Total Party Votes and Percentages,  35195,  1.18,  4.88, 36.23,  0.37, 55.16,  0.73,  0.96,  0.48,100.00 
