19 Invercargill,Total Party Votes,"CARLINE, Ian (ACT New Zealand)","de RUYTER, Stephnie (Democrats for Social Credit)","KENNEDY, David (Green Party)","SOPER, Lesley (Labour Party)","PLEASANCE, Shane (Libertarianz)","ROY, Eric (National Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    397, 20.65,  0.76,  2.27,  6.30,  0.25, 67.76,  1.76,  0.25,100.00 
Alliance,     34,  2.94,  8.82,  2.94, 52.94,  2.94, 23.53,  2.94,  2.94,100.00 
Aotearoa Legalise Cannabis Party,    257,  1.95,  3.89, 31.13, 30.35,  1.95, 24.51,  3.50,  2.72,100.00 
Conservative Party,    643,  2.64,  8.24,  5.91, 19.44,  1.56, 58.16,  3.27,  0.78,100.00 
Democrats for Social Credit,    129,  0.78, 69.77,  0.78, 15.50,  0.78, 10.08,  2.33,  0.00,100.00 
Green Party,   2723,  0.18,  1.18, 43.63, 35.44,  0.37, 17.04,  1.25,  0.92,100.00 
Labour Party,   9296,  0.26,  0.93,  6.37, 83.80,  0.28,  5.34,  2.38,  0.66,100.00 
Libertarianz,     34,  2.94,  0.00,  5.88,  2.94, 73.53, 11.76,  2.94,  0.00,100.00 
Mana,     63,  3.17,  1.59, 26.98, 44.44,  1.59, 15.87,  4.76,  1.59,100.00 
Māori Party,    162,  2.47,  1.85, 12.35, 30.86,  1.23, 45.68,  4.32,  1.23,100.00 
National Party,  16140,  0.55,  0.59,  1.86,  3.07,  0.17, 91.57,  1.90,  0.29,100.00 
New Zealand First Party,   2213,  1.58,  5.87,  6.87, 56.35,  0.99, 20.24,  7.50,  0.59,100.00 
United Future,    264,  2.27,  3.41,  8.33, 19.70,  0.76, 61.74,  3.79,  0.00,100.00 
Informal Party Votes,    324,  1.23,  1.54,  3.40, 36.11,  0.00, 33.64, 22.84,  1.23,100.00 
Total Party Votes and Percentages,  32679,  0.84,  1.59,  7.45, 33.70,  0.41, 52.86,  2.64,  0.51,100.00 
