27 Mt Roskill,Total Party Votes,"TAN, Shawn (ACT New Zealand)","ER, Lisa (Green Party)","AMIRAPU, Suki (Jim Anderton's Progressive)","REBELLO, Joseph (Kiwi Party)","GOFF, Phil (Labour Party)","BLUE, Jackie (National Party)","LAWLESS, Daphne (RAM - Residents Action Movement)","WILSON, Neville (United Future)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,   1165, 17.00,  1.37,  0.09,  0.69, 18.71, 60.34,  0.09,  0.09,  0.60,  1.03,100.00 
Alliance,     23,  8.70,  0.00,  4.35,  0.00, 73.91,  8.70,  0.00,  0.00,  0.00,  4.35,100.00 
Aotearoa Legalise Cannabis Party,     90,  1.11, 25.56,  1.11,  5.56, 28.89, 25.56,  3.33,  1.11,  2.22,  5.56,100.00 
Democrats for Social Credit,      7, 14.29, 42.86,  0.00,  0.00, 14.29, 14.29,  0.00, 14.29,  0.00,  0.00,100.00 
Family Party,    119,  5.88,  2.52,  2.52,  7.56, 30.25, 34.45,  0.84, 11.76,  0.84,  3.36,100.00 
Green Party,   1459,  0.48, 30.09,  0.27,  0.14, 62.17,  4.25,  0.41,  0.07,  0.34,  1.78,100.00 
Jim Anderton's Progressive,    281,  0.36,  3.20, 15.30,  1.07, 66.55,  9.61,  0.00,  0.71,  0.71,  2.49,100.00 
Kiwi Party,    198,  1.01,  1.01,  0.51, 53.03, 21.72, 18.69,  0.00,  2.02,  0.51,  1.52,100.00 
Labour Party,  14533,  0.43,  2.37,  0.30,  0.23, 92.69,  0.87,  0.12,  0.06,  0.83,  2.11,100.00 
Libertarianz,      8, 12.50,  0.00,  0.00,  0.00, 50.00,  0.00, 25.00, 12.50,  0.00,  0.00,100.00 
Maori Party,    163,  1.23, 12.88,  1.23,  1.84, 52.15, 12.88,  1.84,  2.45,  1.23, 12.27,100.00 
National Party,  14346,  2.86,  1.27,  0.17,  0.70, 17.52, 75.34,  0.08,  0.55,  0.63,  0.87,100.00 
New Zealand First Party,    955,  1.26,  2.62,  2.83,  1.99, 67.54, 16.65,  1.26,  1.68,  2.30,  1.88,100.00 
New Zealand Pacific Party,    302,  0.99,  0.66,  0.00,  2.98, 79.14,  8.61,  0.00,  0.99,  2.65,  3.97,100.00 
RAM - Residents Action Movement,     16,  0.00,  6.25,  6.25,  0.00, 25.00, 31.25, 31.25,  0.00,  0.00,  0.00,100.00 
The Bill and Ben Party,    104,  2.88,  7.69,  0.96,  2.88, 50.96, 26.92,  1.92,  1.92,  1.92,  1.92,100.00 
The Republic of New Zealand Party,      8,  0.00, 12.50,  0.00,  0.00, 62.50, 12.50,  0.00,  0.00,  0.00, 12.50,100.00 
United Future,    296,  0.68,  1.01,  0.00,  3.72, 29.73, 37.84,  0.00, 24.66,  0.68,  1.69,100.00 
Workers Party,     12,  8.33, 33.33,  0.00,  0.00, 25.00,  8.33,  8.33,  0.00,  8.33,  8.33,100.00 
Informal Party Votes,    188,  1.06,  0.00,  1.06,  0.00, 36.70,  6.91,  1.06,  0.00, 51.60,  1.60,100.00 
Total Party Votes and Percentages,  34273,  2.09,  3.17,  0.45,  0.90, 54.31, 35.59,  0.20,  0.62,  1.06,  1.61,100.00 
