63 Wigram,Total Party Votes,"CAMPBELL, Kevin (Alliance)","McTAGUE, Geoffrey (Aotearoa Legalise Cannabis Party)","PETERS, Mark (Conservative Party)","WESLEY, Richard (Green Party)","WOODS, Megan (Labour Party)","COLLINS, Sam (National Party)","HANSEN, Tubby (NZ Economic Euthenics Party)","GASKIN, Ian Camden (United Future)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    202,  2.97,  1.49,  4.95,  2.48, 16.83, 63.37,  1.98,  1.49,  4.46,  0.00,100.00 
Alliance,    158, 60.76,  0.00,  0.63,  2.53, 18.99, 12.66,  1.27,  0.00,  3.16,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    186,  2.69, 51.08,  0.54,  7.53, 23.66,  5.38,  0.54,  0.54,  1.08,  6.99,100.00 
Conservative Party,    763,  4.46,  0.26, 47.18,  1.97, 19.00, 24.12,  0.52,  0.13,  1.70,  0.66,100.00 
Democrats for Social Credit,     16, 18.75,  6.25,  6.25,  6.25, 37.50,  6.25, 12.50,  0.00,  6.25,  0.00,100.00 
Green Party,   4243,  1.96,  1.25,  0.52, 31.35, 54.28,  7.40,  0.07,  0.09,  1.04,  2.05,100.00 
Labour Party,   9866,  2.07,  0.68,  0.60,  3.75, 87.73,  0.98,  0.07,  0.08,  2.20,  1.84,100.00 
Libertarianz,     33,  0.00,  9.09,  9.09,  9.09, 15.15, 36.36, 12.12,  6.06,  3.03,  0.00,100.00 
Mana,     66, 10.61,  1.52,  0.00, 19.70, 51.52,  4.55,  1.52,  3.03,  3.03,  4.55,100.00 
Māori Party,    141,  4.26,  4.26,  3.55, 17.02, 38.30, 21.28,  0.00,  0.71,  5.67,  4.96,100.00 
National Party,  14357,  1.51,  0.56,  1.49,  3.52,  9.42, 79.42,  0.11,  0.42,  1.96,  1.57,100.00 
New Zealand First Party,   1948,  5.85,  1.18,  5.13,  6.47, 62.47, 11.81,  0.31,  0.72,  5.18,  0.87,100.00 
United Future,    251,  3.19,  0.80,  2.79,  2.79, 24.70, 37.85,  1.20, 24.70,  1.20,  0.80,100.00 
Informal Party Votes,    305,  3.28,  0.33,  0.66,  1.64, 45.25, 17.38,  0.00,  0.00, 28.85,  2.62,100.00 
Total Party Votes and Percentages,  32535,  2.44,  1.04,  2.41,  7.45, 43.28, 38.67,  0.16,  0.49,  2.39,  1.69,100.00 
