37 Pakuranga,Total Party Votes,"SIMMONS, Chris (ACT New Zealand)","GEDGE, Lance (Conservative Party)","KAUSHAL, Sunny (Labour Party)","WILLIAMSON, Maurice (National Party)","MULFORD, Helen Jane (New Zealand First Party)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,    585, 29.23,  3.59,  6.50, 56.41,  1.20,  2.39,  0.68,100.00 
Alliance,     20, 10.00,  5.00, 10.00, 55.00,  5.00, 15.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    112,  5.36,  8.93, 21.43, 50.89,  4.46,  4.46,  4.46,100.00 
Conservative Party,   1156,  1.21, 55.28,  5.97, 32.53,  2.08,  2.51,  0.43,100.00 
Democrats for Social Credit,      5,  0.00, 20.00, 40.00,  0.00, 40.00,  0.00,  0.00,100.00 
Green Party,   2024,  2.22,  5.68, 47.73, 32.95,  5.98,  4.35,  1.09,100.00 
Labour Party,   6068,  0.97,  2.22, 78.25,  9.03,  3.41,  4.30,  1.81,100.00 
Libertarianz,      9, 44.44,  0.00, 33.33, 22.22,  0.00,  0.00,  0.00,100.00 
Mana,     40,  0.00, 10.00, 47.50, 27.50, 12.50,  2.50,  0.00,100.00 
Māori Party,    109,  0.00,  3.67, 26.61, 58.72,  5.50,  3.67,  1.83,100.00 
National Party,  20471,  2.41,  2.80,  2.34, 88.39,  0.91,  2.36,  0.80,100.00 
New Zealand First Party,   1847,  0.81,  5.79, 22.04, 19.82, 45.91,  4.60,  1.03,100.00 
United Future,    149,  2.01, 12.08, 12.08, 65.77,  2.01,  4.03,  2.01,100.00 
Informal Party Votes,    202,  1.98,  2.97, 21.78, 34.65,  7.43, 30.69,  0.50,100.00 
Total Party Votes and Percentages,  32797,  2.49,  4.98, 20.88, 63.10,  4.36,  3.17,  1.02,100.00 
