62 Whangarei,Total Party Votes,"McCLELLAND, Thomas John (ACT New Zealand)","GOODHUE, Edgar Kenneth (Democrats for Social Credit)","DOHERTY, Paul (Green Party)","SHEPHERD, Viv (Jim Anderton's Progressive)","CHALMERS, Paul (Labour Party)","HUGHES, Helen (Libertarianz)","HEATLEY, Phil (National Party)","KAIPO, Martin (RAM - Residents Action Movement)","GUNSTON, Maureen (United Future)","HEDGES, Don (Independent)","VALLINGS, Simon (Independent)",Informal Candidate Votes,Party Vote Only,Total % 
 ACT New Zealand,   1385,  6.86,  0.51,  1.44,  0.51,  1.44,  0.29, 87.51,  0.22,  0.07,  0.07,  0.14,  0.29,  0.65,100.00 
Alliance,     17,  0.00,  0.00, 11.76, 11.76, 35.29,  0.00, 41.18,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,    169,  1.78,  3.55, 37.87,  1.78, 15.98,  2.37, 24.85,  5.92,  0.00,  1.18,  2.37,  0.59,  1.78,100.00 
Democrats for Social Credit,     66,  0.00, 68.18,  3.03,  0.00,  3.03,  0.00, 21.21,  0.00,  0.00,  0.00,  3.03,  1.52,  0.00,100.00 
Family Party,    128,  0.00,  3.91,  5.47,  1.56,  2.34,  0.00, 70.31,  3.13,  4.69,  1.56,  1.56,  4.69,  0.78,100.00 
Green Party,   2187,  0.18,  0.23, 49.79,  1.65, 21.81,  0.23, 21.54,  0.91,  0.14,  0.23,  1.05,  0.59,  1.65,100.00 
Jim Anderton's Progressive,    531,  0.56,  1.51,  6.40, 28.06, 20.34,  0.19, 39.74,  0.75,  0.56,  0.19,  0.38,  0.94,  0.38,100.00 
Kiwi Party,    167,  1.80,  0.60,  1.80,  2.99,  5.99,  0.00, 78.44,  0.60,  0.60,  0.60,  2.99,  1.80,  1.80,100.00 
Labour Party,  10433,  0.21,  0.22, 11.13,  2.33, 64.25,  0.12, 18.19,  1.08,  0.14,  0.15,  0.23,  0.70,  1.25,100.00 
Libertarianz,     18,  0.00,  0.00, 11.11,  0.00,  5.56, 61.11,  5.56,  0.00,  0.00,  5.56,  5.56,  5.56,  0.00,100.00 
Maori Party,    333,  0.90,  0.60, 14.71,  2.40, 24.92,  0.90, 34.23,  9.61,  0.60,  0.00,  0.60,  3.60,  6.91,100.00 
National Party,  18252,  0.78,  0.09,  0.89,  0.15,  0.39,  0.05, 96.19,  0.17,  0.12,  0.09,  0.07,  0.30,  0.71,100.00 
New Zealand First Party,   2246,  1.02,  2.54,  4.19,  6.37, 36.11,  0.31, 39.89,  1.51,  0.93,  0.98,  1.11,  4.27,  0.76,100.00 
New Zealand Pacific Party,     12,  0.00,  0.00,  8.33,  0.00, 58.33,  0.00, 16.67,  0.00,  0.00,  8.33,  0.00,  0.00,  8.33,100.00 
RAM - Residents Action Movement,     25,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00, 24.00, 76.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
The Bill and Ben Party,    231,  0.87,  0.87, 10.82,  3.03, 13.42,  1.30, 59.31,  1.73,  1.73,  2.60,  1.30,  1.73,  1.30,100.00 
The Republic of New Zealand Party,      3,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
United Future,    260,  0.38,  0.38,  3.08,  0.77,  1.15,  0.38, 79.23,  0.38, 10.38,  0.00,  1.54,  0.77,  1.54,100.00 
Workers Party,     13,  7.69,  0.00,  7.69,  0.00, 15.38,  0.00, 38.46,  7.69,  0.00,  0.00, 15.38,  0.00,  7.69,100.00 
Informal Party Votes,    240,  0.42,  0.00,  2.50,  0.83, 11.67,  0.00, 22.08,  1.67,  0.83,  0.00,  0.00, 57.50,  2.50,100.00 
Total Party Votes and Percentages,  36716,  0.83,  0.49,  7.44,  1.73, 22.86,  0.17, 62.80,  0.77,  0.29,  0.20,  0.31,  1.12,  1.00,100.00 
