44 Rangitikei,"WAUGH, John (ACT New Zealand)","BROWN, Marilyn (Labour Party)","HEPI, Abe J (Mâori Party)","POWER, Simon (National Party)","STRAWBRIDGE, Murray (New Zealand First Party)","PEIRCE, Richard (Rangitikei First)","MOODIE, Rob (United Future New Zealand)",Informal Candidate Votes,Party Vote Only,Total % 
 99 MP Party,  0.00, 33.33,  0.00, 50.00,  0.00, 16.67,  0.00,  0.00,  0.00,100.00 
ACT New Zealand, 10.31,  2.47,  0.45, 82.06,  2.69,  0.67,  0.90,  0.00,  0.45,100.00 
Alliance,  0.00, 40.91,  0.00, 36.36, 13.64,  4.55,  4.55,  0.00,  0.00,100.00 
Aotearoa Legalise Cannabis Party,  3.53, 34.12,  7.06, 28.24,  9.41,  9.41,  2.35,  4.71,  1.18,100.00 
Christian Heritage NZ,  2.13,  8.51,  0.00, 57.45,  4.26,  4.26, 19.15,  4.26,  0.00,100.00 
Democrats for Social Credit,  0.00, 25.00,  0.00, 33.33,  0.00, 16.67, 25.00,  0.00,  0.00,100.00 
Destiny New Zealand,  0.88,  5.26,  0.88, 57.89, 10.53,  4.39, 13.16,  7.02,  0.00,100.00 
Direct Democracy Party,  0.00,  0.00,  0.00,100.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
Green Party,  0.65, 60.39,  4.06, 23.18,  2.40,  3.60,  3.32,  1.94,  0.46,100.00 
Jim Anderton's Progressive,  1.74, 43.21,  2.09, 26.83,  8.01,  9.06,  6.62,  2.44,  0.00,100.00 
Labour Party,  0.30, 71.42,  1.37, 20.30,  1.96,  1.54,  1.46,  0.66,  0.99,100.00 
Libertarianz,  8.33,  8.33,  0.00, 41.67,  8.33, 16.67, 16.67,  0.00,  0.00,100.00 
Mâori Party,  0.00, 13.85, 52.31, 14.87,  5.64,  0.00,  1.54,  1.54, 10.26,100.00 
National Party,  0.60,  0.46,  0.10, 95.63,  1.14,  0.52,  0.94,  0.21,  0.39,100.00 
New Zealand Family Rights Protection Party,  0.00,  0.00,  0.00, 20.00, 20.00, 20.00, 40.00,  0.00,  0.00,100.00 
New Zealand First Party,  0.85,  8.59,  1.27, 49.17, 34.74,  2.24,  1.74,  0.68,  0.72,100.00 
OneNZ Party,  0.00, 11.11,  0.00, 55.56,  0.00, 11.11,  0.00, 22.22,  0.00,100.00 
The Republic of New Zealand Party,  0.00, 20.00,  0.00, 80.00,  0.00,  0.00,  0.00,  0.00,  0.00,100.00 
United Future New Zealand,  0.78,  4.67,  0.49, 63.00,  1.56,  2.53, 26.48,  0.19,  0.29,100.00 
Informal Party Votes,  0.00, 28.00,  0.00, 18.00,  5.00,  1.00,  2.00, 44.00,  2.00,100.00 
Overall Percentage,  0.67, 29.49,  1.15, 59.60,  4.16,  1.33,  2.24,  0.68,  0.69,100.00 
